title,price,tuik_category,inflation_1d,inflation_7d,inflation_15d,inflation_30d
Porto Koltuk Takımı,31850.0,05,,,,
Lubin Köşe Sağ Koltuk - Beyaz,49990.0,05,,,,
Rolden Köşe Sol Koltuk - Gri,33990.0,05,,,,
Enola Köşe Koltuk - Mürdüm,35990.0,05,,,,
Lubin Köşe Sağ Koltuk - Gül Kurusu,49990.0,05,,,,
Lubin Köşe Sol Koltuk - Gül Kurusu,49990.0,05,,,,
Lubin Köşe Sol Koltuk - Koyu Gri,49990.0,05,,,,
Rolden Köşe Sağ Koltuk - Gül Kurusu,33990.0,05,,,,
Lubin Köşe Sağ Koltuk - Koyu Gri,49990.0,05,,,,
Lubin Köşe Sağ Koltuk - Hardal,49990.0,05,,,,
Lubin Köşe Sol Koltuk - Beyaz,49990.0,05,,,,
Lubin Köşe Sol Koltuk - Vizon,49990.0,05,,,,
Enola Köşe Koltuk - Gri,35990.0,05,,,,
Lubin Köşe Sağ Koltuk - Vizon,49990.0,05,,,,
Rolden Köşe Sağ Koltuk - Gri,33990.0,05,,,,
Rolden Köşe Sol Koltuk - Gül Kurusu,33990.0,05,,,,
Lubin Köşe Sol Koltuk - Hardal,49990.0,05,,,,
Caldera Koltuk Takımı,42580.0,05,,,,
Estella Koltuk Takımı,58892.0,05,,,,
Boheems Koltuk Takımı,50582.0,05,,,,
Bonita Köşe Koltuk XL - Vizon,61067.0,05,,,,
Bonita Köşe Koltuk XL - Beyaz,61067.0,05,,,,
Luis Koltuk Takımı,33295.0,05,,,,
Marietta Koltuk Takımı,62245.0,05,,,,
Claris Koltuk Takımı,59995.0,05,,,,
Rozy Bohem Koltuk Takımı,29995.0,05,,,,
Valenty Koltuk Takımı,45743.0,05,,,,
Mona Koltuk Takımı,44946.0,05,,,,
Montella Koltuk Takımı,61859.0,05,,,,
Orleon Koltuk Takımı,57263.0,05,,,,
Nadia Koltuk Takımı,40382.0,05,,,,
Veronica Koltuk Takımı,56011.0,05,,,,
Larissa Koltuk Takımı,58257.0,05,,,,
Valencia Koltuk Takımı,46224.0,05,,,,
İndiana Koltuk Takımı,74751.0,05,,,,
Napoli Koltuk Takımı,65886.0,05,,,,
Ravelly Koltuk Takımı,121154.0,05,,,,
Montego Koltuk Takımı,78841.0,05,,,,
Estella Köşe Takımı Modüler - Krem,68688.0,05,,,,
Valencia Köşe Koltuk - Beyaz,66284.0,05,,,,
Atlanta Köşe Takımı Modüler - Krem - Meşe Renk Ayak,70402.0,05,,,,
Atlanta Köşe Takımı Modüler - Krem - Bronz Renk Ayak,70402.0,05,,,,
Sanvela Köşe Takımı Modüler - Krem - Meşe Renk Ayak,57110.0,05,,,,
Sanvela Köşe Takımı Modüler - Lacivert - Füme Renk Ayak,57110.0,05,,,,
Bonita Köşe Koltuk - Gri,52814.0,05,,,,
Bonita Köşe Koltuk - Vizon,52814.0,05,,,,
Bonita Köşe Koltuk - Yeşil,52814.0,05,,,,
Bonita Köşe Koltuk - Beyaz,52814.0,05,,,,
Porto Köşe Koltuk - Yeşil,49599.0,05,,,,
Porto Köşe Koltuk - Gri,49599.0,05,,,,
Orleon Köşe Takımı Modüler - Vizon - Meşe Renk Ayak,45525.0,05,,,,
Orleon Köşe Takımı Modüler - Vizon - Siyah Renk Ayak,45525.0,05,,,,
Orleon Köşe Koltuk - Lacivert,45525.0,05,,,,
Orleon Köşe Koltuk - Gri,45525.0,05,,,,
Rolden Köşe Koltuk,33990.0,05,,,,
Lubin Köşe Koltuk,49990.0,05,,,,
Enola Köşe Koltuk,35990.0,05,,,,
Picasso Köşe Koltuk,86301.0,05,,,,
Seul Köşe Koltuk - Krem,73269.0,05,,,,
Marietta Üçlü Koltuk - Bej,44350.0,05,,,,
Claris Üçlü Koltuk - Mint Yeşili,45395.0,05,,,,
Claris Üçlü Sehpalı Koltuk - Mint Yeşili,51470.0,05,,,,
Rozy Üçlü Koltuk - Bej,20269.0,05,,,,
Napoli Üçlü Koltuk,42578.0,05,,,,
Valenty Üçlü Koltuk - Bej,31591.0,05,,,,
Valenty Üçlü Koltuk - Kiremit,31591.0,05,,,,
Flexy Üçlü Koltuk,31990.0,05,,,,
Mona Üçlü Koltuk - Mavi - Meşe Renk Ayak,31409.0,05,,,,
Boheems Üçlü Koltuk - Krem - Kiremit Kırlent,35454.0,05,,,,
Boheems Üçlü Koltuk - Krem - Sarı Kırlent,35454.0,05,,,,
Caldera Üçlü Koltuk - Mavi - Meşe Renk Ayak,28790.0,05,,,,
Caldera Üçlü Koltuk - Krem - Meşe Renk Ayak,28790.0,05,,,,
Luis Üçlü Koltuk - Vizon - Meşe Renk Ayak,21590.0,05,,,,
Luis Üçlü Koltuk - Taş Gri - Meşe Renk Ayak,21590.0,05,,,,
Luis Üçlü Koltuk - Gri - Meşe Renk Ayak,21590.0,05,,,,
Nadia Üçlü Koltuk - Krem - Meşe Renk Ayak,27442.0,05,,,,
Nadia Üçlü Koltuk - Yeşil - Meşe Renk Ayak,27442.0,05,,,,
Marietta İkili Koltuk - Bej,37550.0,05,,,,
Claris İkili Koltuk - Mint Yeşili,27595.0,05,,,,
Sandro Family İkili Yataklı Koltuk - Gri,46955.0,05,,,,
Sandro Family İkili Yataklı Koltuk - Vizon,46955.0,05,,,,
