date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Fruits,Seasonal Fruit,Kg,12.9,148.65,1917.59,154.9,1998.21,8,Çilek - 500 Gr.; Elma Golden - 500 Gr.; Elma Granny Smith - 500 Gr.; Elma Starking - 500 Gr.; Kivi - 500 Gr.; Nar - 500 Gr.; Portakal - 500 Gr.; Portakal Sıkmalık - 500 Gr.
Feb 2026,Vegetables,Onion,Kg,18.0,88.9,1600.2,65.9,1186.2,3,Soğan Beyaz - 500 Gr.; Soğan Kırmızı - 500 Gr.; Soğan Yahnilik - 500 Gr.
Feb 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,142.66,3295.45,142.4,3289.44,4,Kabak - 500 Gr.; Patlıcan - 500 Gr.; Patlıcan Topan - 500 Gr.; Yayla Beyaz Kabak Nohut 1 Kg
Feb 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
Feb 2026,Oils,Olive Oil,Liter,1.1,424.83,467.31,432.42,475.66,22,Komili Ege Sızması Zeytinyağı 1 Lt; Komili Ege Sızması Zeytinyağı 2 Lt; Komili Riviera Zeytinyağı 1 Lt; Komili Riviera Zeytinyağı 2 Lt; Komili Riviera Zeytinyağı 3 Lt; Komili Sızma Zeytinyağı 1 Lt; Komili Sızma Zeytinyağı 2 Lt; Kristal Anadolu Mirası Natural Sızma Zeytinya…; Kristal Dolgun Güçlü Naturel Sızma Zeytinyağı…; Kristal Dolgun Güçlü Naturel Sızma Zeytinyağı…; Kristal Dolgun Güçlü Sızma Zeytinyağı Pet Şiş…; Kristal Natural Sızma Yumuşak Zeytinyağı Cam …; Kristal Naturel Sızma Ayvalık Zeytinyağı 500 …; Kristal Riviera Zeytinyağı 1 Lt; Kristal Riviera Zeytinyağı 2 Lt; Kristal Sızma Dolgun Güçlü Zeytinyağı Pet Şiş…; Yudum Egemden Natural Sızma Zeytinyağı Yumuşa…; Yudum Egemden Riviera Zeytinyağı 1 Lt; Yudum Egemden Riviera Zeytinyağı 2 Lt; Yudum Egemden Riviera Zeytinyağı 500 Ml; Yudum Egemden Yumuşak Lezzet Sızma Zeytinyağı…; Yudum Egemden Zeytinyağı Yumuşak Lezzet 2 Lt
Feb 2026,Other Food Products,Grissini,Kg,2.1,1625.0,3412.5,1625.0,3412.5,1,WeFood Glutensiz Pancarlı Grissini 40 Gr
Mar 2026,Dairy Products,Yogurt,Kg,59.7,92.03,5494.19,94.08,5616.58,22,Eker Efsane Tam Yağlı Yoğurt 750 Gr; Eker Efsane Yoğurt 250 Gr; Eker Efsane Yoğurt 350 Gr; Eker Homojenize Yoğurt 1500 Ml; Eker Yoğurt 150 Gr; Eker Yoğurt Kova 2 Kg; İçim Doğal Yoğurt 500 Gr; İçim Doğal Yoğurt 750 Gr; İçim Tam Yağlı Yoğurt 1200 Gr; İçim Yarım Yağlı Yoğurt 2 Kg; İçim Yarım Yağlı Yoğurt 3000 Gr; Pınar Lezzetin Alası Yoğurt 500 Gr.; Pınar Yarım Yağlı Doğal Yoğurt 2000 Gr; Sütaş Homojen Yoğurt 1500 Gr; Sütaş Kaymaksız Yoğurt 1000 Gr; Sütaş Kaymaksız Yoğurt 2000 Gr; Sütaş Kaymaksız Yoğurt 600 Gr; Sütaş Light Yoğurt 650 Gr; Sütaş Yarım Yağlı Kaymaksız Kase Yoğurt 3000 …; Torku Tam Yağlı Yoğurt 900 Gr; Yörükoğlu Homojenize Yoğurt 750 Gr; Yörükoğlu Yarım Yağlı Homojenize Yoğurt 2000 …
Mar 2026,Dairy Products,White Cheese,Kg,5.7,399.87,2279.26,336.54,1918.28,18,Gürmar Ekstra Klasik Beyaz Peynir - 350 Gr.; Gürmar Lüks Klasik Beyaz Peynir - 350 Gr.; Gürmar Mevsim Beyaz Peynir - 350 Gr.; Gürsüt Klasik Beyaz Peynir 300 Gr; Gürsüt Köy Taze Beyaz Peynir - 500 Gr.; Gürsüt Köy Taze Beyaz Peynir 500 Gr; Gürsüt Tadım Beyaz Peynir - 350 Gr.; İçim Süzme Beyaz Peynir 500 Gr; İçim Süzme Beyaz Peynir 900 Gr; İçim Tam Yağlı Beyaz Peynir 900 Gr; İçim Taze Peynir 180 Gr; Pınar Tam Yağlı Taze Beyaz Peynir 180 Gr; Sütaş Klasik Beyaz Peynir 450 Gr; Sütaş Light Beyaz Peynir 700 Gr; Sütaş Süzme Beyaz Peynir 250 Gr; Sütaş Süzme Beyaz Peynir 500 Gr; Sütaş Süzme Beyaz Peynir 900 Gr; Sütaş Tam Yağlı Beyaz Peynir 900 Gr
Mar 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,1264.9,5818.54,1264.9,5818.54,2,Dana Kol Kuşbaşı - 500 Gr.; Kuzu Kuşbaşı - 500 Gr.
Mar 2026,Meat and Protein,Chicken,Kg,10.3,283.63,2921.39,274.9,2831.47,16,"Akdeniz Toros Bütün Piliç (Donuk Olarak Satıl…; Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak…; Akdeniz Toros Piliç Baget (Donuk Olarak Satıl…; Akdeniz Toros Piliç Bonfile (Donuk Olarak Sat…; Akdeniz Toros Piliç But (Donuk Olarak Satılır…; Akdeniz Toros Piliç Kanat (Donuk Olarak Satıl…; Akdeniz Toros Piliç Nuggut 500 Gr; Erpiliç Bonfile - 1 Kg.; Erpiliç But - 1 Kg.; Erpiliç Pirzola - 1 Kg.; Erpiliç Schnitzel 300 Gr; Hastavuk Piliç Ba - 1 Kg.; Hastavuk Piliç Bonfile(File - 1 Kg.; Hastavuk Piliç Kalçalı - 1 Kg.; Lezita Poşetli Bütün Piliç - 1,5 Kg.; Tavuk-Kemikli Göğüs Tabaklı (Donuk Olarak Sat…"
