Title,Monthly Inflation(%)
BINGO SIVI DET.BAKIM SERISI 4 LT RENKLI,0.0
BINGO SOFT 3 LT SENSITIVE,0.0
BINGO SOFT KONSANTRE 1440 ML LILYUM,0.0
BINGO SOFT KONSANTRE 1440 ML LOVELY,-6.6671111407427155
BINGO SOFT KONSANTRE 1440 ML SENSITIVE,-6.6671111407427155
BINGO TEK FISTA SPREY 900ML KIREC SOKUCU,0.0
BIOBLAS 250ML SAC BAKIM KREMI 7/24 COLLAGEN&KERATI,0.0
BIOBLAS 250ML SAC BAKIM KREMI COLLAGEN&KERATIN,0.0
BIOBLAS BOTANIK 360ML SAMP.IN.ISIRGAN,5.882698982293076
BIRYAG AYCICEK YAGI 4 LT PET,0.0
BIRYAG AYCICEK YAGI 5 LT PET,0.0
BIZIM BULYON ET 120 GR 9+3,0.0
BIZIM BULYON TAVUK 120 GR 9+3,0.0
BIZIM CORBA DOMATES 65 GR,0.0
BIZIM CORBA EZOGELIN 80 GR,0.0
BIZIM CORBA K.MANTAR 65GR,0.0
BIZIM CORBA K.TAVUK 62 GR,0.0
BIZIM MARGARIN 250 GR 6 LI,14.286297399893872
BIZIM MARGARIN 250 GR PAKET,14.444444444444443
BLADE DEO 150 ML COOL FRESH,0.0
BLADE DEO 150ML SELF CONFIDENCE,0.0
BLENDAX 470ML SAMP.ISIRGAN OTU GUCLNDRC,7.143367383384527
BLENDAX 470ML SAMP.KEPEGE KARSI,7.143367383384527
BLENIOR AGDA BEZI 25 MT,0.0
BOUNTY BAR 57 GR,0.0
BOZKURT FENER MUM 10 LU,0.0
BOZKURT KOKULU BARDAK MUM,0.0
BREF DUO JEL 2X42 GR CICEK DUOPACK,0.0
BREF POWER AKTIV 50 GR OKYANUS TEKLI,0.0
BREF POWER AKTIV 50 GR ÇAM TEKLI,0.0
BREF POWER AKTIV DUOPACK 100 GR CAM 2 LI,-33.33555570371359
BREF POWER AKTIV DUOPACK 100 GR OKYANUS 2 LI,-33.33555570371359
BROART KARE FIRIN TEPSISI 2 LI.,50.00250012500624
BROART YUVARLAK FIRIN TEPSISI 2 LI.,50.00250012500624
BURCU BEZELYE 570 GR CAM,0.0
BURCU BEZELYE TNK 830 GR,0.0
BURCU HASLANMIS FASULYE 600 GR CAM,0.0
BURCU KETCAP KATKISIZ 650 GR ACI,-6.250976715111737
BURCU KETCAP KATKISIZ 650 GR TATLI,-6.250976715111737
BURCU KOZLEMIS PATLICAN 540 GR,0.0
BURCU KOZLENMIS BIBER 560 GR,-16.668055671305943
BURCU MAYONEZ BUFE 550 GR,3.688888888888881
BİBER KIRMIZI,8.696030262185312
BİBER KÖY KG,-43.480151310926566
CALVE KETCAP + LIGHT MAYONEZ 600 +540 GR,29.413494911465378
CALVE KETCAP 400 GR,0.0
CALVE KETCAP ACILI 600 GR,0.0
CALVE MAYONEZ 540 GR,0.0
CALVE SOS ACI 265 GR,-10.001000100010002
CALVE SOS BALLI HARDAL 260 GR,0.0
CALVE SOS CHEDDAR 240 GR,-10.001000100010002
CAMSIL MATIK 500 ML,0.0
CAMSIL MATIK YEDEK 1000GR,0.0
CANPED H.BEZI EMICI KULOT EXTRA LARGE 8 LI,0.0
CANPED H.BEZI EMICI KULOT ORTA 9LU,0.0
CANPED MESANE PEDI BUYUK 10LU,0.0
CANPED MESANE PEDI ORTA 10 LU,0.0
CANPETEK BAL 1000 GR,0.0
CANPETEK TABAKLI BAL 400 GR,8.696030262185312
CARTEDOR CLASSIC 850 ML VISNE BITTER KAYMAK,3.7735849056603774
CEMALIM LOKUMLU KLASIK PEYNIR KG,0.0
CEREZZA DEV BAHARAT DOMATES SOSU TADINDA 150 GR,0.0
