title,price,tuik_category,inflation_1d,inflation_7d,inflation_15d,inflation_30d
Shea Butter Ultra Rich Hand & Body Wash Eco-Refill - Shea El & Vücut Sabunu Eko-Yedek,1620.0,13,0.0,0.0,0.0,
Shea Butter Cream Hand Wash - Shea Krem El Sabunu,1800.0,13,0.0,0.0,0.0,
Cap Cédrat Shower Gel Eco-Refill - Cap Cedrat Duş Jeli Eko-Yedek,1900.0,13,0.0,0.0,0.0,
L'Occitan Shower Gel Eco-Refill - L'Occitan Duş Jeli Eko-Yedek,1900.0,13,0.0,0.0,0.0,
Immortelle Overnight Reset Serum Mask - Immortelle Reset Gece Serum Maskesi,990.0,13,0.0,0.0,0.0,
Set of 5 Immortelle Overnight Reset Serum Masks - 5'li Immortelle Reset Gece Serum Maskesi,4950.0,13,0.0,0.0,0.0,
Diffuser Stick for 475 ML - Oda Kokusu Çubukları 475 ML için,590.0,13,0.0,0.0,0.0,
Les Terrasses de Forcalquier Home Diffuser Eco-Refill - Les Terrasses de Forcalquier Oda Kokusu Eko-Yedek,5900.0,13,0.0,0.0,0.0,
Le Chemin des Baronnies Home Diffuser - Le Chemin des Baronnies Oda Kokusu,5350.0,13,0.0,0.0,0.0,
Les Terrasses de Forcalquier Home Diffuser - Les Terrasses de Forcalquier Oda Kokusu,5350.0,13,0.0,0.0,0.0,
Les Restanques de Mane Home Diffuser - Les Restanques de Mane Oda Kokusu,8000.0,13,0.0,0.0,0.0,
Almond Supple Skin Oil Eco-Refill - Badem Vücut Yağı Eko-Yedek,2360.0,13,0.0,0.0,0.0,
Almond Soap - Badem Sabun,370.0,13,0.0,0.0,0.0,
Almond Hand Cream - Badem El Kremi,1680.0,13,0.0,200.0,200.0,
Almond Shower Oil Eco-Refill - Badem Duş Yağı Eko-Yedek,2390.0,13,0.0,0.0,0.0,
Almond Supple Skin Oil - Badem Vücut Yağı,2610.0,13,0.0,0.0,0.0,
Almond Shower Scrub - Badem Duş Scrubı,1490.0,13,0.0,0.0,0.0,
Almond Polishing Paste - Badem Vücut Peelingi,2610.0,13,0.0,0.0,0.0,
Almond Milk Concentrate - Badem Nemlendirici Vücut Kremi,3230.0,13,0.0,0.0,0.0,
Almond Delightful Body Balm - Almond Delightful Vücut Kremi,3050.0,13,0.0,0.0,0.0,
Almond Hair & Body Mist - Badem Saç & Vücut Misti,2420.0,13,0.0,0.0,0.0,
Shea Body Rich Lotion - Shea Nemlendirici Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Verveine Santal Home Diffuser Eco Refill - Mine Çiçeği & Sandal Ağacı Oda Kokusu Eko-Yedek,4040.0,13,0.0,0.0,0.0,
Neroli Yuzu Home Diffuser Eco Refill - Portakal Çiçeği & Yuzu Oda Kokusu Eko-Yedek,4040.0,13,0.0,0.0,0.0,
Immortelle Precious Cleansing Foam - Immortelle Precious Temizleyici Köpük,1800.0,13,0.0,0.0,0.0,
Lavande Musc Home Diffuser Eco Refill - Lavanta Misk Oda Kokusu,4040.0,13,0.0,0.0,0.0,
Fleurs de Cerisier Limited Edition Body Lotion - Kiraz Çiçeği Özel Seri Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Fleurs de Cerisier Limited Edition El Kremi - Kiraz Çiçeği Özel Seri El Kremi,560.0,13,0.0,0.0,0.0,
Fleurs de Cerisier Limited Edition Shower Gel - Kiraz Çiçeği Özel Seri Duş Jeli,1180.0,13,0.0,0.0,0.0,
Fleurs de Cerisier Limited Edition Eau de Toilette - Fleurs de Cerisier Özel Seri EDT Parfüm,4040.0,13,0.0,0.0,0.0,
Shea Verbena Hand Liquid Soap Refill - Shea Verbena Sıvı Sabun Ekolojik & Ekonomik Yedek,1620.0,13,0.0,0.0,0.0,
Shea Lavender Liquid Soap Eco-Refill - Shea Lavanta Sıvı Sabun Eko-Yedek,1620.0,13,0.0,0.0,0.0,
Shea Verbena Liquid Soap - Shea Mine Çiçeği Sıvı Sabun,1800.0,13,0.0,0.0,0.0,
Shea Lavender Liquid Soap - Shea Lavanta Sıvı Sabun,1800.0,13,0.0,0.0,0.0,
Shea Butter Fabulous Body Oil - Shea Vücut Yağı,2180.0,13,0.0,0.0,0.0,
Shea Butter Ultra Rich Body Scrub - Shea Vücut Peelingi,2110.0,13,0.0,0.0,0.0,
Shea Butter Shower Cream - Shea Duş Kremi,1370.0,13,0.0,0.0,0.0,
Shea Butter Ultra Rich Body Cream Eco-Refill - Shea Yoğun Nemlendirici Vücut Kremi Eko-Yedek,2360.0,13,0.0,0.0,0.0,
Shea Butter Intensive Foot Balm - Shea Intensive Ayak Kremi,1800.0,13,0.0,0.0,0.0,
Shea Butter Intensive Hand Balm - Shea Intensive El Balmı,1800.0,13,0.0,0.0,0.0,
Shea Butter Cream Hand Wash  - Shea Krem El Sabunu,2800.0,13,0.0,0.0,0.0,
Shea Lavander Soap - Shea Lavantalı Sabun,560.0,13,0.0,0.0,-25.333333333333336,
Shea Milk Soap - Shea Sütlü Sabun,560.0,13,0.0,0.0,0.0,
Shea Lavander Liquid Soap - Shea Lavanta Sıvı Sabun,2800.0,13,0.0,0.0,0.0,
Shea Verbena Hand Lotion - Shea Verbena El Losyonu,1800.0,13,0.0,0.0,0.0,
Shea Verbena Liquid Soap - Shea Verbena Sıvı Sabun,2800.0,13,0.0,0.0,0.0,
Neroli Yuzu Home Diffuser - Portakal Çiçeği & Yuzu Oda Kokusu,4660.0,13,0.0,0.0,0.0,
Ambre Cade Home Diffuser - Amber & Ardıç Oda Kokusu,4660.0,13,0.0,0.0,0.0,
Tubereuse Gardenia Home Diffuser - Sümbülteber & Gardenya Oda Kokusu,4660.0,13,0.0,0.0,0.0,
Lavande Musc Home Diffuser - Lavanta Misk Oda Kokusu,4660.0,13,0.0,0.0,0.0,
Figuier Oolong Home Diffuser - İncir & Oolong Oda Kokusu,4660.0,13,0.0,0.0,0.0,
Peony Morning Shower Foam - Peony Morning Banyo Köpüğü,1370.0,13,0.0,0.0,0.0,
Peony Morning Body Cream - Peony Morning Vücut Kremi,1740.0,13,0.0,0.0,0.0,
Peony Morning Eau De Toilette - Peony Morning EDT Parfüm,4040.0,13,0.0,0.0,0.0,
Almond Candle - Badem Mum,2420.0,13,0.0,0.0,0.0,
Source Reotier Cleansing Gel - Reotier Temizleme Jeli,1550.0,13,0.0,0.0,0.0,
Cade Daily Exfoliating Cleanser - Cade Günlük Cilt Temizleyici,1550.0,13,0.0,0.0,0.0,
Shea Solid Face Cleanser - Shea Katı Yüz Temizleyici,1550.0,13,0.0,0.0,0.0,
Shea Micellar Water - Shea Miselar Suyu,1550.0,13,0.0,0.0,0.0,
Shea Face Cleansing Milk - Shea Yüz Temizleme Sütü,1550.0,13,0.0,0.0,0.0,
Shea Face Cleansing Cream - Shea Yüz Temizleme Kremi,1550.0,13,0.0,0.0,0.0,
Immortelle Precious Make Up Remover Oil - Immortelle Precious Makyaj Çıkarıcı Temizleme Yağı,1800.0,13,0.0,0.0,0.0,
Immortelle Reset Triphase Essence Travel Size - Seyahat Boy Immortelle Reset 3 Fazlı Losyon,2420.0,13,0.0,0.0,0.0,
Reine Des Pres Brightening Lotion - Reine Des Pres Aydınlatıcı Losyon,2420.0,13,0.0,0.0,0.0,
Source Reotier Essence - Reotier Losyon,1550.0,13,0.0,0.0,0.0,
Immortelle Divine Lotion - Immortelle Divine Losyon,2740.0,13,0.0,0.0,0.0,
Immortelle Precious Essential Water - Immortelle Precious Tonik,1550.0,13,0.0,0.0,0.0,
Immortelle Precious Enriched Water - Immortelle Precious Zengin İçerikli Tonik,1800.0,13,0.0,0.0,0.0,
Immortelle Precious Emulsion - Immortelle Precious Emülsiyon,4040.0,13,0.0,0.0,0.0,
Cade Revitalizing Cream - Cade Canlandırıcı Cilt Kremi,2800.0,13,0.0,0.0,0.0,
Shea Butter Ultra Rich Comforting Cream - Shea Yoğun Nemlendirici Yüz Kremi,2300.0,13,0.0,0.0,0.0,
Reine Des Pres UV Shield SPF50 - Çayır Kraliçesi Aydınlatıcı UV Korumalı Yüz Kremi SPF50,2610.0,13,0.0,0.0,0.0,
Cade Energizing Fluid - Cade Enerji Veren Emülsiyon Krem,800.0,13,0.0,0.0,0.0,
Reine Des Pres Brightening Cream - Reine Des Pres Aydınlatıcı Krem,4040.0,13,0.0,0.0,0.0,
Source Reotier Mattifying Fluid - Reotier Matlaştırıcı Emülsiyon Krem,1800.0,13,0.0,0.0,0.0,
Source Reotier Glow Cream - Reotier Işıltı Veren Krem,1800.0,13,0.0,0.0,0.0,
Immortelle Harmonie Cream Eco-Refill - Immortelle Harmony Krem Eko-Yedek,9630.0,13,0.0,0.0,0.0,
Immortelle Harmonie Cream - Immortelle Harmony Krem,10570.0,13,0.0,0.0,0.0,
Immortelle Precious Eye Patches 12x2 - Immortelle Precious Göz Pedleri 12x2,2740.0,13,0.0,0.0,0.0,
Reine Blanche Sheet Mask - Reine Blanche Aydınlatıcı Kağıt Maske,590.0,13,0.0,0.0,0.0,
Infusions Radiance Scrub - Infusions Işıltı Veren Scrub,1800.0,13,0.0,0.0,0.0,
Infusions Invigorating Face & Eye Mask - Infusions Canlandırıcı Yüz & Göz Maskesi,1800.0,13,0.0,0.0,0.0,
Immortelle Divine Eye & Lip Contour - Immortelle Divine Göz ve Dudak Kremi,3980.0,13,0.0,0.0,0.0,
Immortelle Precious Eye Balm - Immortelle Precious Göz Balmı,2740.0,13,0.0,0.0,0.0,
Immortelle Precious Eye Balm + Immortelle Reset Overnight Eye Serum,6410.0,13,0.0,0.0,0.0,
Immortelle Divine Eye & Lip Cream + Immortelle Reset Overnight Eye Serum,7650.0,13,0.0,0.0,0.0,
Immortelle Reset Overnight Serum Eco-Refill - Immortelle Reset Gece Serumu Eko-Yedek,5280.0,13,0.0,0.0,0.0,
Reine Des Pres Brightening Serum - Çayır Kraliçesi Aydınlatıcı Yüz Serumu,4290.0,13,0.0,0.0,0.0,
Immortelle Divine Extract - Immortelle Divine Serum,6150.0,13,0.0,0.0,0.0,
Immortelle Harmonie Serum - Immortelle Harmony Serum,11810.0,13,0.0,0.0,0.0,
Reine Blanche Overnight Targeted Spot Care - Reine Blanche Leke Giderici Gece Bakım Ürünü,3850.0,13,0.0,0.0,0.0,
Shea Butter Bi-Phase Serum - Shea İki Fazlı Cilt Serumu,2420.0,13,0.0,0.0,0.0,
Fleurs De Cerisier Lip Balm - Kiraz Çiçeği Dudak Balmı,590.0,13,0.0,0.0,0.0,
Rose Lip Balm - Gül Dudak Balmı,590.0,13,0.0,0.0,0.0,
Shea Butter Ultra Rich Lip Balm - Shea Yoğun Nemlendirici Dudak Balmı,590.0,13,0.0,0.0,0.0,
Reine Blanche Illuminating Mist - Reine Blanche Aydınlatıcı Yüz Misti,1210.0,13,0.0,0.0,0.0,
Rose Hand Cream - Gül El Kremi,1680.0,13,0.0,0.0,0.0,
Osmanthus Abricot Hand Cream - Osmanthus Abricot El Kremi,560.0,13,0.0,0.0,0.0,
Mélilot Hand Cream - Mélilot El Kremi,560.0,13,0.0,0.0,0.0,
Barbotine Hand Cream - Barbotine El Kremi,560.0,13,0.0,0.0,0.0,
Lavander Blanche Hand Cream - Beyaz Lavanta El Kremi,1180.0,13,0.0,0.0,0.0,
Fleurs De Cerisier Hand Cream - Kiraz Çiçeği El Kremi,560.0,13,0.0,0.0,0.0,
Neroli & Orchidee Hand Cream - Portakal Çiçeği & Orkide El Kremi,1680.0,13,0.0,0.0,0.0,
Glycine Hand Cream - Glycine El Kremi,560.0,13,0.0,0.0,0.0,
Ortie Blanche (Herbae) Hand Cream - Ortie Blanche (Herbae) El Kremi,560.0,13,0.0,0.0,0.0,
Lavender Hand Cream - Lavanta El Kremi,560.0,13,0.0,0.0,0.0,
Néroli & Orchidée Hand Cream - Portakal Çiçeği & Orkide El Kremi,560.0,13,0.0,0.0,0.0,
Osmanthus Hand Cream - Osmanthus El Kremi,560.0,13,0.0,0.0,0.0,
Verbena Geranium Hand Cream - Sardunya & Mineçiçeği El Kremi,560.0,13,0.0,0.0,,
Verbena Cooling Hand Cream - Mine Çiçeği El Kremi,560.0,13,0.0,0.0,0.0,
Citrus Verbena Hand Cream - Citrus Verbena El Kremi,560.0,13,0.0,0.0,0.0,
Shea Midday Soap - Shea Midday Sabun,440.0,13,0.0,0.0,0.0,
Lavander Blanche Soap - Beyaz Lavanta Sabun,370.0,13,0.0,0.0,0.0,
Fleurs De Cerisier Soap - Kiraz Çiçeği Sabun,370.0,13,0.0,0.0,0.0,
Rose Soap - Gül Sabun,370.0,13,0.0,0.0,0.0,
Cherry Blossom Soap - Kiraz Çiçeği Sabun,370.0,13,0.0,0.0,0.0,
