product_name,price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
"İlkim Alt Modül Sepet Üst Modül Kapak Banyo Dolabı, 35 Cm",4590.0,5,0.0,0.0,,
"Çakır Kirli Çamaşır Dolabı, Beyaz",2990.0,5,0.0,0.0,,
Modilayn Esinti Çamaşır Bölmeli Banyo Dolabı,5240.0,5,0.0,0.0,,
"Lange Çamaşır Makinesi Dolabı, Beyaz",3068.0,5,0.0,0.0,,
"Mines 3 Raflı Aynalı Banyo Üst Dolabı, Beyaz",2990.0,5,0.0,0.0,,
"Lisa Aynalı Banyo Dolabı, Beyaz",2540.0,5,0.0,0.0,,
"Ruda Banyo Dolabı, Beyaz, İki Kapaklı",1949.0,5,0.0,0.0,,
"Dorpek Ravi Üst Banyo Dolabı, Beyaz",2039.0,5,0.0,0.0,,
"İlkim Alt Ve Üst Modül Sepetli Banyo Dolabı, 35 Cm",4590.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 3 Sepetli, 135 Cm",11749.0,5,0.0,0.0,,
"Bino Yapışkanlı Askı, Şeffaf, İkili",129.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 90 Cm 2 Sepetli, 125 Cm",11149.0,5,0.0,0.0,,
"Bino Yapışkanlı Tasarım Tuvalet Kağıtlığı Askısı, Gold, Paslanmaz Çelik",366.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 85 Cm 2 Sepetli, 120 Cm",10599.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 80 Cm 2 Sepetli, 115 Cm",10299.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 75 Cm 2 Sepetli, 110 Cm",9999.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 70 Cm 2 Sepetli, 105 Cm",9699.0,5,0.0,0.0,,
"Modilayn Nuvano Banyo Dolabı, Sepetli, Beyaz",9740.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 65 Cm 1 Geniş Sepetli, 100 Cm",8949.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 60 Cm 1 Geniş Sepetli, 95 Cm",8649.0,5,0.0,0.0,,
"Yenice Banyo Dolabı, 55 Cm 1 Geniş Sepetli, 90 Cm",8349.0,5,0.0,0.0,,
Denise Siyah Metal Ayaklı Havluluk,8499.0,5,0.0,,,
"Yenice Banyo Dolabı, 1 Sepetli, 70 Cm",7199.0,5,0.0,0.0,,
Bicabin Çamaşır Makinesi Bölmeli Banyo Dolabı,6770.0,5,0.0,0.0,,
Lacerda Siyah Metal Ayaklı Havluluk,5999.0,5,0.0,,,
"Derya Dekor Palmiro Çamaşır Makinası Dolabı, Beyaz",5400.0,5,0.0,0.0,,
"Nisa Kirli Çamaşır Sepetli Banyo Dolabı 2 Kapaklı, Beyaz",4975.0,5,0.0,0.0,,
"Modilayn Çok Amaçlı Banyo Dolabı, 2 Kapılı",4190.0,5,0.0,0.0,,
"Marsah Home Metal Havluluk, Siyah",4127.0,5,0.0,0.0,,
"Pari Vileda Dolabı, Beyaz",3874.0,5,0.0,,,
Marsah Home Metal Peçetelik,3870.0,5,0.0,0.0,,
"Bino Üçgen Masif Paslanmaz Mutfak Banyo Düzenleyici Raf, Gold",481.0,5,0.0,0.0,,
"Lose 2 Kapaklı Aynalı Banyo Dolabı, Beyaz",2716.0,5,0.0,0.0,,
"Lisa Raflı Aynalı Banyo Üst Dolabı, Beyaz",2561.0,5,0.0,0.0,,
"Ruda Aynalı Banyo Dolabı, Beyaz",2239.0,5,0.0,0.0,,
"Ruda Tek Kapaklı Aynalı Banyo Dolabı, Beyaz",1949.0,5,0.0,0.0,,
Komet Şeffaf Derin Tepsi,1280.0,5,0.0,0.0,,
"Bino Organizer Mutfak Banyo Rafı, Gold",749.0,5,0.0,0.0,,
Bino Çok Amaçlı Banyo Makyaj Takı Organizeri,684.0,5,0.0,0.0,,
"Bino Mutfak Banyo Düzenleyici Raf, 2 Katlı, Gold",481.0,5,0.0,0.0,,
"Bino Yapışkanlı Tasarımkağıt Havluluk Peçetelik, Gold, Paslanmaz Çelik",423.0,5,0.0,0.0,,
Bino Yapışkanlı Fön Makinesi Organizer,366.0,5,0.0,0.0,,
"Makrome Tek Kişilik Bahçe Salıncağı, Antrasit",6599.0,5,0.0,0.0,,
Nart Çay Seti Takımı,15199.0,5,0.0,0.0,,
"Porto Çay Seti Takımı, Antrasit",6669.0,5,0.0,0.0,,
"Port Bahçe Balkon Yemek Masası Takımı, 4 Kişilik",39727.0,5,0.0,0.0,,
Lavira Bahçe Balkon Oturma Grubu,26999.0,5,0.0,0.0,,
Viva Salıncak,6499.0,5,0.0,0.0,,
"Siena Bahçe Takımı, Antrasit",28999.0,5,0.0,0.0,,
Lunel Bahçe Balkon Masa Takımı,46750.0,5,0.0,0.0,,
Lagos Bahçe Balkon Köşe Takımı,49999.0,5,0.0,0.0,,
Mila Bahçe Ve Balkon  Seti,25061.0,5,0.0,0.0,,
Arles Bahçe Balkon Oturma Grubu,29899.0,5,0.0,0.0,,
Mira Çay Seti Takımı,16799.0,5,0.0,0.0,,
Calm Bahçe Balkon Oturma Grubu,29699.0,5,0.0,0.0,,
Mare Bohem Oturma Grubu,45999.0,5,0.0,0.0,,
Helen Masa Takımı,34179.0,5,0.0,0.0,,
Helen Çay Seti,15999.0,5,0.0,0.0,,
Helen Bahçe Sehpası,6079.0,5,0.0,0.0,,
Nart Bahçe Takımı,23199.0,5,0.0,0.0,,
"Mira Bahçe Takımı, 4 Kişilik",25799.0,5,0.0,0.0,,
"Mira Oturma Grubu, 4 Kişilik",42199.0,5,0.0,0.0,,
"Ritim Oturma Grubu, 4 Kişilik",42199.0,5,0.0,0.0,,
Nest Bahçe Balkon Köşe Takımı,56299.0,5,0.0,0.0,,
"Daisy Bahçe Köşe Takımı, Cappuccino",58499.0,5,0.0,16.555090655509066,,
"Cedro Bahçe Ve Balkon Oval Masa Takımı, 4-6 Kişilik",37419.0,5,0.0,0.0,,
Wiki Salıncak,6499.0,5,0.0,0.0,,
Sally Salıncak,8749.0,5,0.0,0.0,,
"Port Bahçe Balkon Sandalyesi, İkili",12864.0,5,0.0,0.0,,
Palmira Tekli Salıncak,13199.0,5,0.0,55.3006236027768,,
"Daisy Bahçe Takımı, Antrasit",58499.0,5,0.0,16.555090655509066,,
"Letra Rattan İkili Bahçe Mobilyası, Gri",38400.0,5,0.0,0.0,,
Mare Bohem Modüler Mini Köşe Bahçe Ve Balkon Takımı,38303.0,5,0.0,0.0,,
Sion Bahçe Ve Balkon Takımı,32319.0,5,0.0,0.0,,
"Mily İkili Salıncak, Koyu Kahve",16364.0,5,0.0,0.0,,
"Daisy Yemek Masa Seti, 6 Kişilik, Cappicino",41499.0,5,0.0,0.0,,
Helen Bahçe Balkon Sandalyesi,4960.0,5,0.0,0.0,,
Mova Rattan Bahçe Balkon Seti,23999.0,5,0.0,0.0,,
"Ebruli Çay Seti, Antrasit Siyah",20149.0,5,0.0,0.0,,
Bloom Bahçe Balkon Oturma Grubu,29899.0,5,0.0,0.0,,
İris Çay Seti Takımı,17699.0,5,0.0,0.0,,
"Vita Bahçe Ve Balkon Koltuğu, Puflu",16680.0,5,0.0,0.0,,
Port Bahçe Balkon Masası,13999.0,5,0.0,0.0,,
Mare Bohem Bahçe Sehpası,9299.0,5,0.0,0.0,,
Mare Bohem Tekli Bahçe Ve Balkon Koltuğu,10150.0,5,0.0,0.0,,
Mare Bohem İkili Bahçe Ve Balkon Koltuğu,16400.0,5,0.0,0.0,,
"Sona Salıncak, Koyu Kahve",12499.0,5,0.0,62.34575918950513,,
Olea Rattan Bahçe Balkon Seti,22999.0,5,0.0,0.0,,
Ritim Üçlü Bahçe Ve Balkon Koltuğu,18600.0,5,0.0,0.0,,
Ritim Tekli Bahçe Ve Balkon Koltuğu,9370.0,5,0.0,0.0,,
Ritim İkili Bahçe Ve Balkon Koltuğu,14970.0,5,0.0,0.0,,
Ritim Bahçe Ve Balkon Sehpası,8489.0,5,0.0,0.0,,
"Daisy Yemek Masa Seti, 6 Kişilik, Seramik",41499.0,5,0.0,0.0,,
Mira Tekli Bahçe Ve Balkon Koltuğu,9190.0,5,0.0,0.0,,
Cedro İkili Bahçe Ve Balkon Sandalyesi,12000.0,5,0.0,0.0,,
Helen Bahçe Masası,14339.0,5,0.0,0.0,,
Mira Üçlü Bahçe Ve Balkon Koltuğu,19380.0,5,0.0,0.0,,
Mira İkili Bahçe Ve Balkon Koltuğu,15460.0,5,0.0,0.0,,
Sion İkili Bahçe Balkon Sandalyesi,11020.0,5,0.0,0.0,,
"Daisy Bahçe Yemek Masa Seti, 8 Kişilik, Seramik",47849.0,5,0.0,0.0,,
"İris Alüminyum İp Örgü Masa Takımı, 4 Kişilik",29999.0,5,0.0,0.0,,
Mira Bahçe Ve Balkon Sehpası,8359.0,5,0.0,0.0,,
Sion Bahçe Ve Balkon Masası,10279.0,5,0.0,0.0,,
Cedro Bahçe Ve Balkon Masası,13419.0,5,0.0,0.0,,
Vita Bahçe Ve Balkon Puf,5657.0,5,0.0,0.0,,
"Daisy Şemsiye Seti, Cappuccıno",26449.0,5,0.0,0.0,,
"Rattan Puf, Gri",2009.0,5,0.0,0.0,,
"Future Şezlong, Cappucıno",6999.0,5,0.0,0.0,,
Mykonos Şemsiye,57949.0,5,0.0,0.0,,
"Tavoli Bahçe Masası, Vizon",3499.0,5,0.0,0.0,,
"Relax Tekli Bahçe Koltuğu, Krem",11499.0,5,0.0,0.0,,
Noon Bahçe Oturma Grubu,44099.0,5,0.0,0.0,,
Linda Bahçe Yemek Masası Takımı,65249.0,5,0.0,0.0,,
"Leda Bahçe Oturma Grubu, Cappuccıno",32499.0,5,0.0,0.0,,
"Leda Bahçe Oturma Grubu, Antrasit",32499.0,5,0.0,0.0,,
"Rocco Bahçe Masa Takımı, Kahverengi",91999.0,5,0.0,0.0,,
"Divona Home Next Kolsuz Şezlong, Fileli, Antrasit",6799.0,5,0.0,0.0,,
Stage Bahçe Salıncağı,37799.0,5,0.0,0.0,,
Olea Salıncak,20149.0,5,0.0,0.0,,
"Pavia Rattan Bahçe Mobilyası, Kahverengi",45999.0,5,0.0,0.0,,
Ocean Oturma Grubu,50999.0,5,0.0,0.0,,
Pearl Bahçe Oturma Grubu,73499.0,5,0.0,0.0,,
"İris Bahçe Oturma Grubu, Krem",55899.0,5,0.0,0.0,,
"Alaska Masalı Puflu Bahçe Balkon Takımı, Kahve",26299.0,5,0.0,0.0,,
"Pearl Bahçe Masa Takımı, 8 Kişilik",110999.0,5,0.0,0.0,,
"Yapboz Demonte Sedir Ve Minder Seti, Krem",5499.0,5,0.0,0.0,,
Arte Bahçe Masa Takımı,78999.0,5,0.0,0.0,,
"Limni Home Mini Multilounge Bahçe Balkon Koltuğu, Krem",10999.0,5,0.0,0.0,,
"İris Bahçe Oturma Grubu, Gri",53999.0,5,0.0,0.0,,
"Sky Bahçe Oturma Grubu, Antrasit",39049.0,5,,,,
"Brono Metal Divan Karyola, Siyah, 90X200",4800.0,5,0.0,0.0,,
Arte Alüminyum Bahçe Oturma Grubu,66999.0,5,0.0,0.0,,
"Limni Home Mini Multilounge Bahçe Balkon Koltuğu, Gri",10999.0,5,0.0,0.0,,
"Varago Rattan Bahçe Balkon Seti, Krem",42499.0,5,0.0,0.0,,
"Capella İkili Bahçe Oturma Grubu, Antrasit",38145.0,5,0.0,0.0,,
Axel Bahçe Köşe Takımı Cappucıno,61499.0,5,0.0,0.0,,
"Capella İkili Bahçe Oturma Grubu, Krem",36549.0,5,0.0,0.0,,
"Baker Ahşap Bahçe Masa Takımı, 6 Kişilik",139189.0,5,0.0,0.0,,
"Axel Bahçe Köşe Takımı, Antrasit",61499.0,5,0.0,0.0,,
Baron Tekli Salıncak,23599.0,5,0.0,0.0,,
Marco Rattan Bahçe Oturma Grubu,119999.0,5,0.0,0.0,,
Brook Alüminyum İp Örgü Bahçe Oturma Grubu,110499.0,5,0.0,,,
Line Bahçe Oturma Grubu,47999.0,5,0.0,0.0,,
Sofa Üçlü Bahçe Oturma Takımı,99999.0,5,0.0,0.0,,
"Monte Carlo Yuvarlak Masa Takımı, 6 Kişilik, Krem",97999.0,5,0.0,0.0,,
"Bino Bahçe Bistro Masa Sandalye Takımı, Mavi",1496.0,5,0.0,0.0,,
"Dior Şezlong, Cappıcıno",18999.0,5,0.0,0.0,,
"Bidonlu Balkon Bahçe Şemsiyesi, 10 Telli, Gri",3077.0,5,0.0,0.0,,
Mini Pro Şemsiye,13200.0,5,0.0,0.0,,
"Nesli Sandalye, Vizon",2900.0,5,0.0,,,
"Mono Rattan Daybed, Gri",30000.0,5,0.0,0.0,,
Happy İkili Bahçe Oturma Grubu,31499.0,5,0.0,0.0,,
Siesta Bahçe Oturma Grubu,75399.0,5,0.0,,,
"Küba Bahçe Masa Takımı, 6 Kişilik",60990.0,5,0.0,0.0,,
"Side Rattan Bahçe Masa Takımı, 7 Kişilik, 100X180",72440.0,5,0.0,0.0,,
"Rocco Bahçe Yemek Masa Takımı, 6 Kişilik",71499.0,5,0.0,,,
"Lars Metal Divan Karyola, Siyah, 90X200 Cm",5999.0,5,0.0,0.0,,
Maldiv Bahçe Oturma Grubu,65999.0,5,0.0,0.0,,
Line Bahçe Köşe Takımı,68249.0,5,0.0,0.0,,
Santio Bahçe Oturma Grubu,68090.0,5,0.0,0.0,,
"Rio Alüminyum Üçlü  Bahçe Oturma Grubu, Antrasit",66653.0,5,0.0,0.0,,
Rio Alüminyum Üçlü  Bahçe Oturma Grubu,66653.0,5,0.0,0.0,,
"Axel Bahçe Oturma Grubu, Antrarit",61499.0,5,0.0,0.0,,
"Joker Sehpa, Bej",1999.0,5,0.0,0.0,,
Comford Bahçe Balkon Sehpası,10199.0,5,0.0,0.0,,
Lars Metal Divan Karyola Yatak Seti,9999.0,5,0.0,0.0,,
"Okyanus İp Örgü Üçlü Oturma Grubu, Cappucino",57849.0,5,0.0,0.0,,
"Okyanus İp Örgü Üçlü Oturma Grubu, Gri",57849.0,5,0.0,,,
"Okyanus İp Örgü Üçlü Oturma Grubu, Antrasit",57849.0,5,0.0,0.0,,
Nes Katlanır Bahçe Balkon Seti,10400.0,5,0.0,0.0,,
Catra Bahçe Oturma Grubu,55999.0,5,0.0,0.0,,
