tarih,kategori,urun_adi,fiyat,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
2026-05-22,temel-gida,Bağdat Izgara Baharatı 65 Gr,78.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Kabuk Tarçın 45 Gr,89.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Karabiber 40 Gr,97.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat KaraBiber Tuzluklu 55 Gr,166.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Karanfil 15 Gr,64.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Karbonat 1 Kg,146.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Karbonat 150 Gr,50.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Kekik 25 Gr,97.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Kekik Eko 60 Gr,215.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Kimyon 75 Gr,97.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Kişniş 40 Gr,36.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Köfte Baharı 65 Gr,74.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Köfte Harcı 90 Gr,62.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Köri 70 Gr,82.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Kuş Üzümü 40 Gr,100.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Limon Tuzu 60 Gr,60.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Limon Tuzu Eko 275 Gr,158.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Mahlep 30 Gr,203.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Mavi Haşhaş 80 Gr,88.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Nane 30 Gr,50.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Nane 70 Gr,96.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Pul Biber 210 Gr,212.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Pul Biber 80 Gr,93.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Sarımsak Granül 40 Gr,62.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Selection Et Çeşnisi 45 Gr,147.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Sumak 80 Gr,119.0,TRY,01,0.0,0.0,0.0,0.0
