Date,Price,District,Rooms
2026-03-19,24000,"Merkez
Taşmescit",2+0
2026-03-19,23000,"Merkez
Taşmescit",3+1
2026-03-19,26000,"Merkez
Taşmescit",2+1
2026-03-19,17000,"Merkez
Çarşı",2+1
2026-03-19,16500,"Merkez
Çarşı",3+1
2026-03-19,22000,"Merkez
Taşmescit",1+1
2026-03-19,15000,"Merkez
Çarşı",3+1
2026-03-19,25500,"Merkez
Çarşı",2+0
2026-03-19,13750,"Merkez
Taşmescit",3+1
2026-03-19,16000,Çerkeş,2+1
2026-03-19,33000,"Merkez
Taşmescit",4+1
2026-03-19,15000,"Merkez
Çarşı",3+1
2026-03-19,25000,"Merkez
Taşmescit",3+1
2026-03-19,25000,"Merkez
Taşmescit",2+1
2026-03-19,16000,"Merkez
Çarşı",2+1
2026-03-19,23000,"Merkez
Çarşı",2+0
2026-03-19,15500,"Merkez
Çarşı",3+1
2026-03-19,13000,"Merkez
Çarşı",2+1
2026-03-19,23500,"Merkez
Taşmescit",3+1
2026-03-19,25000,"Merkez
Taşmescit",1+1
2026-03-19,35000,"Merkez
Çarşı",3+1
2026-03-19,13000,"Merkez
Çarşı",2+1
2026-03-19,20000,"Merkez
Çarşı",3+1
2026-03-19,12000,"Merkez
Taşmescit",1+1
2026-03-19,14000,"Merkez
Taşmescit",1+1
2026-03-19,16000,"Merkez
Taşmescit",2+1
2026-03-19,10000,"Merkez
Çarşı",Stüdyo (1+0)
2026-03-19,8500,"Merkez
Çarşı",1+1
2026-03-19,10000,"Merkez
Çarşı",3.5+1
2026-03-19,18000,"Merkez
Taşmescit",1+1
2026-03-19,18000,Orta,3+1
2026-03-19,18000,"Merkez
Taşmescit",3+1
2026-03-19,17500,"Merkez
Çarşı",3+1
2026-03-19,15000,"Merkez
Çarşı",1+1
2026-03-19,20500,"Merkez
Çarşı",3+1
2026-03-19,22000,"Merkez
Çarşı",3+1
2026-03-19,15500,"Merkez
Çarşı",1+1
2026-03-19,12500,"Merkez
Taşmescit",3+1
2026-03-19,20000,"Merkez
Çarşı",2+1
2026-03-19,23000,"Merkez
Taşmescit",3+1
2026-03-19,21000,"Merkez
Çarşı",1+1
2026-03-19,14000,"Merkez
Taşmescit",2+1
2026-03-19,18000,"Merkez
Çarşı",1+1
2026-03-19,16000,"Merkez
Çarşı",3+1
2026-03-19,21000,"Merkez
Çarşı",2+0
2026-03-19,14000,Kurşunlu,2+1
2026-03-19,27000,"Merkez
Çarşı",3+1
2026-03-19,17000,"Merkez
Çarşı",2+0
2026-03-19,38000,"Merkez
Taşmescit",3+1
2026-03-19,20000,"Merkez
Taşmescit",1+1
2026-03-19,32500,"Merkez
Çarşı",3+1
2026-03-19,18500,"Merkez
Çarşı",3+1
2026-03-19,9000,"Merkez
Çarşı",2+1
2026-03-19,20000,"Merkez
Çarşı",2+1
2026-03-19,13000,"Merkez
Taşmescit",1+1
2026-03-19,10500,"Merkez
Taşmescit",3+1
2026-03-19,15000,"Merkez
Taşmescit",3+1
2026-03-19,15000,"Merkez
Taşmescit",2+1
2026-03-19,17500,"Merkez
Taşmescit",3+1
2026-03-19,15500,"Merkez
Çarşı",2+1
2026-03-19,28000,"Merkez
Çarşı",3+1
2026-03-19,22000,"Merkez
Çarşı",1+1
2026-03-19,15000,"Merkez
Çarşı",2+1
2026-03-19,22000,"Merkez
Taşmescit",3+1
2026-03-19,13000,"Merkez
Taşmescit",3+1
2026-03-19,25000,"Merkez
Taşmescit",3+1
2026-03-19,11500,"Merkez
Çarşı",2+1
2026-03-19,18500,"Merkez
Taşmescit",3+1
2026-03-19,22000,"Merkez
Taşmescit",3+1
2026-03-19,25000,"Merkez
Çarşı",3+1
2026-03-19,16000,Çerkeş,3+1
2026-03-19,18500,"Merkez
Taşmescit",3+1
2026-03-19,21000,"Merkez
Çarşı",3+1
2026-03-19,17000,"Merkez
Taşmescit",3+1
2026-03-19,25000,"Merkez
Çarşı",3+1
2026-03-19,25000,"Merkez
Taşmescit",3+1
2026-03-19,15000,"Merkez
Taşmescit",2+1
2026-03-19,10000,"Merkez
Taşmescit",2+1
2026-03-19,9000,"Merkez
Taşmescit",2+1
2026-03-19,14000,"Merkez
Çarşı",2+1
2026-03-19,24000,"Merkez
Taşmescit",1+1
2026-03-19,13750,"Merkez
Çarşı",3+1
2026-03-19,27000,"Merkez
Çarşı",4+1
2026-03-19,20000,"Merkez
Taşmescit",1+1
2026-03-19,22500,Şabanözü,3+1
2026-03-19,25000,"Merkez
Çarşı",3+1
2026-03-19,22500,"Merkez
Çarşı",3+1
2026-03-19,14000,"Merkez
Taşmescit",3+1
2026-03-19,21000,"Merkez
Çarşı",3+1
2026-03-19,17000,"Merkez
Çarşı",2+1
2026-03-19,25000,"Merkez
Çarşı",3+1
2026-03-19,25500,"Merkez
Taşmescit",2+0
2026-03-19,19000,"Merkez
Çarşı",3+1
2026-03-19,16000,"Merkez
Çarşı",3+1
2026-03-19,15000,Şabanözü,3+1
2026-03-19,12000,"Merkez
Çarşı",3+1
2026-03-19,14000,"Merkez
Çarşı",2+1
2026-03-19,17500,"Merkez
Çarşı",2+1
2026-03-19,16000,"Merkez
Taşmescit",3+1
2026-03-19,31000,"Merkez
Çarşı",4+1
2026-03-19,16000,Kurşunlu,2+1
2026-03-19,21000,"Merkez
Taşmescit",1+1
2026-03-19,27000,"Merkez
Taşmescit",3+1
2026-03-19,18000,"Merkez
Taşmescit",3+1
2026-03-19,18000,"Merkez
Çarşı",2+1
2026-03-19,22000,"Merkez
Çarşı",1+1
2026-03-19,28000,"Merkez
Taşmescit",2+1
2026-03-19,23000,"Merkez
Çarşı",3+1
2026-03-19,23500,"Merkez
Çarşı",3+1
2026-03-19,15500,"Merkez
Taşmescit",3+1
2026-03-19,10000,"Merkez
Çarşı",2+1
2026-03-19,15500,"Merkez
Çarşı",3+1
2026-03-19,12000,"Merkez
Çarşı",2+1
2026-03-19,11000,"Merkez
Çarşı",2+1
2026-03-19,18000,"Merkez
Taşmescit",2+1
2026-03-19,23000,"Merkez
Taşmescit",1+1
2026-03-19,21500,"Merkez
Çarşı",2+1
2026-03-19,15500,"Merkez
Çarşı",3+1
2026-03-19,17500,"Merkez
Çarşı",2+1
2026-03-19,17500,"Merkez
Taşmescit",3+1
2026-03-19,26000,"Merkez
Çarşı",3+1
2026-03-19,21500,"Merkez
Çarşı",3+1
2026-03-19,10000,Ilgaz,2+1
2026-03-19,20000,"Merkez
Taşmescit",3+1
2026-03-19,11000,"Merkez
Çarşı",2+1
2026-03-19,23000,"Merkez
Taşmescit",3+1
2026-03-19,8500,"Merkez
Çarşı",Stüdyo (1+0)
2026-03-19,20900,"Merkez
Çarşı",2+1
2026-03-19,24000,"Merkez
Taşmescit",3+1
2026-03-19,15000,Şabanözü,3+1
2026-03-19,14000,"Merkez
Taşmescit",2+1
2026-03-19,20000,"Merkez
Çarşı",2+1
2026-03-19,20500,"Merkez
Taşmescit",2+1
