Product Title,Price (TL),Category
FITTED KETEN KARIŞIMLI YELEK,1499.99,Women
REGULAR FIT JEAN GÖMLEK,1699.99,Women
REGULAR FIT JEAN GÖMLEK,1699.99,Women
WIDE LEG UZUN JEAN PANTOLON,1299.99,Women
OVERSIZE MÜSLİN UZUN KOLLU GÖMLEK,899.99,Women
WIDE LEG YÜKSEK BEL MÜSLİN PANTOLON,899.99,Women
SLIM FIT YARIM BALIKÇI YAKA KREP TİŞÖRT,599.99,Women
WIDE LEG KREP PANTOLON,999.99,Women
FITTED KETEN KARIŞIMLI YELEK,1499.99,Women
STRAIGHT FIT YÜKSEK BEL KETEN KARIŞIMLI PANTOLON,1099.99,Women
SLIM FIT TEK OMUZLU ATLET,399.99,Women
WIDE LEG PANTOLON,999.99,Women
A FORM MAXİ ETEK,1199.99,Women
OVERSIZE POLO YAKA GÖMLEK,1299.99,Women
LOOSE FIT AKIŞKAN KUMAŞ GÖMLEK,899.99,Women
WIDE LEG YÜKSEK BEL MODAL PANTOLON,999.99,Women
SLIM FIT KISA KOLLU TİŞÖRT,599.99,Women
WIDE LEG PANTOLON,899.99,Women
LOOSE FIT AKIŞKAN KUMAŞ GÖMLEK,899.99,Women
WIDE LEG YÜKSEK BEL MODAL PANTOLON,999.99,Women
ÇİZGİLİ KETEN KARIŞIMLI YELEK,1499.99,Women
A KESİM ETEK,1499.99,Women
FITTED BİSİKLET YAKA YELEK,1299.99,Women
ÇİZGİLİ KEMERLİ ŞORT ETEK,899.99,Women
WIDE LEG YÜKSEK BEL PANTOLON,999.99,Women
REGULAR FIT GÖMLEK YAKA CEKET,1499.99,Women
FITTED BİSİKLET YAKA YELEK,1299.99,Women
FITTED BİSİKLET YAKA YELEK,1299.99,Women
KEMERLİ ŞORT ETEK,899.99,Women
CROPPED FIT GÖMLEK,699.99,Women
WIDE LEG BELİ LASTİKLİ PANTOLON,769.99,Women
WIDE LEG BÜRÜMCÜK PANTOLON,699.99,Women
SLIM FIT TEK OMUZLU BÜRÜMCÜK TİŞÖRT,499.99,Women
REGULAR FIT GÖMLEK YAKA CEKET,1499.99,Women
WIDE LEG ÇİFT CEPLİ YÜKSEK BEL PANTOLON,999.99,Women
SLIM FIT BİSİKLET YAKA ATLET,699.99,Women
WIDE LEG PANTOLON,999.99,Women
SLIM FIT BÜRÜMCÜK TİŞÖRT,499.99,Women
WIDE LEG BÜRÜMCÜK PANTOLON,599.99,Women
WIDE LEG BÜRÜMCÜK PANTOLON,699.99,Women
SLIM FIT BÜRÜMCÜK KISA KOLLU TİŞÖRT,499.99,Women
SLIM FIT DÜĞMELİ KOLSUZ BLUZ,699.99,Women
WIDE LEG PANTOLON,999.99,Women
SLIM FIT YARIM BALIKÇI YAKA TİŞÖRT,599.99,Women
WIDE LEG PANTOLON,899.99,Women
SLIM FIT V YAKA PUANTİYELİ BÜRÜMCÜK TİŞÖRT,499.99,Women
WIDE LEG BÜRÜMCÜK PANTOLON,599.99,Women
YELEK,1299.99,Women
JEAN ŞORT ETEK,1299.99,Women
REGULAR FIT,999.99,Women
RELAX FIT MODAL PANTOLON,899.99,Women
REGULAR FIT KETEN KARIŞIMLI UZUN KOLLU TUNİK,1099.99,Women
REGULAR FIT KETEN KARIŞIMLI UZUN KOLLU TUNİK,1099.99,Women
WIDE LEG KETEN KARIŞIMLI PANTOLON,899.99,Women
WIDE LEG PANTOLON,899.99,Women
SLIM FIT YARIM BALIKÇI YAKA TİŞÖRT,599.99,Women
ASİMETRİK KAYIK YAKA BÜRÜMCÜK TİŞÖRT,599.99,Women
STRAIGHT FIT BÜRÜMCÜK PANTOLON,699.99,Women
OVERSIZE KETEN KARIŞIMLI,799.99,Women
YÜKSEK BEL WIDE LEG PANTOLON,999.99,Women
RİBANA HIRKA,719.99,Women
FLARE FIT RİBANA PANTOLON,799.99,Women
RİBANA HIRKA,719.99,Women
FLARE FIT RİBANA PANTOLON,799.99,Women
MİNİ ETEK,1299.99,Women
REGULAR FIT KARELİ MODAL KOLSUZ BLUZ,899.99,Women
OVERSIZE HAKİM YAKA BLAZER CEKET,1799.99,Women
NORMAL BEL ŞORT ETEK,999.99,Women
SLIM FIT FİTİLLİ KAŞKORSE ATLET,399.99,Women
BALLOON FIT NORMAL BEL DÜZ PAÇA PANTOLON,1299.99,Women
CROP CEPLİ AKIŞKAN KUMAŞ KISA KOLLU GÖMLEK,899.99,Women
A KESİM MİDİ ETEK,1049.99,Women
BALLOON FIT NORMAL BEL POPLİN PANTOLON,1299.99,Women
SU GEÇİRMEZ BALLOON FIT MONT,2499.99,Women
REGULAR FIT KETEN KARIŞIMLI,1099.99,Women
STRAIGHT WIDE KETEN KARIŞIMLI PANTOLON,999.99,Women
RELAX FIT SKUBA DALGIÇ KUMAŞ HIRKA,779.99,Women
RELAX FIT SKUBA DALGIÇ KUMAŞ HIRKA,779.99,Women
BAGGY FIT SKUBA DALGIÇ KUMAŞ PANTOLON,599.99,Women
RELAX FIT HIRKA,659.99,Women
REGULAR FIT PANTOLON,659.99,Women
RELAX FIT KETEN KARIŞIMLI FERMUARLI GÖMLEK,1299.99,Women
STRAIGHT FIT GENİŞ PAÇA KETEN KARIŞIMLI PANTOLON,999.99,Women
RELAX FIT HIRKA,659.99,Women
REGULAR FIT PANTOLON,659.99,Women
SLIM FIT KISA KOLLU TİŞÖRT,699.99,Women
ÖRME PANTOLON,599.99,Women
REGULAR FIT KISA KOLLU TİŞÖRT,599.99,Women
WIDE LEG PANTOLON,899.99,Women
STRAIGHT FIT PANTOLON,799.99,Women
REGULAR FIT UZUN KOLLU GÖMLEK,999.99,Women
REGULAR FIT UZUN KOLLU TİŞÖRT,539.99,Women
WIDE LEG PANTOLON,599.99,Women
RELAX FIT HIRKA,899.99,Women
WIDE LEG PANTOLON,899.99,Women
LOOSE FIT MODAL HIRKA,899.99,Women
FLARE FIT MODAL PANTOLON,719.99,Women
AKSESUAR DETAYLI BÜRÜMCÜK TİŞÖRT,599.99,Women
STRAIGHT FIT BÜRÜMCÜK PANTOLON,699.99,Women
OVERSIZE MÜSLİN GÖMLEK,899.99,Women
WIDE LEG YÜKSEK BEL MÜSLİN PANTOLON,899.99,Women
REGULAR FIT SÜET,699.99,Women
REGULAR FIT SÜET,699.99,Women
STRAIGHT WIDE SÜET PANTOLON,699.99,Women
REGULAR FIT KETEN KARIŞIMLI UZUN KOLLU TUNİK,1099.99,Women
WIDE LEG KETEN KARIŞIMLI PANTOLON,899.99,Women
WRAP YAKA AKSESUAR DETAYLI BLUZ,539.99,Women
WIDE LEG PANTOLON,599.99,Women
REGULAR FIT HIRKA,699.99,Women
STRAIGHT WIDE PANTOLON,479.99,Women
REGULAR FIT HIRKA,699.99,Women
STRAIGHT WIDE PANTOLON,799.99,Women
REGULAR FIT UZUN KOLLU GÖMLEK,799.99,Women
STRAIGHT FIT DÜZ PAÇA PANTOLON,799.99,Women
REGULAR FIT,999.99,Women
RELAX FIT MODAL PANTOLON,899.99,Women
REGULAR FİT BÜRÜMCÜK TİŞÖRT,499.99,Women
STRAIGHT FIT BÜRÜMCÜK PANTOLON,599.99,Women
REGULAR FİT BÜRÜMCÜK TİŞÖRT,499.99,Women
STRAIGHT FIT BÜRÜMCÜK PANTOLON,599.99,Women
REGULAR FIT BÜRÜMCÜK KISA KOLLU TİŞÖRT,499.99,Women
STRAIGHT FIT BÜRÜMCÜK PANTOLON,599.99,Women
RELAX FIT KALIN SWEATSHİRT KUMAŞI HIRKA,799.99,Women
STRAİGHT FİT BASIC YÜKSEK BEL KALIN EŞOFMAN ALTI,419.99,Women
RELAX FIT KALIN SWEATSHİRT KUMAŞI HIRKA,799.99,Women
SLIM FIT FİTİLLİ KAŞKORSE ATLET,299.99,Women
STRAİGHT FİT BASIC YÜKSEK BEL KALIN EŞOFMAN ALTI,419.99,Women
STRAİGHT FİT BASIC YÜKSEK BEL KALIN EŞOFMAN ALTI,419.99,Women
RELAX FIT KALIN SWEATSHİRT KUMAŞI HIRKA,799.99,Women
SLIM FIT FİTİLLİ KAŞKORSE ATLET,299.99,Women
STRAİGHT FİT BASIC CEPLİ YÜKSEK BEL EŞOFMAN ALTI,419.99,Women
REGULAR FIT,799.99,Women
STRAIGHT WIDE PANTOLON,799.99,Women
RELAX FIT KISA KOLLU TİŞÖRT,399.99,Women
A KESİM MİDİ ETEK,1499.99,Women
STRAİGHT FİT BASIC YÜKSEK BEL KALIN EŞOFMAN ALTI,419.99,Women
STRAİGHT FİT BASIC YÜKSEK BEL KALIN EŞOFMAN ALTI,419.99,Women
RELAX FIT KALIN SWEATSHİRT KUMAŞI HIRKA,799.99,Women
SLIM FIT FİTİLLİ KAŞKORSE ATLET,299.99,Women
STRAİGHT FİT BASIC CEPLİ YÜKSEK BEL EŞOFMAN ALTI,419.99,Women
REGULAR FIT,799.99,Women
STRAIGHT WIDE PANTOLON,799.99,Women
RELAX FIT KISA KOLLU TİŞÖRT,399.99,Women
A KESİM MİDİ ETEK,1499.99,Women
STRAİGHT FİT BASIC YÜKSEK BEL KALIN EŞOFMAN ALTI,419.99,Women
STRAİGHT FİT BASIC YÜKSEK BEL KALIN EŞOFMAN ALTI,419.99,Women
RELAX FIT KALIN SWEATSHİRT KUMAŞI HIRKA,799.99,Women
SLIM FIT FİTİLLİ KAŞKORSE ATLET,299.99,Women
STRAİGHT FİT BASIC CEPLİ YÜKSEK BEL EŞOFMAN ALTI,419.99,Women
REGULAR FIT,799.99,Women
STRAIGHT WIDE PANTOLON,799.99,Women
RELAX FIT KISA KOLLU TİŞÖRT,399.99,Women
