date,avg_hunger_threshold_TRY,median_hunger_threshold_TRY,min_hunger_threshold_TRY,n_na
Feb 2026,18771.78,18350.99,10873.08,6
Mar 2026,18428.64,16909.78,11198.09,6
Apr 2026,15955.08,14113.22,9978.56,6
May 2026,20756.61,18823.1,14743.51,5
