tarih,grup_id,urun_adi,fiyat
2026-03-18 00:19:11,26,Sarı Efe Çiftliği Gezen Tavuk Yumurtası 10 Lu,99.95
2026-03-18 00:19:11,26,Torku Kakaolu Tahin Helvası 500 G,129.95
2026-03-18 00:19:11,26,Torku Sade Helva 500 Gr,129.95
2026-03-18 00:19:11,26,Gemvit Jumbo Gemlik Sele Zeytin Kg 230-260 Klb,299.95
2026-03-18 00:19:11,26,İpek Çiftliği Bergama Tulum Peyniri Kg,479.95
2026-03-18 00:19:11,30,Vindex Fast Sprey Mop,249.95
2026-03-18 00:19:11,33,"Purina One Steril Sığır Etli Yetişkin Kedi Maması 1,5 Kg",695.0
2026-03-18 00:19:11,33,"Purina One Tavuklu Yetişkin Kuru Kedi Maması 1,5 kg",695.0
2026-03-18 00:19:11,33,Felix Sensations Sığır Etli ve Domatesli Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,"Purina One Steril Sığır Etli Kısırlaştırılmış Kedi Maması 1,5 Kg",695.0
2026-03-18 00:19:11,33,"Purina One Steril Somonlu Kedi Maması 1,5 Kg",695.0
2026-03-18 00:19:11,33,Friskies Junior Tavuklu Yavru Yaş Kedi Maması 100 Gr,30.9
2026-03-18 00:19:11,33,Friskies Somonlu Yaş Kedi Maması 85 Gr,30.9
2026-03-18 00:19:11,33,Friskies Tavuklu Yaş Kedi Maması 85 Gr,30.9
2026-03-18 00:19:11,33,Friskies Sığır Etli Yaş Kedi Maması 85 Gr,30.9
2026-03-18 00:19:11,33,Friskies Yetişkin Kümes Hayvanlı Kuru Kedi Maması 300 Gr,95.9
2026-03-18 00:19:11,33,Purina One Streril Kediler Sığır Etli Kısırlaştırılmış Kuru Kedi Maması 800 Gr,429.9
2026-03-18 00:19:11,33,Purina One Steril Kediler Somonlu Kuru Kedi Maması 800 Gr,429.9
2026-03-18 00:19:11,33,Purina One 1- 12 Ay Yavru Kedi Maması 800 Gr,429.9
2026-03-18 00:19:11,33,Gourmet Gold Kıyılmış Hindili Konserve Yaş Kedi Maması 85 Gr,59.9
2026-03-18 00:19:11,33,Gourmet Gold Kıyılmış Sığır Etli Konserve Yaş Kedi Maması 85 Gr,59.9
2026-03-18 00:19:11,33,Gourmet Gold Kıyılmış Ton Balıklı Konserve Yaş Kedi Maması 85 Gr,59.9
2026-03-18 00:19:11,33,Gourmet Gold Kıyılmış Tavuklu Konserve Yaş Kedi Maması 85 Gr,59.9
2026-03-18 00:19:11,33,Felix Pouch Tasty Shreds Somonlu Yaş Kedi Maması 80 Gr,33.95
2026-03-18 00:19:11,33,Felix Pouch Tasty Shreds Tavuklu Yaş Kedi Maması 80 Gr,33.95
2026-03-18 00:19:11,33,Felix Pouch Tasty Shreds Ton Balıklı Yaş Kedi Maması 80 Gr,33.95
2026-03-18 00:19:11,33,Felix Somon ve Sardalyalı Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Junior Sığır Etli ve Tavuklu Yaş Yavru Kedi Maması 4x85 Gr,123.45
2026-03-18 00:19:11,33,Felix Sensation Tavuklu ve Havuçlu Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Sensations Somon ve Karidesli Yaş Kedi Maması 85 Gr,32.95
