Date_Scraped,Source,Category,Title,Price,URL
2026-08-14,akakce.com,Motosiklet,Arora CR250 Cross 223 cc Motosiklet,"138.899,00 TL +6 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-cr-250-cross-fiyati,717333990.html"
2026-08-14,akakce.com,Motosiklet,Arora Cappucino 50 cc Scooter Motosiklet,"77.490,00 TL +6 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-cappucino-50-cc-b-sinifi-ehliyet-mtv-yok-fiyati,1749139067.html"
2026-08-14,akakce.com,Motosiklet,Apec PS5 125 cc Scooter Motosiklet,"44.810,00 TL +13 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-apec-ps5-125-cc-fiyati,414968063.html"
2026-08-14,akakce.com,Motosiklet,Apec PS3 49.4 cc Scooter Motosiklet,"49.999,00 TL +9 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-apec-49-4-cc-benzinli-moped-fiyati,31470228.html"
2026-08-14,akakce.com,Motosiklet,Arora Beatrix 150 cc Scooter Motosiklet,"116.990,00 TL +13 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-beatrix-150-cc-benzinli-fiyati,417533887.html"
2026-08-14,akakce.com,Motosiklet,RKS Lince 125 124 cc Scooter Motosiklet,"101.030,16 TL TEK FİYAT","https://www.akakce.com/motosiklet/en-ucuz-rks-lince-125-124-cc-scooter-fiyati,1077309924.html"
2026-08-14,akakce.com,Motosiklet,Arora Safari Pro 125 cc Scooter Motosiklet,"75.600,00 TL +2 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-safari-pro-125-cc-scooter-fiyati,291496998.html"
2026-08-14,akakce.com,Motosiklet,Revolt RT3 Touring 125 cc Motosiklet,"62.300,00 TL +6 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-revolt-rt3-125-cc-benzinli-fiyati,743015280.html"
2026-08-14,akakce.com,Motosiklet,Volta Revolt RS6 125 cc Scooter Motosiklet,"58.800,00 TL +8 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-volta-revolt-rs6-125-cc-benzinli-fiyati,912434683.html"
2026-08-14,akakce.com,Motosiklet,Yuki Hammer 50 cc Scooter Motosiklet,"96.500,00 TL +5 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-yuki-hammer-50-benzinli-scooter-fiyati,527631789.html"
2026-08-14,akakce.com,Motosiklet,Mondial Virago 50 cc Scooter Motosiklet,"65.000,00 TL TEK FİYAT","https://www.akakce.com/motosiklet/en-ucuz-mondial-50-virago-i-fiyati,399058138.html"
2026-08-14,akakce.com,Motosiklet,Arora Fırtına 50 Cub 50 cc Motosiklet,"46.990,00 TL +25 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-firtina-50-cub-fiyati,746819282.html"
