Date_Scraped,Source,Category,Title,Price,URL
2026-08-25,akakce.com,Motosiklet,Apec PS5 125 cc Scooter Motosiklet,"54.880,00 TL +8 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-apec-ps5-125-cc-fiyati,414968063.html"
2026-08-25,akakce.com,Motosiklet,Apec PS3 49.4 cc Scooter Motosiklet,"49.999,00 TL +9 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-apec-49-4-cc-benzinli-moped-fiyati,31470228.html"
2026-08-25,akakce.com,Motosiklet,Arora Cappucino 50 cc Scooter Motosiklet,"92.120,00 TL +5 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-cappucino-50-cc-b-sinifi-ehliyet-mtv-yok-fiyati,1749139067.html"
2026-08-25,akakce.com,Motosiklet,Arora Safari Pro 125 cc Scooter Motosiklet,"69.900,00 TL +5 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-safari-pro-125-cc-scooter-fiyati,291496998.html"
2026-08-25,akakce.com,Motosiklet,Arora Beatrix 150 cc Scooter Motosiklet,"116.990,00 TL +9 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-beatrix-150-cc-benzinli-fiyati,417533887.html"
2026-08-25,akakce.com,Motosiklet,Yuki Hammer 50 cc Scooter Motosiklet,"96.500,00 TL +2 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-yuki-hammer-50-benzinli-scooter-fiyati,527631789.html"
2026-08-25,akakce.com,Motosiklet,Mondial Virago 50 cc Scooter Motosiklet,"65.000,00 TL TEK FİYAT","https://www.akakce.com/motosiklet/en-ucuz-mondial-50-virago-i-fiyati,399058138.html"
2026-08-25,akakce.com,Motosiklet,Kuba Hussar 135 ATV 125 cc Motosiklet,"106.148,70 TL +2 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-kuba-hussar-135-atv-beyaz-fiyati,1568242769.html"
2026-08-25,akakce.com,Motosiklet,CFmoto 250SR Sport Racing 250 cc Motosiklet,"195.990,20 TL +12 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-cfmoto-250-sr-fiyati,665577097.html"
2026-08-25,akakce.com,Motosiklet,Arora Fırtına 50 Cub 50 cc Motosiklet,"46.990,00 TL +25 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-firtina-50-cub-fiyati,746819282.html"
2026-08-25,akakce.com,Motosiklet,Arora Sonic 125 cc ATV Motosiklet,"79.990,00 TL +2 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-sonic-125-cc-atv-fiyati,1360362833.html"
2026-08-25,akakce.com,Motosiklet,Kuba Hussar 220 Pro Atv,"156.555,00 TL +3 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-kuba-hussar-220-pro-atv-fiyati,597876255.html"
2026-08-25,akakce.com,Motosiklet,Arora Hunter 300 T3 Onroad 176 cc ATV Motosiklet,"229.900,00 TL +4 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-hunter-300-t3-onroad-atv-fiyati,266104834.html"
2026-08-25,akakce.com,Motosiklet,Arora CK250 249 cc Touring Motosiklet,"129.990,00 TL +8 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-ck250-249-cc-touring-fiyati,1138614207.html"
2026-08-25,akakce.com,Motosiklet,Motolux Cappadocia Chopper 125 cc Motosiklet,"104.990,00 TL +5 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-motolux-cappadocia-chopper-125-cc-fiyati,1097365954.html"
2026-08-25,akakce.com,Motosiklet,Mondial Cross X-Treme Maxx 200i Cross 197 cc Motosiklet,"118.999,00 TL +1 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-mondial-x-treme-maxx-200-i-yesil-motorsiklet-fiyati,1627175480.html"
2026-08-25,akakce.com,Motosiklet,Musatti Rajon 50X 49 cc Scooter Motosiklet,"94.999,00 TL +4 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-musatti-rajon-50x-49-cc-scooter-fiyati,1238280771.html"
2026-08-25,akakce.com,Motosiklet,Musatti Kai-Zen Chopper 249 cc Motosiklet,"315.000,00 TL TEK FİYAT","https://www.akakce.com/motosiklet/en-ucuz-musatti-kai-zen-chopper-249-cc-fiyati,1238364827.html"
2026-08-25,akakce.com,Motosiklet,Arora AR125 Sport Touring 125 cc Motosiklet,"142.990,00 TL TEK FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-ar125-sport-touring-125-cc-fiyati,1141682333.html"
2026-08-25,akakce.com,Motosiklet,Mutt Mongrel 125 Naked 125 cc Motosiklet,"98.505,00 TL TEK FİYAT","https://www.akakce.com/motosiklet/en-ucuz-mutt-mongrel-125-naked-125-cc-fiyati,1340523379.html"
2026-08-25,akakce.com,Motosiklet,Volta Revolt RSX7 150 cc Scooter Motosiklet,"142.000,00 TL +2 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-volta-revolt-rsx7-150-cc-scooter-fiyati,1125718128.html"
2026-08-25,akakce.com,Motosiklet,Revolt RT3 Touring 125 cc Motosiklet,"62.300,00 TL +7 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-revolt-rt3-125-cc-benzinli-fiyati,743015280.html"
2026-08-25,akakce.com,Motosiklet,Volta Revolt RS6 125 cc Scooter Motosiklet,"58.800,00 TL +8 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-volta-revolt-rs6-125-cc-benzinli-fiyati,912434683.html"
2026-08-25,akakce.com,Motosiklet,RKS K-Light 250 Chopper Cruiser 250 cc Motosiklet,"228.888,00 TL +1 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-rks-k-light-250-chopper-fiyati,369708807.html"
2026-08-25,akakce.com,Motosiklet,Mondial Strada 125 cc Scooter Motosiklet,"133.999,00 TL +4 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-mondial-strada-125-scooter-fiyati,527631765.html"
2026-08-25,akakce.com,Motosiklet,Arora Cappucino S50 50 cc Scooter Motosiklet,"79.900,00 TL +6 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-cappucino-s50-50-cc-scooter-fiyati,1326951949.html"
2026-08-25,akakce.com,Motosiklet,Arora Max Pro 125 cc Scooter Motosiklet,"160.000,00 TL +3 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-max-pro-scooter-fiyati,694914560.html"
2026-08-25,akakce.com,Motosiklet,Enbest Pro A02 Mini Cross 50 cc Motosiklet,"31.500,00 TL +22 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-enbest-pro-a02-mini-cross-50-cc-fiyati,871672191.html"
2026-08-25,akakce.com,Motosiklet,Motolux Nirvana Pro 50 cc Scooter Motosiklet,"61.999,00 TL +5 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-motolux-nirvana-pro-50-cc-scooter-fiyati,1213498788.html"
2026-08-25,akakce.com,Motosiklet,Kuba TK-03 50 cc Motosiklet,"76.342,00 TL +10 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-kuba-tk-03-50-cc-fiyati,1729531607.html"
2026-08-25,akakce.com,Motosiklet,Arora Malibu Pro 125 cc Scooter Motosiklet,"74.990,00 TL +5 FİYAT","https://www.akakce.com/motosiklet/en-ucuz-arora-malibu-pro-125-cc-fiyati,743010649.html"
2026-08-25,akakce.com,Motosiklet,Kuba Superlight 125 Chopper Cruiser 124 cc Motosiklet,"137.102,00 TL TEK FİYAT","https://www.akakce.com/motosiklet/en-ucuz-kuba-superlight-125-chopper-fiyati,1671467108.html"
2026-08-25,akakce.com,Bisiklet,Belderia X7 MD 7 Vites 20 Jant Katlanır Bisiklet,"6.999,00 TL +5 FİYAT","https://www.akakce.com/bisiklet/en-ucuz-belderia-x7-20-jant-7-vites-unisex-katlanir-siyah-neon-yesil-fiyati,1596023740.html"
2026-08-25,akakce.com,Bisiklet,Bisan TRX 8100 V 21 Vites 28 Jant Erkek Şehir Bisikleti,"11.999,00 TL +44 FİYAT","https://www.akakce.com/bisiklet/en-ucuz-bisan-trx-8100-v-28-jant-21-vites-fiyati,688531934.html"
2026-08-25,akakce.com,Bisiklet,Kron TX 75 MD 21 Vites 28 Jant Erkek Şehir Bisikleti,"11.309,13 TL +9 FİYAT","https://www.akakce.com/bisiklet/en-ucuz-kron-tx-75-md-28-jant-21-vites-erkek-fiyati,681592330.html"
2026-08-25,akakce.com,Bisiklet,Belderia Pexma V 12 Jant Çocuk Bisikleti,"1.699,00 TL +6 FİYAT","https://www.akakce.com/bisiklet/en-ucuz-belderia-pexma-12-jant-fiyati,462665592.html"
