date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Mar 2026,Fruits,Seasonal Fruit,Kg,12.9,134.99,1741.37,134.99,1741.37,69.99,902.87,2,Çilek Kg; Greyfurt Kg
Mar 2026,Vegetables,Onion,Kg,18.0,91.66,1649.88,99.99,1799.82,24.99,449.82,3,Soğan Kuru Kg; Soğan Kırmızı Kg; Soğan Arpacık Kg
Mar 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,156.66,3618.85,149.99,3464.77,69.99,1616.77,3,Patlıcan Kg; Patlıcan Bostan Kg; Kabak Girit Kg
Mar 2026,Vegetables,Other Vegetables,Kg,11.8,226.25,2669.75,226.25,2669.75,174.94,2064.29,2,Tat Taze Fasulye 800 Gr; Superfresh Taze Fasulye 450 Gr
Mar 2026,Oils,Olive Oil,Liter,1.1,470.66,517.73,414.94,456.43,316.65,348.31,26,Ahsaf Zeytinyağı Riviera 2 Lt Teneke; Ahsaf Zeytinyağı Riviera 500 Ml Pet; Ahsaf Zeytinyağı Riviera 1 Lt Pet; Ahsaf Zeytinyağı Sızma 500 Ml Pet; Ahsaf Zeytinyağı Sızma 1 Lt Pet; Ahsaf Zeytinyağı Sızma 2 Lt Teneke; Komili Sızma Zeytinyağı 500 ml; Komili Riviera Zeytinyağı 1 Lt; Komili Zeytinyağı Riviera 500 Ml Pet; Tariş Riviera Zeytinyağı Teneke 1 lt; Komili Riviera Zeytinyağı Pet 2 lt; Komili Sızma Zeytinyağı 2 lt; Komili Sızma Zeytinyağı 1 lt; +Arko Nem Değerli Yağlar Zeytinyağı 6…; Zeytinyağı Riviera Maraska 750 Ml; Tariş Sızma Naturel Zeytinyağı Teneke…; Tariş Sızma Naturel Zeytinyağı Teneke…; Tariş Zeytinyağı Naturel Sızma 750 Ml; Tariş Zeytinyağı 915 Natürel Sızma 2 …; Ahsaf Zeytinyağı Riviera 3 Lt Teneke; Ahsaf Zeytinyağı Sızma 3 Lt Teneke; Komili Zeytinyağı 3 Lt; Komili Yağ Riviera Zeytinyağı 3 Lt; Tariş Maraska Sızma Zeytinyağı 750 Ml; Tariş Riviera Zeytinyağı 500 Ml; Tariş Riviera Teneke Zeytinyağı 2 Lt
Mar 2026,Other Food Products,Grissini,Kg,2.1,409.0,858.9,480.0,1008.0,262.5,551.25,5,Ülker Altınbaşak Grissini Kepekli 125…; Ülker Altınbaşak Grissini 125 Gr; Halk Ekmek Grissini Kepekli 200 gr; İhe Grissini Çörekotlu 200 Gr; Ülker Altınbaşak Grissini Çavdarlı Ka…
Apr 2026,Dairy Products,Yogurt,Kg,59.7,92.11,5498.97,83.85,5005.85,69.32,4138.4,23,Kebir Ev Tipi Yoğurt 1 Kg; Kebir Yoğurt Ev Tipi 2 Kg; İçim Doğal Yoğurt 2000 g; Torku Yoğurt Yarım Yağlı Kova 2000 Gr; Deva Yoğurt Tam Yağlı Kova 2000 Gr; Sütaş Light Homojenize Yoğurt 650 Gr; Torku Tam Yağlı Yoğurt 500 Gr; Torku Tam Yağlı Yoğurt 1500 Gr; Sütaş Sarımsaklı Yoğurt 500 g; Eker Yoğurt Kova 2000 g; Yörükoğlu Ev Yapımı Tadında Doğal Yoğ…; Yörükoğlu Yoğurt 1200 Gr; Yörükoğlu Yoğurt Homojenize 750 gr; Yörükoğlu Ev Tipi Yoğurt 3750 Gr; Pınar Yoğurt Lezzetin Alası 500 Gr; İtimat Yoğurt 500 Gr; İçim Yoğurt 750 Gr; Eker Yoğurt Efsane 1250 Gr; Eker Yoğurt Yarım Yağlı 1.5 Kg; Eker Yoğurt 750 Gr; Eker Yoğurt Efsane 350 Gr; Eker Yoğurt Bidon 2 Kg; Yörükoğlu Doğal Yoğurt 500 Gr
Apr 2026,Dairy Products,White Cheese,Kg,5.7,359.12,2046.98,337.42,1923.29,213.27,1215.64,30,Tahsildaroğlu Klasik İnek Beyaz Peyni…; Sütaş Beyaz Peynir Klasik 500 Gr; Muratbey Sürmeli Taze Peynir 400 Gr; İçim Süzme Beyaz Peynir 250 Gr; Ekici Lokum Kıvamında Beyaz Peynir 50…; Nur Ceylan Tam Yağlı Sert Beyaz Peyni…; İçim Tam Yağlı Beyaz Peynir 500 g; İçim Süzme Beyaz Peynir 500 g; İçim Beyaz Peynir 900 g; Ekici Beyaz Peynir Lokum Kıvamında Kg; Tahsildaroğlu Açık Beyaz Peynir Enhoş…; Ekici Klasik Beyaz Peynir 250 G; Teksüt Tam Yağlı Beyaz Peynir 500 Gr; Ayca Tam Yağlı Beyaz Peynir 500 Gr; Ayca Özel Tam Yağlı Beyaz Peynir 800 …; Eker Klasik Beyaz Peynir 500 g; Nur Ceylan Tam Yağlı Yumuşak Beyaz Pe…; Torku Tam Yağlı Taze Beyaz Peynir 900…; Kebir Beyaz Peynir 800 g; Sütaş Beyaz Peynir 900 g; Sütaş Tam Yağlı Beyaz Peynir 500 g; Gürsüt Tadım Beyaz Peynir Yarım Yağlı…; Sütaş Klasik Beyaz Peynir Olgunlaştır…; Ekici Tam Yağlı Beyaz Peynir 800 gr; Ekici Süzme Beyaz Peynir 400 Gr; Yörükoğlu Beyaz Peynir 900 Gr; Yörükoğlu Taze Beyaz Peynir 600 Gr; Teksüt Beyaz Peynir Süzme 750 Gr; Ayca Beyaz Peynir 800 gr; Sütaş Beyaz Peynir 250 g
Apr 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,1117.49,5140.45,1249.99,5749.95,429.99,1977.95,4,Akdeniz Toros Bonfile Kuşbaşı Kuru Yo…; Kıvırcık Kuzu Kuşbaşı Kg; Akdeniz Toros Dana Kuşbaşı 500 g Donu…; Dana Kuşbaşı Yemeklik Kg
Apr 2026,Meat and Protein,Chicken,Kg,10.3,309.11,3183.83,279.99,2883.9,189.99,1956.9,17,Akdeniz Toros Piliç Bütün Poşetli Kur…; Akdeniz Toros Piliç Fırınlık Üst But …; Akdeniz Toros Piliç Bonfile Kuru Yolu…; Akdeniz Toros Donuk Piliç Eko Kanat Kg; Donuk Piliç Kuru Yolum Sırtsız Kemikl…; Akdeniz Toros Piliç Kuru Yolum Donuk …; Akdeniz Toros Piliç Baget Kuru Yolum …; Akdeniz Toros Piliç Donuk Fırınlık Üs…; Akdeniz Toros Donuk Bütün Tavuk Kuru …; Akdeniz Toros Piliç Sırtsız Kemikli G…; Akdeniz Toros Donuk Piliç Pirzola Kur…; Akdeniz Toros Piliç Donuk Kanat Kuru …; Akdeniz Toros Gezen Tavuk (Donuk) Büt…; Akdeniz Toros Piliç Derisiz Kemiksiz …; Akdeniz Toros Piliç Pirzola Kuru Yolu…; Akdeniz Toros Piliç Kanat Kuru Yolum …; Akdeniz Toros Piliç But Kuru Yolum Kg
