Product Name,Product Cost,Product Original Cost,Discount Amount,Discount Rate,Currency,Product ID,Stock Quantity,In Stock,Main Category,Top Category,Category ID,Category Path,Source Category,Source Category URL,Product URL,Image URL,Color,Size,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Bernardo Sade 10 Parça Kahvaltı Takımı Beyaz,1099.8,1211.99,112.19,9.26,TRY,7280209,486,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/bernardo-sade-10-parca-kahvalti-takimi-beyaz,https://cdn.karaca.com/image/marketplace-mirakll/7280209/51a45a77bec1e6e9a00b-0.jpg,,,05,,100.0,83.60601001669448,
Emile Henry Tereyağlık Dikdörtgen 400 Ml Kırmızı/burgundy,3289.3,4699.0,1409.7,30.0,TRY,7232253,10,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emile-henry-tereyaglik-dikdortgen-400-ml-kirmizi-burgundy,https://cdn.karaca.com/image/marketplace-mirakll/7232253/66566c0f60d0a62cb1e4-0.jpg,Kahverengi,,05,,4.445432318292954,4.445432318292954,
Emsan Aren 14 Parça 6 Kişilik Kahvaltı Takımı,1699.0,1699.0,0.0,0.0,TRY,7212535,17,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-aren-14-parca-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/3/202501/000001000158367001/8699343549981-100.jpg,,,05,,0.0,0.0,
Emsan Bien Porselen 32 Parça 6 Kişilik Kahvaltı Takımı,6999.0,6999.0,0.0,0.0,TRY,7209614,41,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-bien-porselen-32-parca-kahvalti-takimii,https://cdn.karaca.com/image/banner/000001000009714001-50.jpg,,,05,,0.0,0.0,
Emsan Bloom 14 Parça 6 Kişilik Kahvaltı Takımı,1999.0,1999.0,0.0,0.0,TRY,7233000,203,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-bloom-14-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/3/202509/000001000241563001/8699343590204-1.jpg,,,05,,0.0,33.3555703802535,
Emsan Bloom 14 Parça 6 Kişilik Kahvaltı Takımı Beyaz,1699.0,2999.0,1300.0,43.35,TRY,7278339,79,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-bloom-14-parca-6-kisilik-kahvalti-takimi-beyaz,https://cdn.karaca.com/image/000001000241565001/emsan-bloom-14-parca-6-kisilik-kahvalti-takimi-beyaz-000001000241565001.jpg,,,05,,0.0,,
Emsan Cozy 14 Parça 6 Kişilik Porselen Kahvaltı Takımı Beyaz,1999.0,1999.0,0.0,0.0,TRY,7214066,1309,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-cozy-14-parca-kahvalti-takimi-beyaz,https://cdn.karaca.com/image/cdndata/3/202503/000001000089303001/8699343551007-650.jpg,,,05,,0.0,53.88760585065435,
Emsan Cozy 14 Parça 6 Kişilik Porselen Kahvaltı Takımı Pembe,1499.0,1499.0,0.0,0.0,TRY,7214065,1043,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-cozy-14-parca-kahvalti-takimi-pembe,https://cdn.karaca.com/image/cdndata/3/202503/000001000089286001/8699343550994-650.jpg,,,05,,0.0,15.396458814472672,
Emsan Florist 30 Parça 6 Kişilik Porselen Kahvaltı Takımı,5999.0,5999.0,0.0,0.0,TRY,7191226,1112,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-florist-30-parca-6-kisilik-porselen-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/3/202311/000001000007715001/8699343518116-600.jpg,,,05,,0.0,,
Emsan Flowery Porselen 30 Parça 6 Kişilik Kahvaltı Takımı,3999.0,6999.0,3000.0,42.86,TRY,7208929,40,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-flowery-porselen-30-parca-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/3/202411/000001000009735001/8699343537247-30.jpg,,,05,,0.0,,
Emsan Golden 7 Parça Cam Pasta / Tatlı Seti,999.99,1299.0,299.01,23.02,TRY,7218865,50,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-golden-7-parca-cam-pasta---tatli-seti,https://cdn.karaca.com/image/cdndata/3/202505/000001000242670001/8699343592321-1.jpg,,,05,,0.0,0.0,
Emsan Parla Porselen 12 Parça 6 Kişilik Kahvaltı Takımı Beyaz,1999.0,1999.0,0.0,0.0,TRY,7171246,1317,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-parla-porselen-12-parca-6-kisilik-kahvalti-takimi-beyaz,https://cdn.karaca.com/image/cdndata/3/202302/000001000004493001/8699343509619-600.jpg,,,05,,0.0,53.88760585065435,
Emsan Pastel 6 Kişilik Cam Pasta Seti 21 cm,699.99,799.99,100.0,12.5,TRY,7218868,43,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-pastel-6-kisilik-cam-pasta-seti-21-cm,https://cdn.karaca.com/image/cdndata/3/202505/000001000242675001/8699343592376-2.jpg,,,05,,0.0,0.0,
Emsan Royal 14 Parça 6 Kişilik Kahvaltı Takımı,1699.0,1699.0,0.0,0.0,TRY,7212534,32,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-royal-14-parca-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/3/202501/000001000158380001/8699343549998-100.jpg,,,05,,0.0,0.0,
Emsan Teraryum 32 Parça 6 Kişilik Kahvaltı Takımı,6999.0,6999.0,0.0,0.0,TRY,7208847,21,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-teraryum-32-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/banner/2025/3/8386/000001000009636001-100.jpg,,,05,,0.0,0.0,
Emsan Victoria Porselen 32 Parça 6 Kişilik Kahvaltı/Servis Takımı,6999.0,6999.0,0.0,0.0,TRY,7168175,10,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-victoria-porselen-32-parca-6-kisilik-kahvalti-servis-takimi,https://cdn.karaca.com/image/cdndata/3/202301/000001000003328001/8699343494540-1.jpg,,,05,,0.0,0.0,
Emsan Viola Porselen 30 Parça 6 Kişilik Kahvaltı Takımı,6999.0,6999.0,0.0,0.0,TRY,7181159,58,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/emsan-viola-porselen-30-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/000001000007510001/emsan-viola-porselen-30-parca-6-kisilik-kahvalti-takimi-000001000007510001.jpg,,,05,,0.0,0.0,
Guzzini Tierra 2'li Yumurta Kabı Açık Krem,499.99,499.99,0.0,0.0,TRY,7138339,12,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/guzzini-tierra-2li-beyaz-yumurta-kabi,https://cdn.karaca.com/image/cdndata/184/202207/500.01.22.0226/8008392342335-35.jpg,,,05,,0.0,0.0,
Guzzini Tierra 2'li Yumurta Kabı Kil Rengi,499.99,499.99,0.0,0.0,TRY,7138355,14,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/guzzini-tierra-2li-bej-yumurta-kabi,https://cdn.karaca.com/image/cdndata/184/202207/500.01.22.0230/8008392342304-46.jpg,,,05,,0.0,0.0,
Jumbo Diego 4 Parça 1 Kişilik Kahvaltı Takımı,749.5,1499.0,749.5,50.0,TRY,7234046,428,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/jumbo-diego-4-parca-1-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/shopify_images/7234046/0-7234046.jpg,,,05,,0.0,-6.311328891611147,
Jumbo Leaf Verdance 26 Parça 6 Kişilik Kahvaltı Takımı,12999.0,12999.0,0.0,0.0,TRY,7233037,249,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/jumbo-leaf-verdance-26-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/shopify_images/7233037/0-7233037.jpg,,,05,,0.0,0.0,
Jumbo Prime Sütlük 50 ml,329.99,329.99,0.0,0.0,TRY,3820973,621,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/jumdo-prime-sutluk-5-cl-jhpr3705,https://cdn.karaca.com/image/shopify_images/3820973/0-3820973.jpg,,,05,,0.0,0.0,
Jumbo Pure 27 Parça 6 Kişilik Kahvaltı Takımı,9999.0,9999.0,0.0,0.0,TRY,7252509,1163,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/jumbo-pure-27-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/shopify_images/7252509/0-7252509.jpg,,,05,,42.86326618088298,66.67777962993833,
Jumbo Spectrum 24 Parça 6 Kişilik Porselen Kahvaltı Takımı,9999.0,9999.0,0.0,0.0,TRY,7252514,99,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/jumbo-spectrum-24-parca-6-kisilik-porselen-kahvalti-takimi,https://cdn.karaca.com/image/shopify_images/7252514/0-7252514.png,,,05,,0.0,0.0,
