Product Name,Product Cost,Product Original Cost,Discount Amount,Discount Rate,Currency,Product ID,Stock Quantity,In Stock,Main Category,Top Category,Category ID,Category Path,Source Category,Source Category URL,Product URL,Image URL,Color,Size,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Karaca Albert 6 Kişilik Pasta Seti 21 Cm,299.99,349.99,50.0,14.29,TRY,7194176,13,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-albert-6-kisilik-pasta-seti-21-cm,https://cdn.karaca.com/image/cdndata/1/202401/000001000144108001/8683650264996-4.jpg,,,05,,0.0,0.0,
Karaca Beatrice Sütlük/Sosluk,399.99,399.99,0.0,0.0,TRY,7208994,878,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-beatrice-sutluk,https://cdn.karaca.com/image/000001000234109001/karaca-beatrice-sutluk-sosluk-000001000234109001.jpg,,,05,,0.0,0.0,
Karaca Bella 3 Parça Dondurmalık 265 Ml,399.99,399.99,0.0,0.0,TRY,7203301,2212,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-bella-3-parca-dondurmalik-265-ml,https://cdn.karaca.com/image/cdndata/1/202409/000001000015220001/8683650265740-3.jpg,,,05,,0.0,33.33444448148272,
Karaca Color Pop 10 Parça 4 Kişilik Kahvaltı Takımı,999.99,999.99,0.0,0.0,TRY,7227475,28,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-color-pop-10-parca-4-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/1/202507/000001000252469001/8683650437284_0.jpg,,,05,,0.0,17.647266438428687,
"Karaca Daisy Kare Çukur Tabak 22,5 cm",1099.0,1099.0,0.0,0.0,TRY,7227451,525,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-daisy-kare-cukur-tabak-22-5-cm,https://cdn.karaca.com/image/000001000253871001/karaca-daisy-kare-cukur-tabak-22-5-cm-000001000253871001-6.jpg,,,05,,0.0,0.0,
Karaca Elegance Bone Alessa 60 Parça 8 Kişilik Yemek Takımı ve Kahvaltı Seti,10999.0,10999.0,0.0,0.0,TRY,7266941,25,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-elegance-bone-alessa-60-parca-ymt-ve-kahvalti-seti,https://cdn.karaca.com/image/000001000253951001/karaca-elegance-bone-alessa-60-parca-8-kisilik-yemek-takimi-ve-kahvalti-seti-000001000253951001-1.jpg,,,05,,0.0,0.0,
Karaca Elegance Bone Favaro 38 Parça 6 Kişilik Kahvaltı Takımı Gold,3499.0,4999.0,1500.0,30.01,TRY,7201610,507,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-elegance-bone-favaro-38-parca-6-kisilik-kahvalti-seti-gold,https://cdn.karaca.com/image/cdndata/1/202409/000001000182062001/8683650325536_0.jpg,,,05,,-30.006001200240046,-30.006001200240046,
Karaca Elegance Bone Jamie 26 Parça 6 Kişilik Kahvaltı Takımı,3999.0,3999.0,0.0,0.0,TRY,7213860,52,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-elegance-bone-jamie-26-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/000001000231930001/karaca-elegance-bone-jamie-26-parca-6-kisilik-kahvalti-takimi-000001000231930001.jpg,,,05,,0.0,0.0,
Karaca Elegance Bone Marcelo 26 Parça 6 Kişilik Kahvaltı Takımı Platin,6999.0,6999.0,0.0,0.0,TRY,7210001,845,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-elegance-bone-new-marcelo-26-parca-6-kisilik-kahvalti-takimi-platin,https://cdn.karaca.com/image/cdndata/1/202411/000001000237390001/8683650390671_0.jpg,,,05,,0.0,180.07202881152463,
Karaca Elegance Bone Montebello 60 Parça 8 Kişilik Yemek Takımı,5999.0,9999.0,4000.0,40.0,TRY,7266662,553,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-elegance-bone-montebello-60-parca-8-kisilik-yemek-takimi-ve-kahvalti-seti,https://cdn.karaca.com/image/000001000252811001/karaca-elegance-bone-montebello-60-prc-ymt-ve-kahvalti-seti-000001000252811001.jpg,,,05,,-40.00400040004,20.004000800160032,
Karaca Fine Pearl Confetti 26 Parça 6 Kişilik Kahvaltı Takımı Gold,8999.0,8999.0,0.0,0.0,TRY,7213867,240,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-fine-pearl-confetti-26-parca-6-kisilik-kahvalti-takimi-gold,https://cdn.karaca.com/image/cdndata/1/202502/000001000233519001/8683650379195-80.jpg,,,05,,0.0,0.0,
Karaca Fine Pearl Helen 26 Parça 6 Kişilik Kahvaltı Takımı,9999.0,9999.0,0.0,0.0,TRY,3849057,238,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-fine-pearl-helen-26-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/1/201903/000001000156229001/8697918612122-50.jpg,,,05,,0.0,0.0,
Karaca Fine Pearl Midnight 26 Parça 6 Kişilik Kahvaltı Takımı,9999.0,9999.0,0.0,0.0,TRY,3853547,229,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-fine-pearl-midnight-26-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/banner/deneme-semih/000001000013913001-97.jpg,,,05,,0.0,0.0,
Karaca Fine Pearl Ragusa 26 Parça 6 Kişilik Kahvaltı Takımı Gold,9999.0,9999.0,0.0,0.0,TRY,7176438,175,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-fine-pearl-ragusa-26-parca-6-kisilik-kahvalti-takimi-gold,https://cdn.karaca.com/image/cdndata/1/202307/000001000015005001/8683650177982-50.jpg,,,05,,0.0,0.0,
Karaca Fine Pearl Ragusa 26 Parça 6 Kişilik İnci Kahvaltı/Servis Takımı Platin,9999.0,9999.0,0.0,0.0,TRY,7176439,223,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-fine-pearl-ragusa-26-parca-6-kisilik-kare-kahvalti-seti-platin,https://cdn.karaca.com/image/000001000015005002/karaca-fine-pearl-ragusa-26-parca-6-kisilik-i-nci-kahvalti-servis-takimi-platin-000001000015005002.jpg,,,05,,0.0,0.0,
Karaca Fine Pearl Zoo 26 Parça Kahvaltı Seti Kare,9999.0,9999.0,0.0,0.0,TRY,7253649,81,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-fine-pearl-zoo-26-parca-kahvalti-seti-kare,https://cdn.karaca.com/image/000001000252302001/karaca-fine-pearl-zoo-26-prc-kahvalti-seti-kare-000001000252302001-9.jpg,,,05,,0.0,0.0,
Karaca Forever Bone Clover 28 Parça 6 Kişilik Kahvaltı Takımı,7999.0,7999.0,0.0,0.0,TRY,6948064,847,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-forever-bone-clover-28-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/cdndata/1/202111/000001000018118001/8697918953300_0.jpg,,,05,,0.0,166.72224074691565,
Karaca Forever Bone Cosima 26 Parça 6 Kişilik Kahvaltı Takımı,6999.0,6999.0,0.0,0.0,TRY,7173135,129,Yes,Sofra,Kahvaltı Takımı,2104250,Sofra > Kahvaltı Takımı,Kahvaltı Takımı,https://www.karaca.com/kahvalti-takimi,https://www.karaca.com/urun/karaca-forever-bone-cosima-26-parca-6-kisilik-kahvalti-takimi,https://cdn.karaca.com/image/banner/ceyiz_lp/000001000009488001-567.jpg,,,05,,0.0,0.0,
