Store,YearMonth,Weighted_Inflation_%
FiltaşYapı,2026-04,0.0
bauhaus,2026-04,0.0
hausmart,2026-04,0.0
nalburadam,2026-04,0.0
tasciyapi_products,2026-04,0.0
FiltaşYapı,2026-05,0.0
bauhaus,2026-05,0.0
hausmart,2026-05,0.0
lufian_urunler,2026-05,0.0
nalburadam,2026-05,0.0
tasciyapi_products,2026-05,0.0
