date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Apr 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,,,,,,,0,—
Apr 2026,Grains,Bread,Kg,18.0,124.04,2232.72,110.0,1980.0,80.0,1440.0,14,EKŞİ MAYALI SÜTLÜ EKMEK 500 G; KUTLUDÜĞÜN EKŞİ MAYALI EKMEK 800 GR; ROLL SİYEZ BUĞDAYLI EKMEK 50 GR; EKŞİ MAYALI KARIŞIK TAHIL UNLU EKMEK (400 G); EKŞİ MAYALI KARABUĞDAY UNLU EKMEK (500 G); EKŞİ MAYALI ÇAVDARLI EKMEK (400 G); EKŞİ MAYALI SİYEZ UNLU EKMEK (400G); ROLL TAM BUĞDAY UNLU EKMEK 50 Gr; ROLL NORMAL EKMEK 50 GR; ROLL TUZ İLAVESİZ EKMEK 50 GR; ROLL KEPEKLİ EKMEK 50 GR; GLUTENSİZ EKMEK 250 GR; FINDIKLI EKMEK 2. Lİ PAKET 60 GR; ROLL ÇAVDARLI EKMEK 50 GR
Apr 2026,Fruits,Banana,Kg,16.7,,,,,,,0,—
Apr 2026,Fruits,Seasonal Fruit,Kg,12.9,,,,,,,0,—
Apr 2026,Vegetables,Onion,Kg,18.0,,,,,,,0,—
Apr 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,,,,,,,0,—
Apr 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,,,0,—
Apr 2026,Oils,Olive Oil,Liter,1.1,,,,,,,0,—
Apr 2026,Other Food Products,Grissini,Kg,2.1,215.71,452.99,218.57,459.0,205.71,431.99,4,GRİSSİNİ KEPEKLİ 175GR; GRİSSİNİ ÇÖREKOTLU 175GR; GRİSSİNİ SUSAMLI 175 GR; GRİSSİNİ SADE 175 GR
May 2026,Dairy Products,Yogurt,Kg,59.7,,,,,,,0,—
May 2026,Dairy Products,White Cheese,Kg,5.7,,,,,,,0,—
May 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,,,,,,,0,—
May 2026,Meat and Protein,Chicken,Kg,10.3,,,,,,,0,—
May 2026,Meat and Protein,Fish,Kg,6.9,,,,,,,0,—
May 2026,Meat and Protein,Eggs,Piece,120.0,,,,,,,0,—
May 2026,Legumes,Chickpeas,Kg,1.8,,,,,,,0,—
May 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,,,,,,,0,—
May 2026,Grains,Bread,Kg,18.0,140.38,2526.84,120.0,2160.0,90.0,1620.0,14,EKŞİ MAYALI SÜTLÜ EKMEK 500 G; KUTLUDÜĞÜN EKŞİ MAYALI EKMEK 800 GR; ROLL SİYEZ BUĞDAYLI EKMEK 50 GR; EKŞİ MAYALI KARIŞIK TAHIL UNLU EKMEK (400 G); EKŞİ MAYALI KARABUĞDAY UNLU EKMEK (500 G); EKŞİ MAYALI ÇAVDARLI EKMEK (400 G); EKŞİ MAYALI SİYEZ UNLU EKMEK (400G); ROLL TAM BUĞDAY UNLU EKMEK 50 Gr; ROLL NORMAL EKMEK 50 GR; ROLL TUZ İLAVESİZ EKMEK 50 GR; ROLL KEPEKLİ EKMEK 50 GR; GLUTENSİZ EKMEK 250 GR; FINDIKLI EKMEK 2. Lİ PAKET 60 GR; ROLL ÇAVDARLI EKMEK 50 GR
May 2026,Fruits,Banana,Kg,16.7,,,,,,,0,—
May 2026,Fruits,Seasonal Fruit,Kg,12.9,,,,,,,0,—
May 2026,Vegetables,Onion,Kg,18.0,,,,,,,0,—
May 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,,,,,,,0,—
May 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,,,0,—
May 2026,Oils,Olive Oil,Liter,1.1,,,,,,,0,—
May 2026,Other Food Products,Grissini,Kg,2.1,237.43,498.6,239.43,502.8,220.0,462.0,4,GRİSSİNİ KEPEKLİ 175GR; GRİSSİNİ ÇÖREKOTLU 175GR; GRİSSİNİ SUSAMLI 175 GR; GRİSSİNİ SADE 175 GR
