Category,Name,Price,Original Price,Discount
Kadin Giyim,OVERSIZE KISA PARDÖSÜ,4799,4799,
Kadin Giyim,ASTAR DETAYLI LOOSE FİT KAPÜŞONLU YAĞMURLUK,3999,3999,
Kadin Giyim,KEMERLİ DİK YAKA YAĞMURLUK,3999,3999,
Kadin Giyim,A FORM MİDİ ETEK,2599,2599,
Kadin Giyim,ÇİZGİLİ KRUVAZE BAĞLAMALI OVERSIZE BLUZ,2299,2299,
Kadin Giyim,WIDE LEG PİLELİ PANTOLON,2999,2999,
Kadin Giyim,DESENLİ DÜŞÜK OMUZLU FIRFIRLI MİDİ ELBİSE,3599,3599,
Kadin Giyim,FITTED BİYELİ V YAKA HIRKA,2199,2199,
Kadin Giyim,FITTED POLO YAKA KISA KOLLU TRİKO KAZAK,1599,1599,
Kadin Giyim,FITTED DÜĞMELİ KOLSUZ TÜVİT BLUZ,2399,2399,
Kadin Giyim,JAKARLI POLO YAKA KISA KOLLU KAZAK,1799,1799,
Kadin Giyim,ASİMETRİK KESİM DÜĞMELİ KISA KOLLU BLUZ,999.99,999.99,
Kadin Giyim,DİKİŞ DETAYLI KISA KOLLU BLUZ,1199,1199,
Kadin Giyim,FITTED KAYIK YAKA BALON KOL BLUZ,1199,1199,
Kadin Giyim,OVERSIZE KAPÜŞONLU PARKA,4799,4799,
Kadin Giyim,KETEN KARIŞIMLI ANVELOP BAĞLAMALI BLUZ,2999,2999,
Kadin Giyim,STRAIGHT FIT PANTOLON,2599,2599,
Kadin Giyim,CEPLİ OVERSIZE JEAN CEKET,3799,3799,
Kadin Giyim,OVERSIZE KISA KOLLU CEPLİ MİDİ ELBİSE,1799,1799,
Kadin Giyim,KORSE BAĞLAMALI CROPPED FLARE JEAN PANTOLON,1999,1999,
Kadin Giyim,TÜVİT MİNİ ETEK,1599,1599,
Kadin Giyim,WIDE LEG JEAN PANTOLON,1999,1999,
Kadin Giyim,BELİ BÜZGÜLÜ KOLSUZ MİDİ ELBİSE,3599,3599,
Kadin Giyim,ÇİZGİLİ FİYONK DETAYLI UZUN KOLLU GÖMLEK,1999,2299,%13
Kadin Giyim,DÜĞME DETAYLI ÖRME YELEK,1399,1399,
Kadin Giyim,OVERSIZE POLO YAKA KETEN KARIŞIMLI KISA KOLLU KAZAK,2399,2399,
Kadin Giyim,PİLELİ MİNİ ETEK,1199,1199,
Kadin Giyim,GÖMLEK DETAYLI POLO YAKA LOOSE FIT KISA KOLLU SWEATSHIRT,1699,1699,
Kadin Giyim,FITTED DÜĞME DETAYLI KOLSUZ MİDİ ELBİSE,1999,1999,
Kadin Giyim,FITTED KOLSUZ BİSİKLET YAKA BLUZ,799.99,799.99,
Kadin Giyim,KARE YAKA DÜZ KESİM KETEN UZUN ELBİSE,3599,3599,
Kadin Giyim,MODAL KARIŞIMLI BELİ BAĞLAMALI WIDE LEG PANTOLON,1999,1999,
Kadin Giyim,OVERSIZE KISA KOLLU CEPLİ MİDİ ELBİSE,1799,1799,
Kadin Giyim,NAKIŞLI BİSİKLET YAKA T-SHIRT,1299,1299,
Kadin Giyim,FİTİLLİ UZUN KOLLU BLUZ,899.99,899.99,
Kadin Giyim,FITTED V YAKA TRİKO YELEK,1599,1599,
Kadin Giyim,ÇİZGİLİ FITTED POLO YAKA KISA KOLLU KAZAK,1599,1599,
Kadin Giyim,FITTED ÇİZGİLİ KISA KOLLU TRİKO KAZAK,1599,1599,
Kadin Giyim,OVERSIZE BLAZER CEKET,2999,3999,%25
Kadin Giyim,KOLSUZ KLOŞ MİDİ ELBİSE,2999,2999,
Kadin Giyim,FITTED V YAKA DÜĞMELİ YELEK,1499,1799,%17
Kadin Giyim,UZUN KOLLU KETEN GÖMLEK,2599,2599,
Kadin Giyim,UZUN KOLLU KETEN GÖMLEK,2599,2599,
Kadin Giyim,OVERSIZE BALON KOL BLUZ,2599,2599,
Kadin Giyim,YIRTMAÇLI MİDİ ETEK,2999,2999,
Kadin Giyim,FITTED AJURLU 3/4 KOL KAZAK,1299,1299,
Kadin Giyim,ANVELOP MİDİ ETEK,1199,1199,
Kadin Giyim,WIDE LEG JEAN PANTOLON,2299,2299,
Kadin Giyim,MODAL KARIŞIMLI BÜZGÜLÜ BAĞLAMALI BLUZ,2299,2299,
Kadin Giyim,NERVÜR DİKİŞLİ OVERSIZE BİSİKLET YAKA T-SHIRT,899.99,899.99,
Kadin Giyim,FITTED DÜĞMELİ POLO YAKA KISA KOLLU TRİKO KAZAK,2199,2199,
Kadin Giyim,PİLE DETAYLI CULOTTE FIT PANTOLON,2599,2599,
Kadin Giyim,WIDE LEG PANTOLON,2599,2599,
