Category,Name,Price,Original Price,Discount
Kadin Giyim,Kadın Kırık Beyaz Nakışlı Kolsuz Crop Bluz,1499,1999,%25
Kadin Giyim,Kadın Kırık Beyaz Etnik Nakışlı Kloş Uzun Etek,2499,2999,%17
Kadin Giyim,Kadın Ekru İşlemeli A Form Midi Elbise,2299,3599,%36
Kadin Giyim,Kadın Beyaz Kloş Keten Karışımlı Midi Elbise,2799,4599,%39
Kadin Giyim,Kadın Sarı Keten Mini Etek,2199,3599,%39
Kadin Giyim,Kadın Siyah Nakışlı Wide Leg Pantolon,2199,2599,%15
Kadin Giyim,Kadın Beyaz Çizgili Düşük Kol Gömlek,2199,2799,%21
Kadin Giyim,Kadın Beyaz Çizgili Kloş Midi Etek,2199,2599,%15
Kadin Giyim,Kadın Beyaz Comfort Fit Pileli Şort,1999,3299,%39
Kadin Giyim,Kadın Kahverengi Jakarlı Tokalı Kolsuz Bluz,1499,1999,%25
Kadin Giyim,Kadın Yeşil Desenli Straight Fit Pantolon,2199,3299,%33
Kadin Giyim,Kadın Kırık Beyaz Nakışlı Şort,999.99,1799,%44
Kadin Giyim,Kadın Kırık Beyaz Nakışlı Oversize Gömlek,1999,2599,%23
Kadin Giyim,Kadın Lacivert Kloş Midi Elbise,2199,2199,
Kadin Giyim,Kadın Çizgili Loose Fit Polo Yaka Kısa Kollu Kazak,1999,1999,
Kadin Giyim,Kadın İndigo Straight Fit Jean Pantolon,2999,2999,
Kadin Giyim,Kadın Kahverengi Cropped Flare Fit Pantolon,2599,2599,
Kadin Giyim,Kadın Ekru Cep Görünümlü Wide Leg Örme Pantolon,2599,2599,
Kadin Giyim,Kadın Kahverengi Kruvaze Mini Etek,1299,1299,
Kadin Giyim,Kadın Lacivert Wide Leg Modal Karışımlı Pantolon,2299,2299,
Kadin Giyim,Kadın İndigo Straight Fit Pantolon,2299,2299,
Kadin Giyim,Kadın Siyah A Form Midi Elbise,1999,1999,
Kadin Giyim,Kadın Ekru Fitted Düğmeli Kolsuz Yelek Bluz,1799,1799,
Kadin Giyim,Kadın Lacivert Flare Fit Beli Lastikli Pantolon,1699,1699,
Kadin Giyim,Kadın Lacivert Loose Fit Bisiklet Yaka Modal Karışımlı Sweatshirt,1699,1699,
Kadin Giyim,Kadın Siyah Flare Fit Örme Pantolon,1599,1599,
Kadin Giyim,Kadın Bej Rengi Bisiklet Yaka Kolsuz T-Shirt,759.99,759.99,
Kadin Giyim,Kadın Kırık Beyaz Bisiklet Yaka T-Shirt,799.99,799.99,
Kadin Giyim,Kadın Bej Rengi Fitted V Yaka Kolsuz T-Shirt,799.99,799.99,
Kadin Giyim,Kadın Ekru Fitted V Yaka Kolsuz T-Shirt,799.99,799.99,
Kadin Giyim,Kadın Taş Rengi Cropped Flare Fit Pantolon,2599,2599,
Kadin Giyim,Kadın Ekru Dik Yaka Kolsuz Bluz,899.99,899.99,
Kadin Giyim,Kadın Lila Fitted Polo Yaka Uzun Kollu Bluz,1199,1199,
Kadin Giyim,Kadın Gri Melanj Dar Kesim Kemer Detaylı Mini Elbise,2199,2199,
Kadin Giyim,Kadın Lacivert Çizgili A Form Mini Elbise,2999,2999,
Kadin Giyim,Kadın Lacivert Düz Kesim Mini Etek,1199,1199,
Kadin Giyim,Kadın Siyah Loose Fit Bisiklet Yaka Sweatshirt,1399,1399,
Kadin Giyim,Kadın Kırık Beyaz Düğme Detaylı Loose Fit Bisiklet Yaka Sweatshirt,1699,1699,
Kadin Giyim,Kadın Kahverengi Düğme Detaylı Loose Fit Bisiklet Yaka Sweatshirt,1699,1699,
Kadin Giyim,Kadın Lacivert Çizgili Loose Fit Polo Yaka Sweatshirt,1799,1799,
Kadin Giyim,Kadın Siyah Fitted Bisiklet Yaka Kısa Kollu Triko Kazak,1699,1699,
Kadin Giyim,Kadın Lila Fitted Bisiklet Yaka Kısa Kollu Triko Kazak,1699,1699,
Kadin Giyim,Kadın Kahverengi V Yaka Fular Detaylı Hırka,2799,2799,
Kadin Giyim,Kadın Bej Rengi Çizgili Fitted Polo Yaka Hırka,2399,2399,
