product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
AF-G Sepet Grubu Siyah,1399.99,05,0.0,0.0,0.0,0.0
AF-G Sepet Grubu Siyah-Bakır,1499.99,05,0.0,0.0,0.0,0.0
AF-G Sepet Grubu Siyah-Krom,1499.99,05,0.0,0.0,0.0,0.0
AQUA OPTIMA Su Arıtma Filtresi Beyaz,799.99,05,0.0,0.0,0.0,0.0
Abrazo Yılbaşı Ağacı Süsü 8 cm Kırmızı,999.98,05,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915
Acoral Paslanmaz Çelik Rende 21 cm Gri,1749.98,05,,-0.0005714318367528332,-0.0005714318367528332,
Acorn Branch Tek Dal Yapay Çiçek 76 cm Yeşil,2499.98,05,-0.0004000015999969413,-0.0004000015999969413,-0.0004000015999969413,-0.0004000015999969413
Adara Mum Siyah-Gold,1274.89,05,-0.0007843752451165506,-0.0007843752451165506,-0.0007843752451165506,-15.006766711778072
Adel Pamuk Runner Bej,2249.98,05,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559
Adelaide Sedefli Rattan Tepsi Kahverengi,5999.98,05,-0.0001666669444485454,-0.0001666669444485454,-0.0001666669444485454,-0.0001666669444485454
Adelina 2li Misafir Peçetesi Beyaz-Gold,1999.98,05,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453
Aden Pamuk Runner Bej,2249.98,05,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559
"Aden Yılbaşı Ağacı Süsü 11,5 cm Kırmızı",999.98,05,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915
"Adly 3 Parça Saklama Kabı 700 ml – 1,4 L – 2 L Yeşil-Krem",2249.98,05,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559
"Ador Yılbaşı Ağacı Süsü 11,5 cm Kırmızı",999.98,05,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915
Adora Metal Dekoratif Tepsi Silver,5999.98,05,-0.0001666669444485454,-0.0001666669444485454,-20.000160000213338,-0.0001666669444485454
Adra Cam Vazo Amber,1439.99,05,0.0,0.0,-11.111179698640115,-11.111179698640115
"Adra Rende 12x8,2x18,5 cm Turuncu",1999.98,05,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453
"Adra Rende 12x8,2x18,5 cm Yeşil",1999.98,05,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453
Adrian Yılbaşı Ağacı Süsü 11 cm Kırmızı,999.98,05,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915,-0.0010000100000990915
After Rain Çubuklu Oda Kokusu 100 ml,3199.98,05,-0.00031250097655816214,-0.00031250097655816214,-0.00031250097655816214,-0.00031250097655816214
Agolde Cam 2li Meşrubat Bardağı Şeffaf,1999.98,05,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453
Aidan Rattan Peçete Halkası Kahve,749.94,05,-0.0013334222281473304,-0.0013334222281473304,-0.0013334222281473304,-0.0013334222281473304
Air Plus Klimalı Yastık 50x70 cm Beyaz-Gold,1749.98,05,-0.0005714318367528332,-0.0005714318367528332,-0.0005714318367528332,-0.0005714318367528332
Alas Fırın Eldiveni ve Tutacak Seti Bej,2249.98,05,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559,-0.0004444464197513559
Alas Pamuk Mutfak Önlüğü Lacivert,2499.98,05,-0.0004000015999969413,-0.0004000015999969413,-0.0004000015999969413,-0.0004000015999969413
Alba Bloom King Size Çok Amaçlı Örtü 220x240 cm Mavi,4499.98,05,-0.00022222271605533078,-0.00022222271605533078,-0.00022222271605533078,-0.00022222271605533078
Alba Bloom Tek Kişilik Çok Amaçlı Örtü 160x220 cm Mavi,3499.98,05,-0.00028571510203639244,-0.00028571510203639244,455.5611993841172,525.0075894212397
