product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
AF-G Sepet Grubu Siyah,1399.99,05,0.0,0.0,0.0,0.0
AF-G Sepet Grubu Siyah-Bakır,1499.99,05,0.0,0.0,0.0,0.0
AF-G Sepet Grubu Siyah-Krom,1499.99,05,0.0,0.0,0.0,0.0
AQUA OPTIMA Su Arıtma Filtresi Beyaz,399.99,05,-50.000625007812594,-50.000625007812594,-50.000625007812594,-50.000625007812594
Abstract Flowers Kolay Ütülenir Tek Kişilik Çarşaflı Nevresim Takımı 160x220 cm Yeşil-Mavi,839.99,05,,0.0,0.0,0.0
"Acalis Akasya-Cam 4 Parça Sunumluk 33x10,5x6 cm Şeffaf",384.99,05,,0.0,0.0,0.0
Adela Ahşap Masa Saati Naturel,1439.99,05,,0.0,-84.00009333343704,-84.00009333343704
Adelina Masa Örtüsü 150x200 cm Beyaz-Gold,1439.99,05,,0.0,-84.00009333343704,33.33364197816646
Adelina Runner 40x140 cm Beyaz-Gold,479.99,05,,0.0,-84.00028000093334,-84.00028000093334
"Adora Cam Vazo 28,5 cm Krem",1049.99,05,,0.0,-12.500104167534728,-12.500104167534728
Adora Metal Dekoratif Tepsi Gold,639.99,05,,0.0,-84.00021000052502,-87.2001744003488
Adra Cam Vazo Amber,1439.99,05,0.0,0.0,-11.111179698640115,-11.111179698640115
Adrea Paslanmaz Çelik Süzgeç 40 cm Gri,539.99,05,,0.0,-82.00027333424445,-82.00027333424445
Akasya Dekoratif Tepsi Koyu Kahverengi,359.99,05,,0.0,-84.00037333499259,-84.00037333499259
Akuante Dekoratif Tepsi 30x42 cm Multicolor,639.99,05,,0.0,-84.00021000052502,-84.00021000052502
Alba Dekoratif Aydınlatma Naturel,8499.98,05,0.0,,,
Albus Dekoratif Jüt Kilim 100 cm Beyaz,1439.99,05,,0.0,-84.00009333343704,
Alexi Mutfak Gereci Yeşil,279.99,05,,0.0,0.0,-12.500390637207412
Alice Cam Kase Şeffaf,419.99,05,0.0,0.0,0.0,0.0
Alice Polyresin Çerçeve 10x15 cm Krem,479.99,05,,,14.286054429867379,0.0
Alice Saklama Kabı Turuncu,1999.98,05,0.0,-0.0005000025000120453,-0.0005000025000120453,-0.0005000025000120453
"Alicia Cam Vazo 20,5 cm Kahverengi",1259.99,05,,0.0,0.0,0.0
Alicia Polyresin Çerçeve 10x15 cm Krem,584.99,05,,0.0,0.0,
Aligne Pamuklu Bukle Kilim Krem,719.99,05,,0.0,-84.0001866670815,-84.0001866670815
Alina Cam 4lü Baharatlık Şeffaf,494.99,05,,0.0,-82.00029818290248,-82.00029818290248
Alina Polyresin Çerçeve 10x15 cm Beyaz,389.99,05,,0.0,0.0,
Alina Polyresin Çerçeve 10x15 cm Krem,584.99,05,,0.0,12.500240389238254,12.500240389238254
Aline Dekoratif Kutu Krem,1139.99,05,,0.0,0.0,-14.285821697907503
Alissa Polyresin Çerçeve 10x15 cm Beyaz,389.99,05,,0.0,0.0,
All Fresh Inox Paslanmaz Çelik Erzak Kabı Silver,2749.98,05,0.0,9.999639998560005,9.999639998560005,9.999639998560005
All Fresh Square Borosilikat Erzak Kabı Şeffaf,479.99,05,0.0,,,
All Stripe New Bone China Kupa 345 ml Siyah - Beyaz,399.99,05,,0.0,0.0,0.0
Allure Hasır Ekmek Sepeti Bej,419.99,05,,0.0,0.0,0.0
Almina Dekoratif Tepsi 33x33 cm Krem,479.99,05,,0.0,-84.00028000093334,-84.00028000093334
Aloe Vera – Ylang Ylang 5li Aromaterapi Set,559.99,05,,0.0,-84.00024000068572,-84.00024000068572
Alva Yılbaşı Ağaç Süsü Multicolor,350.0,05,,0.0,-16.664682492440296,-28.569970815730933
Alvin Cam 15 Dk Kum Saati Füme,319.99,05,,0.0,0.0,-84.0004200021
Alvin Cam Sunumluk 32x11 cm Şeffaf,489.99,05,,0.0,-12.500223218271756,-22.222574961507323
"Alvin Paslanmaz Çelik Rende 24,5 cm Mavi",359.99,05,,0.0,0.0,0.0
Alvin Polyresin Dekoratif Tepsi 32x46 cm Kahve,1439.99,05,,0.0,-82.00010250012812,-82.00010250012812
