date,avg_hunger_threshold_TRY,median_hunger_threshold_TRY,min_hunger_threshold_TRY
Mar 2026,25350.0,22332.58,13211.51
Apr 2026,26157.61,21116.56,14119.65
May 2026,27404.05,22645.69,14124.71
