date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Mar 2026,Dairy Products,Yogurt,Kg,59.7,66.75,3984.98,56.33,3362.9,32.78,1956.97,37,"Üstad Gurme Yoğurt 750 G; Birşah Tam Kıvamında Homojenize Yoğur…; Birşah Tam Kıvamında Homojenize Yoğur…; Birşah Tam Kıvamında Homojenize Yoğur…; Birşah Tam Kıvamında Yoğurt 1,5 KG; Birşah Tam Yağlı Homojenize Yoğurt 3 …; Birşah Tam Yağlı Homojenize Yoğurt 3 …; Birşah Yarım Yağlı Homojenize Yoğurt …; Sek Az Yağlı Yoğurt 3 Kg; Sek Yarım Yağlı Yoğurt 750 G; Yörsan Tam Yağlı Yoğurt 1 Kg; Birşah Tam Kıvamında Homojenize Yoğur…; Birşah Tam Kıvamında Yoğurt 1500 G; Yörükoğlu Az Yağlı Yoğurt 9 Kg; Eker Yarım Yağlı Bidon Yoğurt 2 Kg; Kebir Bidon Yoğurt 1500 G; Sek Az Yağlı Yoğurt 9 KG; Torku Yoğurt 5 Kg; Yörükoğlu Yarım Yağlı Yoğurt 2 Kg; Torku Yarım Yağlı Yoğurt 2 Kg; Pınar Yarım Yağlı Yoğurt 750 G; Torku Yarım Yağlı Yoğurt 750 Ml; Eker Yoğurt 200 G; Eker Efsane Yoğurt 4x250 G; Torku Yoğurt 200 G; Birşah Tam Yağlı Homojenize Yoğurt 3 …; Birşah Yarım Yağlı Homojenize Yoğurt …; Birşah Yarım Yağlı Homojenize Yoğurt …; Birşah Tam Yağlı Homojenize Yoğurt 1,…; Birşah Tam Yağlı Homojenize Yoğurt 50…; Torku Yarım Yağlı Yoğurt 1 Kg; İçim Yarım Yağlı Yoğurt 5 Kg; Eker Yarım Yağlı Yoğurt 5 Kg; İçim Yoğurt 1200 G; Yörsan Bidon Yoğurt 2 Kg; Yörsan Yarım Yağlı Yoğurt 5 Kg; Torku Az Yağlı Yoğurt 9 Kg"
Mar 2026,Dairy Products,White Cheese,Kg,5.7,293.8,1674.66,250.5,1427.85,119.33,680.18,52,Üstad Tam Yağlı Olgunlaştırılmış Beya…; Peynes Süzme Yarım Yağlı Taze Beyaz P…; Muratbey Sürmeli Tam Yağlı Taze Peyni…; Bahçıvan Yarım Yağlı Süzme Beyaz Peyn…; Pınar Kahvaltı Keyfi Tam Yağlı Beyaz …; Ahir Beyaz Peynir 250 G; Bozbeyi 3 Tat Klasik Peynir 525 G; Torku Yarım Yağlı Süzme Beyaz Peynir …; Taciroğlu İnek Klasik Beyaz Peynir 50…; Peynes Tam Yağlı Taze Beyaz Peynir 75…; Sek Dilimli Klasik İnek Beyaz Peyniri…; Kaanlar Az Yağlı Taze Peynir 1 Kg; Kuzucu Az Yağlı Beyaz Peynir 1 Kg; Teksüt Tam Yağlı Yumuşak Kıvamlı Beya…; Bozbeyi İnek Gurme Klasik Peynir 600 G; Bozbeyi Lokum Klasik Beyaz Peyniri 35…; Bozbeyi 3 Tat Klasik Peynir 525 G; Pınar Tam Yağlı Süzme Beyaz Peynir 25…; Ahir Yarım Yağlı Beyaz Peynir 1500 G; Ahir Yarım Yağlı Beyaz Peynir 1 Kg; Peynes Süzme Tam Yağlı Taze Beyaz Pey…; Yörükoğlu Süzme Beyaz Peynir 400 G; Ahir Yarım Yağlı Taze Beyaz Peynir 90…; Tahsildaroğlu Olgunlaştırılmış Kırık …; Ahir Tam Yağlı Taze Beyaz Peynir 750 G; Bozbeyi 3 Tat Klasik Peynir 525 G; İçim Tam Yağlı Taze Beyaz Peynir 900 G; Pınar Tam Yağlı Süzme Beyaz Peynir 1 …; Kaanlar Olgunlaştırılmış Klasik İnek …; Sütaş Tam Yağlı Beyaz Peynir 700 G; Ahir Tam Yağlı Taze Beyaz Peynir 1 Kg; Peynes Süzme Tam Yağlı Taze Beyaz Pey…; Ahir Yarım Yağlı Beyaz Peynir 650 G; Torku Tam Yağlı Süzme Beyaz Peynir 45…; Torku Tam Yağlı Beyaz Peynir 1 Kg; Kaanlar Trakya Tam Yağlı Beyaz Peynir…; Ahir Az Yağlı Taze Peynir 1 Kg; Sütaş Yarım Yağlı Süzme Beyaz Peynir …; Kaanlar Beyaz Peynir 1 Kg; Sek Tam Yağlı Beyaz Peynir 800 G; Sek Tam Yağlı Olgunlaştırılmış Beyaz …; Kaanlar Tam Yağlı Taze Beyaz Peynir 4…; Yörsan Tam Yağlı Beyaz Peynir 750 G; Ekici Tam Yağlı Beyaz Peynir 800 G; Tahsildaroğlu Tam Yağlı Beyaz Peynir …; Bahçıvan Tam Yağlı Taze Beyaz Peynir …; Ünal Klasik Dilimli Beyaz Peynir 450 G; Altınkılıç Tam Yağlı Olgunlaştırılmış…; Yörsan Tam Yağlı Süzme Beyaz Peynir 1…; Taciroğlu Tam Yağlı Taze Tava Beyaz P…; Peysan Biberli Tam Yağlı Taze Peynir …; Kiri Kekikli Tam Yağlı Taze Peynir 15…
Mar 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,718.75,3306.25,718.75,3306.25,562.5,2587.5,2,Kombinet Dana Kuşbaşı 400 G; Beşler Dana Yağsız Kuşbaşı 400 G
Mar 2026,Meat and Protein,Chicken,Kg,10.3,181.21,1866.46,179.0,1843.7,39.5,406.85,118,"Keskinoğlu Bütün Tavuk 1640 G; Besler Poşetli Bütün Tavuk 1650 G; Erpiliç Dondurulmuş Poşetli Bütün Pil…; Besler Tavuk Bonfile 500 G; Besler Tavuk Kanat 550 G; Besler Tavuk Pirzola 500 G; İmren Poşetli Bütün Tavuk 1750 G; Banvit Dondurulmuş Piliç Baget 1,5 Kg; Lezita Dondurulmuş Piliç Bonfile 700 G; Lezita Dondurulmuş Piliç But Izgara 1…; Gedik Tavuk Kalçalı But 750 G; Gedik Tavuk Bonfile 750 G; Gedik Tavuk Baget 1200 G; Gedik Tavuk Kanat 750 G; Gedik Tavuk Pirzola 750 G; Gedik Tavuk Izgara Tavalık But 750 G; Lezita Dondurulmuş Tavuk Pirzola 1350…; Gedik Bütün Tavuk Poşet 1800 G; Hastavuk Poşetli Bütün Tavuk 1600 G; Hastavuk Dondurulmuş Poşetli Bütün Pi…; Doyfarm Kalçalı Tavuk But 1 Kg; Banvit Bütün Tavuk 1425 G; Lezita Poşetli Bütün Tavuk 1600 G; Keskinoğlu Dondurulmuş Poşetli Bütün …; Lezita Dondurulmuş Poşetli Bütün Pili…; Keskinoğlu Dondurulmuş Piliç Bütün Po…; Aspiliç Dondurulmuş Poşetli Bütün Pil…; Lezita Dondurulmuş Fırınlık Tavuk 330…; Bupiliç Bütün Tavuk 1,3 Kg; Doyfarm Poşetli Bütün Tavuk 1700 G; Bakpiliç Tavuk Bonfile 600 G; Bakpiliç Tavuk Baget 850 G; Bakpiliç Izgara Tavalık Tavuk But 600…; Bakpiliç Tavuk Kanat 550 G; Bakpiliç Tavuk But İncik 600 G; Bakpiliç Tavuk Pirzola 600 G; Bakpiliç Kalçalı Tavuk But 825 G; Bakpiliç Poşetli Bütün Tavuk 1800 G; Hastavuk Bütün Tavuk 1600 G; Gedik Dondurulmuş Bütün Piliç 2 Kg; Bupiliç Poşetli Bütün Tavuk 1,7 Kg; Lezita Bütün Tavuk 1,5 Kg; Keskinoğlu Bütün Tavuk 1350 G; Banvit Dondurulmuş Bütün Poşet Piliç …; Besler Tavuk Baget 1 Kg; Bupiliç Tavuk Baget 1 Kg; Aspiliç Dondurulmuş Piliç Izgara But …; İmren Izgara Tavalık Tavuk But 600 G; Doyfarm Tavuk Kanat 500 G; Bupiliç Tavuk Kanat 500 G; Hastavuk Dondurulmuş Tavuk Baget 1200…; Hastavuk Izgara Tavalık Tavuk But 650…; Doyfarm Tavuk But İncik 600 G; Besler Izgara Tavalık Tavuk But 500 G; Hastavuk Kalçalı Tavuk But 700 G; Bupiliç Kalçalı Tavuk But 1 Kg; Besler Tavuk Kalçalı But 750 G; Keskinoğlu Kalçalı Tavuk But 650 G; Lezita Tavuk Kalçalı But 1100 G; Lezita Tavuk But İncik 650 G; Besler Tavuk But İncik 750 G; Bupiliç Tavuk But İncik 700 G; Keskinoğlu Tavuk İncik But 600 G; İmren Tavuk Kanat 500 G; Erpiliç Dondurulmuş Piliç Izgara But …; Doyfarm Izgara Tavalık Tavuk But 750 G; Keskinoğlu Izgara Tavalık Tavuk But 6…; Doyfarm Tavuk Baget 1250 G; Lezita Tavuk Baget 1150 G; Lezita Dondurulmuş Piliç Izgara Kanat…; Lezita Tavuk Kanat 600 G; Lezita Dondurulmuş Piliç Baget 900 G; Doyfarm Tavuk Bonfile 750 G; Bupiliç Tavuk Pirzola 700 G; Keskinoğlu Tavuk Kanat 650 G; Lezita Tavuk Pirzola 700 G; İmren Tavuk Bonfile 850 G; Bupiliç Izgara Tavalık Tavuk But 600 G; Keskinoğlu Tavuk Pirzola 650 G; Keskinoğlu Tavuk Bonfile 675 G; Hastavuk Tavuk Kanat 550 G; Hastavuk Tavuk Bonfile 700 G; İmren Tavuk Baget 1 Kg; Lezita Dondurulmuş Bütün Poşet Piliç …; Lezita Izgara Tavalık Tavuk But 620 G; Pamukkale Dondurulmuş Kanat Piliç 125…; Hastavuk Tavuk Pirzola 600 G; Hastavuk Dondurulmuş Piliç Bonfile 1 …; Doyfarm Tavuk Pirzola 750 G; İmren Tavuk Kalçalı But 1 Kg; İmren Tavuk Pirzola 1 Kg; Bupiliç Tavuk Bonfile 600 G; Lezita Tavuk Bonfile 650 G; Hastavuk Tavuk Baget 1150 G; Keskinoğlu Tavuk Baget 850 G; İmren Tavuk But İncik 650 G; Aspiliç Dondurulmuş Piliç Bonfile 1 Kg; Gedik Burger Piliç 1 Kg; Şenpiliç Dondurulmuş Piliç Kök Kanat …; Yıldız Çiftliği Dondurulmuş Piliç Pir…; Bakpiliç Parmak Tavuk Bonfile Tabak 6…; Gedik Dondurulmuş Poşetli Bütün Piliç…; Gedik Parmak Tavuk Bonfile Tabak 725 G; Keskinoğlu Parmak Tavuk Bonfile Tabak…; Keskinoğlu Tavuk Kanat Tabak 810 G; Keskinoğlu Tavuk Bonfile Tabak 870 G; Keskinoğlu Tavuk But Izgara Tava 810 G; Keskinoğlu Baget Tavuk Tabak 830 G; Keskinoğlu Tavuk Kalçalı But Tabak 84…; Keskinoğlu Tavuk Pirzola Tabak 800 G; Gedik Izgara Tava Tavuk But 725 G; Gedik Tavuk Bonfile 725 G; Gedik Kalçalı Tavuk But 725 G; Gedik Tavuk Pirzola 725 G; Gedik Tavuk Kanat 725 G; Gedik Tavuk Baget 725 G; Banvit Dondurulmuş Piliç Bonfile 900 G; Tada Salsa Soslu Patatesli Tavuk 250 G"
Mar 2026,Meat and Protein,Fish,Kg,6.9,202.51,1397.32,199.0,1373.1,139.0,959.1,5,Balık Dünyası Dondurulmuş Somon Dilim…; Balık Dünyası Dondurulmuş Temizlenmiş…; Erba Dondurulmuş Dilimli Somon 500 G; Balık Dünyası Dondurulmuş Temizlenmiş…; Balık Dünyası Dondurulmuş Sardalya 50…
Mar 2026,Meat and Protein,Eggs,Piece,120.0,10.19,1222.8,8.95,1074.0,5.63,675.6,23,Abalı Çiftliği Yumurta M Boy 30'lu 53…; Gezen Tavuk Yumurtası M Boy 10'lu; Abalı Çiftliği Yumurta XL Boy 20'li; Yumurta 20'li XL 73 G; Abalı Çiftliği Yumurta L Boy 15'li; Kumartaşlı Yumurta XL Boy 20'li; Türem Yumurta XL Boy 20'li; Bilken Yumurta XL Boy 20'li; Riva Yumurta 20'li XL 73 G; Yeniköy Çiftliği Yumurta XL Boy 20'li; Şişman Yumurta XL Boy 20'li 73 G; Kabbuk Yumurta XL 20'li 73 G; MNS XL Yumurta 20'li 73 G; Evrenkaya Yumurta 20'li 73 G; Omega-3 Yumurta M 6'lı; Yumurta L Boy 15'li; Yumurta M Boy 30'lu; Ercanlar Yumurta XL Boy 20'li; Keskinoğlu Yumurta XL Boy 20'li; Coşkun Yumurta XL Boy 20'li; Güres XL Yumurta 20'li 73 G; Filiz Yumurtalı Bukle Makarna 350 G; Bendo Yumurtalı Erişte 500 G
Mar 2026,Legumes,Chickpeas,Kg,1.8,66.21,119.18,64.5,116.1,39.9,71.82,8,Armada Anadolu Koçbaşı Nohut 1000 G; Yayla Koçbaşı Nohut 1 Kg; Tat Koçbaşı Nohut 1 Kg; Yöremce Koçbaşı Nohut 1 Kg; Yöremce Beyaz Nohut 1 Kg; Hasata Kırşehir Koçbaşı Nohut 1000 G; Yayla Haşlanmış Nohut 700 G; Çokça Haşlanmış Nohut 500 G
Mar 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,557.69,1505.76,302.78,817.51,148.75,401.62,11,Üstad Kavrulmuş Fındık İçi 150 G; Tadım Tuzlu Yer Fıstığı 180 G; Çerezya İşlenmiş Yer Fıstığı 150 G; Çerezya Kuruyemiş Ceviz İçi 150 G; Çerezya Kuruyemiş Fındık İçi 150 G; Çerezya Kuruyemiş Çiğ Fındık 150 G; Çerezya Kuruyemiş Çiğ Fındık 150 G; Çerezya İşlenmiş Yer Fıstığı Kuruyemi…; Seyran Kavrulmuş Tuzlu İç Fıstık 160 G; Tadım Kavrulmuş Tuzlu Yer Fıstığı 90 G; Ekmekçioğlu Kavrulmuş Kabuklu Yer Fıs…
Mar 2026,Grains,Bread,Kg,18.0,93.92,1690.56,87.5,1575.0,25.0,450.0,8,Ekmek 200 G; Nimet Kepekli Ekmek 400 G; Nimet Kepekli Ekmek 400 G; Nimet Çavdarlı Ekmek 400 G; Nimet Çavdarlı Ekmek 400 G; Nimet Çok Tahıllı Ekmek 330 G; Nimet Kara Buğday Çavdarlı Ekmek 330 G; Uno Çok Tahıllı Ekmek 460 G
Mar 2026,Fruits,Banana,Kg,16.7,114.5,1912.15,114.5,1912.15,89.5,1494.65,2,İthal Muz Kg; Yerli Muz Kg
