Yolcu (Tam),110.0
Yolcu (Öğrenci),110.0
"Yolcu (Sosyal, İndirimli 2)",110.0
Bisiklet,0
Motosiklet,95.0
"Otomobil, Minivan",200.0
"Arazi Aracı (SUV, Off Road, Jip Vb)",200.0
Panelvan,265.0
"Minibüs, Midibüs (1-19 koltuk)Karavan, Moto Karavan ve Çekme Karavan",265.0
Otobüs (20-27 koltuk)*,1000.0
"Azami yüklü ağırlığı 3500 kilogramı geçmeyen ve yük taşımak için imal edilmiş N1 kategorisindeki motorlu taşıt (Panelvan, Minivan dahil) N1 araç",540.0
Yolcu Tam,85.0
Yolcu İndirimli,55.0
Kredi Kartı Temassız Geçiş,100.0
Üç Geç,170.0
"Otomobil, Minivan, Jip, Minibüs, Midibüs, Kamyonet (Aks aralığı 0 m - 3,20 m)",730.0
"Kamyonet (Aks aralığı 3,21 m - 7,20 m)",1260.0
"Kamyon, Otobüs (2,3,4 Aks)",1370.0
Dorseli Çekiciler 4-5 Aks TIR,1920.0
Motosiklet,400.0
