date,avg_hunger_threshold_TRY,median_hunger_threshold_TRY,min_hunger_threshold_TRY,n_na
Feb 2026,2246.82,2198.48,1988.16,13
Mar 2026,2279.73,2235.1,1992.33,13
Apr 2026,13478.38,13725.88,11834.24,11
May 2026,12974.87,12542.48,11814.02,11
