product_name,price,product_id,regular_price,is_discounted,discount_pct,category,product_url,image_url,in_stock,scrape_date,scrape_timestamp
Ak Un Lüks 1 kg,42.5,2689,,False,,"Fırın, Pastane",https://www.hapeloglu.com/ak-un-1-kg-luks-2689,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/ak-un-1-kg-luks-5-ddb1.jpg,True,2026-09-02,2026-09-02T01:42:11
Ak Un Lüks 10 kg,345.0,2690,,False,,"Fırın, Pastane",https://www.hapeloglu.com/ak-un-10-kg-luks-2690,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/ak-un-10-kg-luks-b7-453.jpg,True,2026-09-02,2026-09-02T01:42:11
Ak Un Lüks 2 kg,79.9,2692,,False,,"Fırın, Pastane",https://www.hapeloglu.com/ak-un-2-kg-luks-2692,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/buyuk/ak-un-2-kg-luks-85c39d.jpg,True,2026-09-02,2026-09-02T01:42:11
Ak Un Lüks 5 kg,179.5,2691,,False,,"Fırın, Pastane",https://www.hapeloglu.com/ak-un-5-kg-luks-2691,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/ak-un-5-kg-luks-55-b45.jpg,True,2026-09-02,2026-09-02T01:42:11
Ankara İrmik 500 g,31.5,2739,,False,,"Fırın, Pastane",https://www.hapeloglu.com/ankara-irmik-500-gr-2739,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/ankara-irmik-500-gr--482c-.jpg,True,2026-09-02,2026-09-02T01:42:11
Cevizli  Baklava Kg,500.0,3425,,False,,"Fırın, Pastane",https://www.hapeloglu.com/cevizli-baklava-kg,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/cevizli-burma-baklava-kg-180c4b.jpg,True,2026-09-02,2026-09-02T01:42:11
Dr.Oetker Ham Kabartma Tozu 5'li 10 Gr,16.75,2388,,False,,"Fırın, Pastane",https://www.hapeloglu.com/dr.oetker-ham-kabartma-tozu-5li-2388,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/dr.oetker-ham-kabartma-tozu-5li-03aac1.jpg,True,2026-09-02,2026-09-02T01:42:11
Dr.Oetker Hamur Kabartma Tozu 15 X 10 Gr,46.5,2403,,False,,"Fırın, Pastane",https://www.hapeloglu.com/dr.oetker-hamur-kabartma-tozu-15-x-10-gr-2403,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/dr.oetker-hamur-kabartma-tozu-15-x-10--69b-bb.jpg,True,2026-09-02,2026-09-02T01:42:11
Dr.Oetker Kakao 100 Gr,122.5,2373,,False,,"Fırın, Pastane",https://www.hapeloglu.com/dr.oetker-kakao-100-gr-2373,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/dr.oetker-kakao-100-gr-2649ee.jpg,True,2026-09-02,2026-09-02T01:42:11
Dr.Oetker Kakao 25 Gr,35.0,2387,,False,,"Fırın, Pastane",https://www.hapeloglu.com/dr.oetker-kakao-25-gr-2387,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/dr.oetker-kakao-25-gr-54dee0.jpg,True,2026-09-02,2026-09-02T01:42:11
