product_name,price,product_id,regular_price,is_discounted,discount_pct,category,product_url,image_url,in_stock,scrape_date,scrape_timestamp
A Plus Çıtır Leblebi kg,175.0,6430,,False,,Atıştırmalık,https://www.hapeloglu.com/a-plus-citir-leblebi-kg-6430,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/a-plus-citir-leblebi-kg-f9a5-c.jpg,True,2026-08-16,2026-08-16T04:03:53
Aktürk Kakaolu Gofret 475 g,65.0,10185,,False,,Atıştırmalık,https://www.hapeloglu.com/akturk-kakaolu-gofret-475-gr-10185,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/akturk-kakaolu-gofret-475-gr-64867a.jpg,True,2026-08-16,2026-08-16T04:03:53
Aktürk Mini Bisküvi Arası Lokmalık Sade Kakaolu Petibör 250 g,49.9,18853,,False,,Atıştırmalık,https://www.hapeloglu.com/aktürk-mini-bisküvi-arası-lokmalık-sade-kakaolu-petibör-250-g-18853,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/akturk-mini-biskuvi-arasi-lokmalik-sad-57-44f.jpg,True,2026-08-16,2026-08-16T04:03:53
Aktürk Sade Vanilyalı Gofret 475 g,65.0,10186,,False,,Atıştırmalık,https://www.hapeloglu.com/akturk-sade-vanilyali-gofret-475-gr-10186,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/akturk-sade-vanilyali-gofret-475-gr-d80-58.jpg,True,2026-08-16,2026-08-16T04:03:53
Bademli Kokteyl (Fındık-Badem-Antep Fıstığı) Kg,1060.0,477,,False,,Atıştırmalık,https://www.hapeloglu.com/bademli-kokteyl-findik-badem-antep-fistigi-kg-477,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/bademli-kokteyl-findik-badem-antep-fis-3db-24.png,True,2026-08-16,2026-08-16T04:03:53
Bigbabol Sakız Magic Cubes 86 Gr.,100.0,4586,,False,,Atıştırmalık,https://www.hapeloglu.com/bigbabol-sakiz-magic-cubes-86-gr.-4586,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/bigbabol-sakiz-magic-cubes-86-gr.--9da3-.jpg,True,2026-08-16,2026-08-16T04:03:53
Bufi Çakıltaşı Kg,640.0,492,,False,,Atıştırmalık,https://www.hapeloglu.com/helis-cakiltasi-kg-492,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/helis-cakiltasi-kg-0-42da.jpg,True,2026-08-16,2026-08-16T04:03:53
"Bıg Babol  Sakız Magic Cubes 25,2 gr.",50.0,12408,,False,,Atıştırmalık,https://www.hapeloglu.com/big-babol-sakiz-magic-cubes-252-gr.-12408,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/big-babol-sakiz-magic-cubes-252-gr.-1-2aad.jpg,True,2026-08-16,2026-08-16T04:03:53
Bıg Babol Sakız Fantastıc World 90 gr.,95.0,10584,,False,,Atıştırmalık,https://www.hapeloglu.com/big-babol-sakiz-fantastic-world-90-gr.-10584,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/big-babol-sakiz-fantastic-world-90-gr.--8aa3-.jpg,True,2026-08-16,2026-08-16T04:03:53
Ceviz İçi Kg,595.0,476,,False,,Atıştırmalık,https://www.hapeloglu.com/ceviz-ici-kg-476,https://static.ticimax.cloud/36626/Uploads/UrunResimleri/thumb/ceviz-ici-kg-0-d3a0.png,True,2026-08-16,2026-08-16T04:03:53
