YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,60448.84,,0.0
2026-W11,63093.86,4.38,3.12
2026-W12,66917.95,6.06,3.3
2026-W13,68380.39,2.19,1.39
2026-W14,70708.21,3.4,2.66
2026-W15,73104.37,3.39,3.46
2026-W16,75299.06,3.0,3.05
2026-W17,74907.85,-0.52,0.58
