Product Name,Product Cost,product_id,brand,category,color,regular_price,discount_pct,currency,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Yanları büzgülü ve bağlamalı tişört,1190.0,221529398,Bershka,KADıN > Gömlek - bluz,Kırmızı,1190.0,0.0,TRY,03,0.0,0.0,,
Yanları bağcıklı büzgülü t-shirt,1190.0,206370794,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Kısa kollu fermuarlı gömlek,1190.0,211746250,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Kısa kollu poplin bağlamalı gömlek,1090.0,207352016,Bershka,KADıN > Gömlek - bluz,Haki,1090.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Kısa kollu poplin bağlamalı gömlek,1090.0,224378106,Bershka,KADıN > Gömlek - bluz,Haki,1090.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Uzun kollu kruvaze düğmeli gömlek,1040.0,211596974,Bershka,KADıN > Gömlek - bluz,Beyaz,1490.0,30.2,TRY,03,0.0,0.0,0.0,-30.201342281879196
Çan kollu vücuda oturan gömlek,1190.0,209441384,Bershka,KADıN > Gömlek - bluz,Siyah,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Kısa kollu poplin bağlamalı gömlek,1090.0,207352017,Bershka,KADıN > Gömlek - bluz,Beyaz,1090.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Uzun kollu kruvaze bluz,830.0,210535423,Bershka,KADıN > Gömlek - bluz,Açık mavi,1190.0,30.25,TRY,03,0.0,0.0,0.0,-30.252100840336134
Uzun kollu kruvaze bluz,830.0,210198699,Bershka,KADıN > Gömlek - bluz,Kahverengi,1190.0,30.25,TRY,03,0.0,0.0,0.0,-30.252100840336134
İspanyol kollu dar kesim gömlek,1190.0,209100363,Bershka,KADıN > Gömlek - bluz,Denizci mavisi,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Kısa kollu poplin gömlek,1090.0,221266249,Bershka,KADıN > Gömlek - bluz,Kızıl kahverengi,1090.0,0.0,TRY,03,0.0,0.0,0.0,
Uzun kollu nakışlı gömlek,1790.0,228296926,Bershka,KADıN > Gömlek - bluz,Açık mavi,1790.0,0.0,TRY,03,0.0,0.0,,
