Product Name,Product Cost,product_id,brand,category,color,regular_price,discount_pct,currency,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
ED HARDY X BERSHKA baskılı kapüşonlu sweatshirt,2490.0,226926995,Bershka,KADıN > ED HARDY X BERSHKA,Kirli beyaz,2490.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA denim şort,2690.0,228296995,Bershka,KADıN > ED HARDY X BERSHKA,Mavi,2690.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA halter mini elbise,1990.0,226931509,Bershka,KADıN > ED HARDY X BERSHKA,Koyu gri,1990.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA flare fit pantolon,2490.0,226931559,Bershka,KADıN > ED HARDY X BERSHKA,Kirli beyaz,2490.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA işlemeli şapka,1190.0,226931447,Bershka,KADıN > ED HARDY X BERSHKA,Siyah,1190.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı askılı tişört,1290.0,228467592,Bershka,KADıN > ED HARDY X BERSHKA,Haki,1290.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA çanta,3290.0,228297065,Bershka,KADıN > ED HARDY X BERSHKA,Haki,3290.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı kısa kollu tişört,1190.0,228467602,Bershka,KADıN > ED HARDY X BERSHKA,Siyah,1190.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı askılı tişört,1190.0,228296988,Bershka,KADıN > ED HARDY X BERSHKA,Kirli beyaz,1190.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı askılı tişört,1190.0,226926852,Bershka,KADıN > ED HARDY X BERSHKA,Kirli beyaz,1190.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA bootcut jean,3990.0,226931704,Bershka,KADıN > ED HARDY X BERSHKA,Mavi,3990.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı kısa kollu t-shirt,1190.0,226926775,Bershka,KADıN > ED HARDY X BERSHKA,Haki,1190.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA işlemeli ceket,3690.0,228467596,Bershka,KADıN > ED HARDY X BERSHKA,Kum rengi,3690.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı kısa kollu t-shirt,1190.0,228467594,Bershka,KADıN > ED HARDY X BERSHKA,Kırmızı,1190.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı t-shirt,1290.0,228296983,Bershka,KADıN > ED HARDY X BERSHKA,Beyaz,1290.0,0.0,TRY,03,,,,
ED HARDY x BERSHKA uzun bermuda şort,2990.0,228296991,Bershka,KADıN > ED HARDY X BERSHKA,Kum rengi,2990.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA çanta,3290.0,226927089,Bershka,KADıN > ED HARDY X BERSHKA,Haki,3290.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA işlemeli ceket,3690.0,226931278,Bershka,KADıN > ED HARDY X BERSHKA,Kum rengi,3690.0,0.0,TRY,03,,,,
ED HARDY x BERSHKA uzun bermuda şort,2990.0,226931507,Bershka,KADıN > ED HARDY X BERSHKA,Kum rengi,2990.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA baskılı kısa kollu t-shirt,1190.0,226927279,Bershka,KADıN > ED HARDY X BERSHKA,Kırmızı,1190.0,0.0,TRY,03,,,,
ED HARDY X BERSHKA üçgen bikini üstü,1590.0,228467590,Bershka,KADıN > ED HARDY X BERSHKA,Haki,1590.0,0.0,TRY,03,,,,
