Product Name,Product Cost,product_id,brand,category,color,regular_price,discount_pct,currency,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Mini kloş şort etek,1190.0,206914319,Bershka,KADıN > Etek,Yulaf,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Mini şort etek,1190.0,212049566,Bershka,KADıN > Etek,Siyah,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Çift beli volanlı mini etek,1090.0,216567817,Bershka,KADıN > Etek,Siyah,1090.0,0.0,TRY,03,0.0,,,
İnce çizgili mini etek,1090.0,209725433,Bershka,KADıN > Etek,Kahverengi,1090.0,0.0,TRY,03,0.0,,,
Metalik iplikli fırfırlı mini etek,1190.0,212968337,Bershka,KADıN > Etek,Denizci mavisi,1190.0,0.0,TRY,03,0.0,,,
Kravat bel detaylı mini etek,1190.0,209121317,Bershka,KADıN > Etek,Kirli beyaz,1190.0,0.0,TRY,03,0.0,,,
Tokalı mini şort etek,1190.0,211238907,Bershka,KADıN > Etek,Beyaz/Siyah,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Tokalı mini şort etek,1190.0,218368104,Bershka,KADıN > Etek,Beyaz,1190.0,0.0,TRY,03,0.0,0.0,0.0,
Tokalı mini şort etek,1190.0,208236671,Bershka,KADıN > Etek,Siyah,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Tokalı mini şort etek,1190.0,218801664,Bershka,KADıN > Etek,Siyah,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Dantelli mini etek,1590.0,211505103,Bershka,KADıN > Etek,Krem,1590.0,0.0,TRY,03,0.0,0.0,0.0,
Denim şort etek,1590.0,207674700,Bershka,KADıN > Etek,Mavi,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Denim şort etek,1590.0,207674697,Bershka,KADıN > Etek,Siyah,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Baskılı balon şort etek,1190.0,207768274,Bershka,KADıN > Etek,Koyu mavi,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Baskılı balon şort etek,1190.0,207768273,Bershka,KADıN > Etek,Kum rengi,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Baskılı balon şort etek,1190.0,217315752,Bershka,KADıN > Etek,Kum rengi,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Denim mini etek,1190.0,207391457,Bershka,KADıN > Etek,Denizci mavisi,1190.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Yüksek belli denim şort etek,1590.0,206160616,Bershka,KADıN > Etek,Denizci mavisi,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Denim şort etek,1590.0,207674696,Bershka,KADıN > Etek,Mavi,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Volanlı rustik midi etek,1790.0,205577766,Bershka,KADıN > Etek,Kirli beyaz,1790.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Volanlı rustik midi etek,1790.0,207684738,Bershka,KADıN > Etek,Koyu gri,1790.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Saten midi etek,760.0,208793038,Bershka,KADıN > Etek,Beyaz/Siyah,1090.0,30.28,TRY,03,0.0,0.0,0.0,-30.275229357798167
Büzgülü midi etek,1040.0,208793040,Bershka,KADıN > Etek,Siyah,1490.0,30.2,TRY,03,0.0,0.0,-30.201342281879196,-30.201342281879196
Balon midi etek,1790.0,207380770,Bershka,KADıN > Etek,Haki,1790.0,0.0,TRY,03,0.0,0.0,0.0,0.0
