date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-10,,,,,,,,
2026-03-11,0.0,0.0,,,,,,
2026-03-12,0.4419662766166587,0.4419662766166587,,,,,,
2026-03-13,-0.0098845973262164,-0.0098845973262164,,,,,,
2026-03-14,0.0,0.0,,,,,,
2026-03-15,0.0,0.0,,,,,,
2026-03-16,0.0,0.0,,,,,,
2026-03-17,0.0,0.0,0.4366234947431276,0.4366234947431276,,,,
2026-03-18,0.0,0.0,0.4083410158611159,0.4083410158611159,,,,
2026-03-19,-0.057820599200614,-0.057820599200614,-0.0733137126373646,-0.0733137126373646,,,,
2026-03-20,-0.0471361744692787,-0.0471361744692787,-0.1215280650017087,-0.1215280650017087,,,,
2026-03-21,0.0,0.0,-0.1074926231648614,-0.1074926231648614,,,,
2026-03-22,0.0,0.0,-0.1084742909563213,-0.1084742909563213,,,,
2026-03-23,0.0,0.0,-0.103940067969237,-0.103940067969237,,,,
2026-03-24,0.0,0.0,-0.0813970472812997,-0.0813970472812997,,,,
2026-03-25,0.0,0.0,-0.0682885316178874,-0.0682885316178874,0.4045810201410277,0.4045810201410277,,
2026-03-26,0.1234804788545251,0.1234804788545251,0.1504849683944204,0.1504849683944204,0.5983750749423666,0.5983750749423666,,
2026-03-27,0.0,0.0,0.1160386693271803,0.1160386693271803,0.1618124545072121,0.1618124545072121,,
2026-03-28,0.0,0.0,0.1396224403991731,0.1396224403991731,0.1435856605419737,0.1435856605419737,,
2026-03-29,0.0,0.0,0.1218251334203892,0.1218251334203892,0.1107146138332084,0.1107146138332084,,
2026-03-30,0.0,0.0,0.0349289084420042,0.0349289084420042,0.1126861895349475,0.1126861895349475,,
2026-03-31,0.0,0.0,0.0789377702793253,0.0789377702793253,0.1132990460660096,0.1132990460660096,,
2026-04-01,0.0,0.0,0.1421094591493202,0.1421094591493202,0.1059840550272364,0.1059840550272364,,
2026-04-02,-0.0767706734992105,-0.0767706734992105,-0.0858944890401066,-0.0858944890401066,0.0320807591523742,0.0320807591523742,,
2026-04-03,0.0,0.0,-0.0830263451249872,-0.0830263451249872,0.0790612521408369,0.0790612521408369,,
2026-04-04,0.0,0.0,-0.0825123137658676,-0.0825123137658676,0.0471128731134578,0.0471128731134578,,
