Product Name,Product Cost,product_id,brand,category,color,regular_price,discount_pct,currency,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Bengalin kumaş çan paça pantolon,1490.0,209126965,Bershka,İç giyim > Bras,Siyah,1490.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Modal karışımlı yumuşak flare fit pantolon,760.0,209007188,Bershka,İç giyim > Bras,Siyah,1090.0,30.28,TRY,03,0.0,0.0,-30.275229357798167,-30.275229357798167
Teknik flare fit pantolon,1590.0,209725479,Bershka,İç giyim > Bras,Şeker Pembesi,1590.0,0.0,TRY,03,0.0,0.0,,
Bengalin kumaş çan paça pantolon,1490.0,205577770,Bershka,İç giyim > Bras,Koyu gri,1490.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Bengalin kumaş çan paça pantolon,1490.0,205577771,Bershka,İç giyim > Bras,Kirli beyaz,1490.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Teknik flare fit pantolon,1590.0,207684749,Bershka,İç giyim > Bras,Siyah,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Modal karışımlı yumuşak flare fit pantolon,760.0,204066997,Bershka,İç giyim > Bras,Denizci mavisi,1090.0,30.28,TRY,03,0.0,0.0,-30.275229357798167,-30.275229357798167
Teknik flare fit pantolon,1590.0,207684748,Bershka,İç giyim > Bras,Yulaf,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Düşük bel flare fit pantolon,1590.0,214100477,Bershka,İç giyim > Bras,Siyah,1590.0,0.0,TRY,03,0.0,0.0,0.0,
Modal karışımlı yumuşak flare fit pantolon,760.0,209078191,Bershka,İç giyim > Bras,Gri,1090.0,30.28,TRY,03,0.0,0.0,-30.275229357798167,-30.275229357798167
Bengalin kumaş çan paça pantolon,1490.0,209126966,Bershka,İç giyim > Bras,Gri,1490.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Düşük bel flare fit pantolon,1590.0,214100476,Bershka,İç giyim > Bras,Kum rengi,1590.0,0.0,TRY,03,0.0,0.0,0.0,
Teknik flare fit pantolon,1590.0,207684750,Bershka,İç giyim > Bras,Yosun,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Bengalin kumaş çan paça pantolon,1490.0,209126964,Bershka,İç giyim > Bras,Denizci mavisi,1490.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Yumuşak dokulu flare fit pantolon,1490.0,204066919,Bershka,İç giyim > Bras,Denizci mavisi,1490.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Yamalı şardonlu çan paça pantolon,1590.0,218801303,Bershka,İç giyim > Bras,Krem,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Yamalı şardonlu çan paça pantolon,1590.0,218801302,Bershka,İç giyim > Bras,Gri,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Yumuşak dokulu flare fit pantolon,1490.0,213616345,Bershka,İç giyim > Bras,Krem,1490.0,0.0,TRY,03,0.0,0.0,,
Parlak çan paça pantolon,1590.0,209941236,Bershka,İç giyim > Bras,Bordo,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Flare kapaklı cepli pantolon,1590.0,209485022,Bershka,İç giyim > Bras,Siyah,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
Flare kapaklı cepli pantolon,1590.0,209441772,Bershka,İç giyim > Bras,Denizci mavisi,1590.0,0.0,TRY,03,0.0,0.0,0.0,0.0
