category,product_name,price_tl,unit,product_code,product_url,date,time,in_stock
Meyve Sebze,VAKMAK MINI KOÇANDA TATLI MISIR HAŞLANMIŞ YEMEYE HAZIR 240 GR,149.95,Kg,1007288,https://www.cagri.com/vakmak-mini-kocanda-tatli-misir-haslanmis-yemeye-hazir-240-gr,3/8/2026,9:47:54,No
Meyve Sebze,VAKMAK RENDELENMİŞ KIRMIZI PANCAR HAŞLANMIŞ YEMEYE HAZIR 200 GR.,139.95,Adet,1007289,https://www.cagri.com/vakmak-rendelenmis-kirmizi-pancar-haslanmis-yemeye-hazir-200-gr,3/8/2026,9:47:54,No
Meyve Sebze,Yer Elması kg,99.99,Kg,9887,https://www.cagri.com/yer-elmasi-kg,3/8/2026,9:47:54,No
Meyve Sebze,Biber California Kg,149.99,Kg,1802188,https://www.cagri.com/biber-california-,3/8/2026,9:47:54,No
Meyve Sebze,Mandalina Murcott kg,69.99,Kg,5628,https://www.cagri.com/mandalina-murcott-kg,3/8/2026,9:47:54,No
Meyve Sebze,Çilek kg,199.99,Kg,17855,https://www.cagri.com/cilek-kg,3/8/2026,9:47:54,No
Meyve Sebze,Portakal Çavdır kg,89.99,Kg,16897,https://www.cagri.com/portakal-cavdir-kg,3/8/2026,9:47:54,No
Meyve Sebze,Portakal Washington kg,59.99,Kg,15934,https://www.cagri.com/portakal-washington-kg,3/8/2026,9:47:54,No
Meyve Sebze,F&s soslu çanak Enginar 350 Gr,49.95,Kg,1002933,https://www.cagri.com/fs-soslu-canak-enginar-350-gr,3/8/2026,9:47:54,No
Meyve Sebze,Brokoli kg,149.99,Kg,6078,https://www.cagri.com/brokoli-kg,3/8/2026,9:47:54,No
Meyve Sebze,Elma Pink Lady kg,149.99,Kg,1801423,https://www.cagri.com/elma-pink-lady-kg,3/8/2026,9:47:54,No
Meyve Sebze,Kereviz kg,39.99,Kg,15919,https://www.cagri.com/kereviz-kg,3/8/2026,9:47:54,No
Meyve Sebze,MV.VERİTA BÖĞÜRTLEN 125 GR,499.95,Kg,16030,https://www.cagri.com/mvverita-bogurtlen-125-gr,3/8/2026,9:47:54,No
Meyve Sebze,Muz Yerli kg,119.99,Kg,17829,https://www.cagri.com/muz-yerli-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Döş Kıyma 500 gr ,479.95,Kg,1007400,https://www.cagri.com/dana-kiyma-500-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Döş Kıyma kg,959.9,Kg,15869,https://www.cagri.com/dana-dos-kiyma-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Kuşbaşı kg,1104.95,Kg,15870,https://www.cagri.com/dana-kusbasi-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Kuşbaşı Eko kg,1044.95,Kg,47761,https://www.cagri.com/dana-kusbasi-eko-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Sote kg,1109.95,Kg,15874,https://www.cagri.com/dana-sote-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Tranç kg,1044.95,Kg,15867,https://www.cagri.com/dana-tranc-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Bonfile kg,2199.95,Kg,15872,https://www.cagri.com/dana-bonfile-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Parça Et kg,1044.95,Kg,3142,https://www.cagri.com/dana-parca-et-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Kontrafile kg,1234.95,Kg,3136,https://www.cagri.com/dana-kontrafile-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Straganof kg,1154.95,Kg,16036,https://www.cagri.com/dana-straganof-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Ossobuco kg,849.95,Kg,15973,https://www.cagri.com/dana-ossobuco-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Çağrı Izgara Köfte kg,894.95,Kg,18076,https://www.cagri.com/cagri-izgara-kofte-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Antrikot kg,1994.95,Kg,15871,https://www.cagri.com/dana-antrikot-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Dana Kaburga kg,769.95,Kg,15970,https://www.cagri.com/dana-kaburga-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Kuzu Kuşbaşı kg,1399.95,Kg,15900,https://www.cagri.com/kuzu-kusbasi-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Kuzu Pirzola kg,2124.95,Kg,15882,https://www.cagri.com/kuzu-pirzola-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Kuzu İncik kg,1039.95,Kg,15967,https://www.cagri.com/kuzu-incik-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Kuzu Kapama kg,1099.95,Kg,3134,https://www.cagri.com/kuzu-kapama-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Kuzu Haşlama kg,999.95,Kg,15877,https://www.cagri.com/kuzu-haslama-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Kuzu Kol kg,1039.95,Kg,15876,https://www.cagri.com/kuzu-kol-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Kuzu Külbastı kg,1419.95,Kg,15880,https://www.cagri.com/kuzu-kulbasti-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Bütün kg,109.95,Kg,98082,https://www.cagri.com/gedik-pilic-butun-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Bütün Piliç kg,114.95,Kg,3814,https://www.cagri.com/erpilic-butun-posetli-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Bonfile Kemiksiz kg,244.95,Kg,98083,https://www.cagri.com/gedik-pilic-bonfile-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Bonfile paket kg,244.95,Kg,5445,https://www.cagri.com/erpilic-bonfile-paket-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç But Izgara paket kg,254.95,Kg,21555,https://www.cagri.com/erpilic-but-izgara-paket-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Izgara Kanat kg,259.95,Kg,21634,https://www.cagri.com/gedik-pilic-izgara-kanat-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Baget kg,139.95,Kg,21559,https://www.cagri.com/gedik-pilic-baget-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç  Baget paket kg,144.95,Kg,21561,https://www.cagri.com/erpilic-baget-paket-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç  But kg,114.95,Kg,22923,https://www.cagri.com/erpilic-but-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Derili But Pirzola paket kg,179.95,Kg,6347,https://www.cagri.com/erpilic-derili-but-pirzola-paket-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç But kg,114.95,Kg,21560,https://www.cagri.com/gedik-pilic-but-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç But Izgara kg,249.95,Kg,21590,https://www.cagri.com/gedik-pilic-but-izgara-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Pirzola kg,179.95,Kg,21571,https://www.cagri.com/gedik-pilic-pirzola-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Göğüs Kemikli kg,149.95,Kg,21601,https://www.cagri.com/gedik-pilic-gogus-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Piliç Çıtır Fileto 700 gr,229.95,Kg,1005777,https://www.cagri.com/erpilic-pilic-citir-fileto-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Cordon Blue 700 gr,199.95,Kg,5218,https://www.cagri.com/erpilic-cordon-blue-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Nugget 700 Gr,179.95,Kg,5219,https://www.cagri.com/erpilic-nugget-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Şinitzel 700 gr,179.95,Kg,5217,https://www.cagri.com/erpilic-sinitzel-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Cordon Bleu 285 gr,94.95,Kg,1000838,https://www.cagri.com/gedik-pilic-cordon-bleu-285-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Döner 200 gr,129.95,Kg,974305,https://www.cagri.com/gedik-pilic-doner-200-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Nugget 600 gr,149.95,Kg,974300,https://www.cagri.com/gedik-pilic-nugget-600-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Pınar Piliç Kroket Eko Donuk 430 gr,209.95,Kg,22959,https://www.cagri.com/pinar-pilic-kroket-eko-donuk-430-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Gedik Piliç Şinitzel 600 gr,149.95,Kg,974313,https://www.cagri.com/gedik-pilic-sinitzel-600-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Pınar Piliç Schnitzel Donuk 415 gr,209.95,Kg,22956,https://www.cagri.com/pinar-pilic-schnitzel-donuk-415-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Beşler Döner 200 gr,209.95,Kg,983126,https://www.cagri.com/besler-doner-200-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Pınar Fish Finger Donuk 240 gr,199.95,Kg,25680,https://www.cagri.com/pinar-fish-finger-donuk-240-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Pınar Çıtır Balık 400 gr,299.95,Kg,1340,https://www.cagri.com/pinar-citir-balik-400-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Pınar Hazır Karides Donuk 400 gr,524.95,Kg,23121,https://www.cagri.com/pinar-hazir-karides-donuk-400-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Philadelphia Roll Sushida 205 gr,329.95,Kg,1004215,https://www.cagri.com/dardanel-philadelphia-roll-sushida-205-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Tokyo Mix Sushida 190 gr,329.95,Kg,1004216,https://www.cagri.com/dardanel-tokyo-mix-sushida-190-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Kyoto Mix Sushida 210 gr,329.95,Kg,1004217,https://www.cagri.com/dardanel-kyoto-mix-sushida-210-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel California Roll Sushida 205 gr,329.95,Kg,1004211,https://www.cagri.com/dardanel-california-roll-sushida-205-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Wrap California 120 gr,129.95,Kg,1004221,https://www.cagri.com/dardanel-wrap-california-120-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Wrap Ton 120 gr,129.95,Kg,1004222,https://www.cagri.com/dardanel-wrap-ton-120-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Wrap Somon 120 gr,129.95,Kg,1004223,https://www.cagri.com/dardanel-wrap-somon-120-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Onigiri California 125 gr,114.95,Kg,1004220,https://www.cagri.com/dardanel-onigiri-california-125-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Onigiri Somon Teriyaki 125 gr,114.95,Kg,1004219,https://www.cagri.com/dardanel-onigiri-somon-teriyaki-125-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Onigiri Ton 125 gr,114.95,Kg,1004218,https://www.cagri.com/dardanel-onigiri-ton-125-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Onigiri 125 gr Tavuklu,114.95,Adet,1005234,https://www.cagri.com/dardanel-onigiri-125-gr-tavuklu,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Onigiri Karidesli 125 gr,114.95,Kg,1005235,https://www.cagri.com/dardanel-onigiri-karidesli-125-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Lezita Piliç Nugget 700 gr,139.95,Kg,1006690,https://www.cagri.com/lezita-pilic-nugget-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Dardanel Sushida Special Mix 200 gr,329.95,Kg,1006754,https://www.cagri.com/dardanel-sushida-special-mix-200-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Lezita Piliç Kasap Köfte 700 gr,139.95,Kg,1006651,https://www.cagri.com/lezita-pilic-kasap-kofte-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Lezita Tam Tahıllı Çıtır Jumbo Fileto 700 gr ,224.95,Kg,1006648,https://www.cagri.com/lezita-tam-tahilli-citir-jumbo-fileto-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Lezita Acılı Çıtır Jumbo Fileto 700 gr ,259.95,Kg,1006649,https://www.cagri.com/lezita-acili-citir-jumbo-fileto-700-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Lezita Çıtır Muhteşem Üçlü 850 gr ,229.95,Kg,1006650,https://www.cagri.com/lezita-citir-muhtesem-uclu-850-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Erpiliç Kanat Izgara paket kg,259.95,Kg,21568,https://www.cagri.com/erpilic-kanat-izgara-paket-kg,3/8/2026,9:47:54,No
Et Tavuk Balık,Şampiyon Pişmiş Kokoreç Sebzeli 180 gr,299.95,Kg,1007821,https://www.cagri.com/sampiyon-pismis-kokorec-sebzeli-180-gr,3/8/2026,9:47:54,No
Et Tavuk Balık,Şampiyon Pişmiş Kokoreç Sade 180 gr,299.95,Kg,1007820,https://www.cagri.com/sampiyon-pismis-kokorec-sade-180-gr,3/8/2026,9:47:54,No
Süt Kahvaltılık,Deva Yağlı Yoğurt 3 kg,175.95,Kg,33643,https://www.cagri.com/deva-yagli-yogurt-3-kg,3/8/2026,9:47:54,No
Süt Kahvaltılık,Acuka Keyfi 200 gr,49.95,Kg,63822,https://www.cagri.com/acuka-keyfi-200-gr,3/8/2026,9:47:54,No
Süt Kahvaltılık,İçim Tam Yağlı Süt 1 lt,64.95,Litre,3448,https://www.cagri.com/icim-tam-yagli-sut-1-lt,3/8/2026,9:47:54,No
Süt Kahvaltılık,İkbal Sucuk kg,1199.95,Kg,1002363,https://www.cagri.com/ikbal-sucuk-kg,3/8/2026,9:47:54,No
Süt Kahvaltılık,Alpro Profesyonel Badem Sütü 1 lt,249.95,Litre,1007503,https://www.cagri.com/alpro-profesyonel-badem-sutu-1-lt,3/8/2026,9:47:54,No
Süt Kahvaltılık,Anavarza Süzme Çiçek Balı 850 gr,589.95,Kg,99666,https://www.cagri.com/anavarza-suzme-cicek-bali-850-gr,3/8/2026,9:47:54,No
Süt Kahvaltılık,Ancora Hurma Özü 640 gr,129.95,Kg,12243,https://www.cagri.com/ancora-hurma-ozu-640-gr,3/8/2026,9:47:54,No
Süt Kahvaltılık,Apikoğlu Dilimli Seçme Pastırma 90 gr,299.95,Kg,14789,https://www.cagri.com/apikoglu-dilimli-secme-pastirma-90-gr,3/8/2026,9:47:54,No
Süt Kahvaltılık,Apikoğlu Sucuk Kangal 280 gr,599.95,Kg,14769,https://www.cagri.com/apikoglu-sucuk-kangal-280-gr,3/8/2026,9:47:54,No
Süt Kahvaltılık,Apikoğlu Sucuk kg,1899.95,Kg,967137,https://www.cagri.com/apikoglu-sucuk-kg,3/8/2026,9:47:54,No
Süt Kahvaltılık,Sütaş Homojen Yoğurt 500 gr,44.95,Kg,9195,https://www.cagri.com/sutas-homojen-yogurt-500-gr,3/8/2026,9:47:54,No
Süt Kahvaltılık,Sütaş Tereyağ 750 gr,498.95,Kg,33,https://www.cagri.com/sutas-tereyag-750-gr,3/8/2026,9:47:54,No
