category,product_name,price_tl,unit,date
Meyve Sebze,Turp Kırmızı kg,39.99,Kg,2026-03-15
Meyve Sebze,Biber Sivri kg,149.99,Kg,2026-03-15
Meyve Sebze,Biber Köy kg,199.99,Kg,2026-03-15
Meyve Sebze,Pancar kg,99.99,Kg,2026-03-15
Meyve Sebze,Karnabahar kg,49.99,Kg,2026-03-15
Meyve Sebze,Tevek Tokat Yaprak 800 gr,249.95,Kg,2026-03-15
Meyve Sebze,Nane adet,29.95,Adet,2026-03-15
Meyve Sebze,Greyfurt Kg,59.99,Kg,2026-03-15
Meyve Sebze,Turp Arjantİn kg,39.99,Kg,2026-03-15
Meyve Sebze,Maydanoz adet,29.95,Adet,2026-03-15
Meyve Sebze,F&s Enginar Küçük Kavanoz 600 Gr,379.95,Kg,2026-03-15
Meyve Sebze,F&s Enginar Büyük Kavanoz 930 Gr,429.95,Kg,2026-03-15
Meyve Sebze,F&s Kereviz Büyük Kavanoz 800 Gr,259.95,Kg,2026-03-15
Meyve Sebze,F&s Tombul Bamya 530 Gr,159.95,Kg,2026-03-15
Meyve Sebze,Nihas Domates 100 gr,59.95,Kg,2026-03-15
Meyve Sebze,Biber Kıl Sivri kg,249.99,Kg,2026-03-15
Meyve Sebze,Biber Dolma kg,179.99,Kg,2026-03-15
Meyve Sebze,F&S Enginar 4lü Şişe Kavanoz 370 gr,239.95,Kg,2026-03-15
Meyve Sebze,Patlıcan Bostan kg,199.99,Kg,2026-03-15
Meyve Sebze,Nihas Dolmalık Patlıcan,149.59,Adet,2026-03-15
Meyve Sebze,Nihas Gurma Dolmalık Biber,149.95,Adet,2026-03-15
Meyve Sebze,Nihas Gurme Patlıcan Dolmalık,149.95,Adet,2026-03-15
Meyve Sebze,Portakal Çavdır kg,69.99,Kg,2026-03-15
Meyve Sebze,Kereviz kg,39.99,Kg,2026-03-15
Meyve Sebze,Lahana Brüksel Paket Adet ,89.95,Adet,2026-03-15
Meyve Sebze,Mandalina Murcott kg,39.99,Kg,2026-03-15
Meyve Sebze,Ayva kg,199.99,Kg,2026-03-15
Meyve Sebze,Muz Yerli kg,99.99,Kg,2026-03-15
Meyve Sebze,Fasulye Çalı kg,249.99,Kg,2026-03-15
Meyve Sebze,F&s soslu çanak Enginar 350 Gr,49.95,Kg,2026-03-15
Meyve Sebze,Elma Pink Lady kg,159.99,Kg,2026-03-15
Meyve Sebze,VAKMAK KOÇANDA TATLI MISIR HAŞLANMIŞ YEMEYE HAZIR 250 GR,149.95,Kg,2026-03-15
Meyve Sebze,VAKMAK MINI KOÇANDA TATLI MISIR HAŞLANMIŞ YEMEYE HAZIR 240 GR,149.95,Kg,2026-03-15
Meyve Sebze,VAKMAK RENDELENMİŞ KIRMIZI PANCAR HAŞLANMIŞ YEMEYE HAZIR 200 GR.,139.95,Adet,2026-03-15
Meyve Sebze,VAKMAK KOÇANDA TATLI MISIR HAŞLANMIŞ YEMEYE HAZIR 450 GR,179.95,Kg,2026-03-15
Meyve Sebze,Limon Lamas kg,69.99,Kg,2026-03-15
Meyve Sebze,Yer Elması kg,99.99,Kg,2026-03-15
Meyve Sebze,MV.VERİTA BÖĞÜRTLEN 125 GR,499.95,Kg,2026-03-15
Meyve Sebze,Biber California Kg,159.99,Kg,2026-03-15
Meyve Sebze,Çilek kg,179.99,Kg,2026-03-15
Meyve Sebze,Brokoli kg,149.99,Kg,2026-03-15
Meyve Sebze,Portakal Washington kg,39.99,Kg,2026-03-15
Et Tavuk Balık,Dana Döş Kıyma 500 gr ,399.95,Kg,2026-03-15
Et Tavuk Balık,Dana Döş Kıyma kg,799.95,Kg,2026-03-15
Et Tavuk Balık,Dana Kuşbaşı kg,999.95,Kg,2026-03-15
Et Tavuk Balık,Dana Kuşbaşı Eko kg,949.95,Kg,2026-03-15
Et Tavuk Balık,Dana Sote kg,1109.95,Kg,2026-03-15
Et Tavuk Balık,Dana Tranç kg,1044.95,Kg,2026-03-15
Et Tavuk Balık,Dana Bonfile kg,2199.95,Kg,2026-03-15
Et Tavuk Balık,Dana Parça Et kg,919.95,Kg,2026-03-15
Et Tavuk Balık,Dana Kontrafile kg,1234.95,Kg,2026-03-15
Et Tavuk Balık,Dana Straganof kg,1154.95,Kg,2026-03-15
Et Tavuk Balık,Dana Ossobuco kg,689.95,Kg,2026-03-15
Et Tavuk Balık,Çağrı Izgara Köfte kg,789.95,Kg,2026-03-15
Et Tavuk Balık,Dana Antrikot kg,1649.95,Kg,2026-03-15
Et Tavuk Balık,Dana Kaburga kg,679.95,Kg,2026-03-15
Et Tavuk Balık,Kuzu Kuşbaşı kg,1224.95,Kg,2026-03-15
Et Tavuk Balık,Kuzu Pirzola kg,2189.95,Kg,2026-03-15
Et Tavuk Balık,Kuzu İncik kg,1039.95,Kg,2026-03-15
Et Tavuk Balık,Kuzu Kapama kg,999.95,Kg,2026-03-15
Et Tavuk Balık,Kuzu Haşlama kg,979.95,Kg,2026-03-15
Et Tavuk Balık,Kuzu Kol kg,1039.95,Kg,2026-03-15
Et Tavuk Balık,Kuzu Külbastı kg,1449.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Bütün kg,119.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Bütün Piliç kg,129.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Bonfile Kemiksiz kg,259.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Bonfile paket kg,269.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç But Izgara paket kg,299.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Izgara Kanat kg,294.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Baget kg,154.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç  Baget paket kg,154.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç  But kg,129.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Derili But Pirzola paket kg,214.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç But kg,129.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç But Izgara kg,289.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Pirzola kg,209.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Göğüs Kemikli kg,164.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Piliç Çıtır Fileto 700 gr,229.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Cordon Blue 700 gr,199.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Nugget 700 Gr,179.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Şinitzel 700 gr,179.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Cordon Bleu 285 gr,94.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Döner 200 gr,129.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Nugget 600 gr,149.95,Kg,2026-03-15
Et Tavuk Balık,Pınar Piliç Kroket Eko Donuk 430 gr,179.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Şinitzel 600 gr,149.95,Kg,2026-03-15
Et Tavuk Balık,Pınar Piliç Schnitzel Donuk 415 gr,179.95,Kg,2026-03-15
Et Tavuk Balık,Beşler Döner 200 gr,209.95,Kg,2026-03-15
Et Tavuk Balık,Pınar Fish Finger Donuk 240 gr,199.95,Kg,2026-03-15
Et Tavuk Balık,Pınar Çıtır Balık 400 gr,299.95,Kg,2026-03-15
Et Tavuk Balık,Pınar Hazır Karides Donuk 400 gr,524.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Philadelphia Roll Sushida 205 gr,329.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Tokyo Mix Sushida 190 gr,329.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Kyoto Mix Sushida 210 gr,329.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel California Roll Sushida 205 gr,329.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Wrap California 120 gr,129.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Wrap Ton 120 gr,129.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Wrap Somon 120 gr,129.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Onigiri California 125 gr,114.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Onigiri Somon Teriyaki 125 gr,114.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Onigiri Ton 125 gr,114.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Onigiri 125 gr Tavuklu,114.95,Adet,2026-03-15
Et Tavuk Balık,Dardanel Onigiri Karidesli 125 gr,114.95,Kg,2026-03-15
Et Tavuk Balık,Lezita Piliç Nugget 700 gr,139.95,Kg,2026-03-15
Et Tavuk Balık,Dardanel Sushida Special Mix 200 gr,329.95,Kg,2026-03-15
Et Tavuk Balık,Lezita Piliç Kasap Köfte 700 gr,139.95,Kg,2026-03-15
Et Tavuk Balık,Lezita Tam Tahıllı Çıtır Jumbo Fileto 700 gr ,224.95,Kg,2026-03-15
Et Tavuk Balık,Lezita Acılı Çıtır Jumbo Fileto 700 gr ,259.95,Kg,2026-03-15
Et Tavuk Balık,Lezita Çıtır Muhteşem Üçlü 850 gr ,229.95,Kg,2026-03-15
Et Tavuk Balık,Erpiliç Kanat Izgara paket kg,324.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Nugget 700 gr,174.95,Kg,2026-03-15
Et Tavuk Balık,Şampiyon Pişmiş Kokoreç Sade 180 gr,299.95,Kg,2026-03-15
Et Tavuk Balık,Gedik Piliç Şinitzel 700 gr,174.95,Kg,2026-03-15
Et Tavuk Balık,Şampiyon Pişmiş Kokoreç Sebzeli 180 gr,299.95,Kg,2026-03-15
Süt Kahvaltılık,Canaga Süt Kaymak kg,1399.95,Kg,2026-03-15
Süt Kahvaltılık,Coşkun Blok Kavurma kg,2699.95,Kg,2026-03-15
Süt Kahvaltılık,Coşkun Isıl İşlem Görmüş Sucuk 300 gr,279.95,Kg,2026-03-15
Süt Kahvaltılık,Coşkun Isıl İşlem Görmüş Sucuk kg,1424.95,Kg,2026-03-15
Süt Kahvaltılık,Coşkun Isıl İşlem Görmüş Tekli Çatal Sucuk 250 gr,269.95,Kg,2026-03-15
Süt Kahvaltılık,Coşkun Kavurma 100 gr,239.95,Kg,2026-03-15
Süt Kahvaltılık,Coşkun Macar Salam kg,1129.95,Kg,2026-03-15
Süt Kahvaltılık,Coşkun Yarım Ay Sucuk 300 gr,469.95,Kg,2026-03-15
Süt Kahvaltılık,Cumhuriyet Sucuk kg,1499.95,Kg,2026-03-15
Süt Kahvaltılık,Çağlak Tereyağ 1 kg,399.95,Kg,2026-03-15
Süt Kahvaltılık,Çağrım Süzme Çiçek Balı 850 gr,424.95,Kg,2026-03-15
Süt Kahvaltılık,Çayırova Rulo Tereyağ 500 gr,309.95,Kg,2026-03-15
Süt Kahvaltılık,Çayırova Yarım Yağlı Yoğurt 2 kg,129.95,Kg,2026-03-15
Süt Kahvaltılık,Çemen Keyfi & Sosyete Çemeni 200 gr,49.95,Kg,2026-03-15
Süt Kahvaltılık,Çizmelioğlu Gögermiş Peynir 440 gr,264.95,Kg,2026-03-15
Süt Kahvaltılık,Çizmelioğlu Yarım Yağlı Kültürlü Beyaz Peynir kg,179.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Antrikot Çemensiz Pastırma kg,3749.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Antrikot Pastırma kg,2499.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Blok Kavurma kg,1549.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Çemensiz Dilimli Pastırma 70 gr ,274.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Dana Etli Salam kg,1249.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Dana Jambon kg,1449.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Dana Tadımlık Jambon 50 gr,57.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Dilimli Kavurma 100 gr,179.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Dilimli Sucuk 250 gr,79.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Füme Dilimli Kaburga 70 gr,129.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Geleneksel Sucuk 300 gr,324.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Hindi Füme kg,729.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Hindi Jambon kg,649.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Hindi Salam kg,419.95,Kg,2026-03-15
Süt Kahvaltılık,Danet İspanyol Örgülü Salam kg,1249.95,Kg,2026-03-15
Süt Kahvaltılık,Danet İspanyol Salam Karabiberli kg,1249.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Macar Salam kg,1249.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Osmanlı Sucuk kg,1199.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Piliç Salam 700 gr,119.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Sebzeli Piliç Jambon kg,349.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Sucuk Afyon Tescilli kg,1299.95,Kg,2026-03-15
