Date,Price,District,Rooms
2026-03-16,18000,Merkez,1+1
2026-03-16,26000,Merkez,2+0
2026-03-16,19000,"Merkez
Hükümet",3+1
2026-03-16,10000,Merkez,3+1
2026-03-16,14250,Merkez,3+1
2026-03-16,15500,Merkez,1+1
2026-03-16,10000,"Merkez
Hükümet",3+1
2026-03-16,16000,"Merkez
Hükümet",2+1
2026-03-16,15500,"Merkez
Hükümet",3+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,12000,"Merkez
Hükümet",2+1
2026-03-16,11500,"Merkez
Hükümet",2+1
2026-03-16,17750,Merkez,1+1
2026-03-16,16500,Merkez,1+1
2026-03-16,10500,"Merkez
Hükümet",3+1
2026-03-16,14000,Merkez,1+1
2026-03-16,12500,"Merkez
Hükümet",2+1
2026-03-16,12250,"Merkez
Çarşı",2+1
2026-03-16,22500,"Merkez
Hükümet",4+1
2026-03-16,20000,"Merkez
Hükümet",3+1
2026-03-16,20000,"Merkez
Hükümet",3+1
2026-03-16,14000,"Merkez
Hükümet",3+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,20000,"Merkez
Hükümet",3+1
2026-03-16,18000,"Merkez
Hükümet",2+1
2026-03-16,15500,"Merkez
Çarşı",3+1
2026-03-16,11500,"Merkez
Hükümet",3+1
2026-03-16,17500,"Merkez
Çarşı",2+1
2026-03-16,17500,"Merkez
Hükümet",3+1
2026-03-16,15500,Merkez,2+1
2026-03-16,16500,Çiçekdağı,2+1
2026-03-16,17000,Merkez,1.5+1
2026-03-16,14000,"Merkez
Hükümet",1+1
2026-03-16,16000,Merkez,1+1
2026-03-16,12000,"Merkez
Hükümet",3+1
2026-03-16,18750,"Merkez
Hükümet",4+1
2026-03-16,17850,Merkez,1+1
2026-03-16,20500,"Merkez
Çarşı",1+1
2026-03-16,13000,"Merkez
Çarşı",1+1
2026-03-16,15500,"Merkez
Hükümet",3+1
2026-03-16,17000,"Merkez
Hükümet",3+1
2026-03-16,17500,Merkez,2+1
2026-03-16,14500,"Merkez
Hükümet",3+1
2026-03-16,15000,"Merkez
Çarşı",1+1
2026-03-16,12500,"Merkez
Hükümet",5+1
2026-03-16,10000,"Merkez
Hükümet",2+1
2026-03-16,17500,Merkez,1+1
2026-03-16,12500,"Merkez
Hükümet",1+1
2026-03-16,15000,"Merkez
Çarşı",1+1
2026-03-16,19000,Kaman,4+1
2026-03-16,19000,"Merkez
Çarşı",2+1
2026-03-16,26500,"Merkez
Hükümet",2+1
2026-03-16,14000,"Merkez
Hükümet",3+1
2026-03-16,17500,"Merkez
Çarşı",2+1
2026-03-16,13000,Merkez,3+1
2026-03-16,14000,"Merkez
Hükümet",3+1
2026-03-16,17000,Merkez,3+1
2026-03-16,13500,Merkez,3+1
2026-03-16,14999,"Merkez
Hükümet",3+1
2026-03-16,15000,"Merkez
Çarşı",3+1
2026-03-16,19000,"Merkez
Çarşı",1+1
2026-03-16,18500,"Çiçekdağı
Köseli",3+1
2026-03-16,15000,"Merkez
Çarşı",2+1
2026-03-16,12750,"Merkez
Hükümet",4+1
2026-03-16,10500,"Merkez
Hükümet",2+1
2026-03-16,19500,"Merkez
Çarşı",2+1
2026-03-16,19500,"Merkez
Çarşı",2+1
2026-03-16,20000,"Merkez
Hükümet",2+1
2026-03-16,16000,Merkez,1+1
2026-03-16,18500,Merkez,1+1
2026-03-16,12000,"Merkez
Hükümet",3+1
2026-03-16,10000,Kaman,1+1
2026-03-16,12750,"Merkez
Hükümet",2+1
2026-03-16,20000,"Merkez
Hükümet",2+1
2026-03-16,15000,"Merkez
Hükümet",2+1
2026-03-16,7000,Merkez,3+1
2026-03-16,16000,"Merkez
Hükümet",1+1
2026-03-16,16500,"Merkez
Hükümet",3+1
2026-03-16,15500,"Merkez
Çarşı",1+1
2026-03-16,12000,Merkez,1+1
2026-03-16,18500,Merkez,3+1
2026-03-16,27000,"Merkez
Hükümet",4+1
2026-03-16,18000,Merkez,3+1
2026-03-16,17500,Merkez,2+1
2026-03-16,18001,"Merkez
Hükümet",1+1
2026-03-16,28000,Merkez,3+1
2026-03-16,12000,"Merkez
Hükümet",3+1
2026-03-16,17000,Merkez,1+1
2026-03-16,10000,"Merkez
Hükümet",3+1
2026-03-16,18000,"Merkez
Hükümet",3+1
2026-03-16,25000,Merkez,1+1
2026-03-16,17500,Merkez,1+1
2026-03-16,14000,Kaman,3+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,27000,"Merkez
Çarşı",4+1
2026-03-16,17000,"Merkez
Hükümet",2+1
2026-03-16,12500,Merkez,3+1
2026-03-16,12750,"Merkez
Çarşı",1+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,20000,"Merkez
Hükümet",2+1
2026-03-16,15000,"Merkez
Çarşı",3+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,21000,Merkez,4+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,14000,Merkez,3+1
2026-03-16,17000,"Merkez
Çarşı",1+1
2026-03-16,18500,"Merkez
Hükümet",3+1
2026-03-16,25000,Merkez,4+1
2026-03-16,11500,"Merkez
Çarşı",3+1
2026-03-16,17500,"Merkez
Hükümet",3+1
2026-03-16,14000,"Merkez
Hükümet",2+1
2026-03-16,17000,Merkez,1+1
2026-03-16,12500,"Merkez
Hükümet",3+1
2026-03-16,16000,"Merkez
Hükümet",3+1
2026-03-16,12500,"Merkez
Çarşı",1+1
2026-03-16,18000,"Merkez
Hükümet",3+1
2026-03-16,13000,Merkez,3+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,15500,"Merkez
Hükümet",3+1
2026-03-16,15500,Merkez,1+1
2026-03-16,20000,"Merkez
Çarşı",2+1
2026-03-16,19000,"Merkez
Hükümet",2+1
2026-03-16,13000,"Merkez
Hükümet",3+1
2026-03-16,13500,Merkez,1+1
2026-03-16,17000,Merkez,1+1
2026-03-16,15500,"Merkez
Hükümet",3+1
2026-03-16,14000,"Merkez
Hükümet",3+1
2026-03-16,14000,"Merkez
Çarşı",2+1
2026-03-16,16750,Merkez,1+1
2026-03-16,11000,"Merkez
Hükümet",3+1
2026-03-16,16500,Merkez,3+1
2026-03-16,12000,"Merkez
Hükümet",3+1
2026-03-16,20000,Kaman,3+1
2026-03-16,17000,Kaman,4+1
2026-03-16,17500,Merkez,1+1
2026-03-16,27000,Merkez,2+1
2026-03-16,16000,Kaman,2+1
2026-03-16,16000,"Merkez
Hükümet",1+1
2026-03-16,15000,"Merkez
Hükümet",1+1
2026-03-16,21000,"Merkez
Çarşı",4+1
2026-03-16,11000,"Merkez
Hükümet",2+1
2026-03-16,14500,"Merkez
Hükümet",3+1
2026-03-16,17000,Merkez,2+1
2026-03-16,16500,"Merkez
Hükümet",1+1
2026-03-16,16500,Merkez,1+1
2026-03-16,18500,Merkez,1+1
2026-03-16,18000,"Merkez
Çarşı",1+1
2026-03-16,20000,"Merkez
Çarşı",1+1
2026-03-16,18000,Merkez,1+1
2026-03-16,10000,"Merkez
Hükümet",3+1
2026-03-16,12000,"Merkez
Çarşı",3+1
2026-03-16,12750,"Merkez
Hükümet",3+1
2026-03-16,14000,"Merkez
Hükümet",2+1
2026-03-16,18500,"Merkez
Hükümet",3+1
2026-03-16,15000,"Merkez
Hükümet",1+1
2026-03-16,18250,Merkez,3+1
2026-03-16,17000,Merkez,3+1
2026-03-16,5500,"Merkez
Hükümet",2+1
2026-03-16,12000,Kaman,3+1
2026-03-16,18500,Merkez,2+1
2026-03-16,15000,"Merkez
Hükümet",2+1
2026-03-16,20000,Merkez,2+1
2026-03-16,15000,Kaman,1+1
2026-03-16,16500,"Merkez
Çarşı",1+1
2026-03-16,15500,"Merkez
Çarşı",1+1
2026-03-16,17000,"Merkez
Hükümet",1+1
2026-03-16,16500,Merkez,3+1
2026-03-16,13000,"Merkez
Çarşı",3+1
2026-03-16,20000,"Merkez
Hükümet",1+1
2026-03-16,35000,"Merkez
Hükümet",3+1
2026-03-16,17500,Merkez,3+1
2026-03-16,16500,"Merkez
Hükümet",2+1
2026-03-16,18000,"Merkez
Hükümet",1+1
2026-03-16,15500,"Merkez
Hükümet",3+1
2026-03-16,8500,"Merkez
Hükümet",2+1
2026-03-16,14000,Merkez,3+1
2026-03-16,16000,"Merkez
Hükümet",2+1
2026-03-16,17500,Merkez,2+1
2026-03-16,18000,"Merkez
Hükümet",3+1
2026-03-16,13000,Merkez,2+1
2026-03-16,17500,"Merkez
Hükümet",1+1
2026-03-16,16500,"Merkez
Çarşı",1+1
2026-03-16,12000,Kaman,3+1
2026-03-16,13000,"Merkez
Çarşı",3+1
2026-03-16,22500,Merkez,1+1
2026-03-16,29000,"Merkez
Çarşı",2+1
2026-03-16,15000,Merkez,2+1
2026-03-16,15000,"Merkez
Çarşı",3+1
2026-03-16,22500,Merkez,3+1
2026-03-16,17500,"Merkez
Hükümet",3+1
2026-03-16,14000,"Merkez
Çarşı",2+1
2026-03-16,18000,"Merkez
Hükümet",3+1
2026-03-16,22000,Merkez,1+1
2026-03-16,18500,"Merkez
Çarşı",2+1
2026-03-16,11500,"Merkez
Hükümet",3+1
2026-03-16,20000,"Merkez
Hükümet",4+0
2026-03-16,11000,"Merkez
Hükümet",3+1
2026-03-16,15000,Merkez,3+1
2026-03-16,19000,Kaman,1+1
2026-03-16,11000,Merkez,3+1
2026-03-16,25000,Merkez,3+1
2026-03-16,15500,"Merkez
Hükümet",2+1
2026-03-16,8500,"Merkez
Hükümet",3+1
2026-03-16,18000,"Merkez
Hükümet",1+1
2026-03-16,21000,"Merkez
Hükümet",4+1
2026-03-16,21000,"Merkez
Hükümet",3+1
2026-03-16,17500,Merkez,3+1
2026-03-16,9500,"Merkez
Hükümet",3+1
2026-03-16,17000,Merkez,1+1
2026-03-16,17000,"Merkez
Çarşı",1+1
2026-03-16,23000,"Merkez
Hükümet",2+1
2026-03-16,20000,Merkez,1+1
2026-03-16,17000,Merkez,3+1
2026-03-16,22500,Merkez,1+1
2026-03-16,15500,"Merkez
Çarşı",3+1
2026-03-16,13500,Merkez,2+1
2026-03-16,15000,"Merkez
Çarşı",3+1
2026-03-16,18500,Merkez,2+0
2026-03-16,15500,"Merkez
Hükümet",2+1
2026-03-16,8500,"Merkez
Hükümet",2+1
2026-03-16,11000,"Merkez
Hükümet",2+1
2026-03-16,27000,"Merkez
Hükümet",2+1
2026-03-16,29000,"Merkez
Çarşı",4+1
2026-03-16,14500,"Merkez
Hükümet",3+1
2026-03-16,15000,Merkez,1+1
2026-03-16,8000,Merkez,3+1
2026-03-16,19000,"Merkez
Çarşı",1+1
2026-03-16,16250,"Merkez
Hükümet",3+1
2026-03-16,20000,"Merkez
Çarşı",1+1
2026-03-16,14000,Merkez,2+0
2026-03-16,13500,"Merkez
Hükümet",3+1
2026-03-16,17250,Merkez,1+1
2026-03-16,15000,"Merkez
Hükümet",1+1
2026-03-16,17500,"Merkez
Hükümet",1+1
2026-03-16,25000,"Merkez
Hükümet",2+1
2026-03-16,13500,"Merkez
Çarşı",1+1
2026-03-16,25000,Merkez,3+1
2026-03-16,15000,Merkez,3+1
2026-03-16,13500,"Merkez
Hükümet",3+1
2026-03-16,15000,"Merkez
Hükümet",5+1
2026-03-16,18000,"Merkez
Çarşı",1+1
2026-03-16,17000,"Merkez
Hükümet",2+1
2026-03-16,11500,"Merkez
Hükümet",3+1
2026-03-16,21000,"Merkez
Hükümet",4+1
2026-03-16,11500,"Merkez
Hükümet",3+1
2026-03-16,17500,"Merkez
Çarşı",1+1
2026-03-16,45000,Merkez,3+1
2026-03-16,34000,Merkez,3+1
2026-03-16,23000,"Merkez
Hükümet",6+1
2026-03-16,13750,"Merkez
Hükümet",3+1
2026-03-16,20000,Merkez,3+1
2026-03-16,16000,Merkez,3+1
2026-03-16,14000,"Merkez
Hükümet",3+1
2026-03-16,26000,Merkez,4+1
2026-03-16,17500,"Merkez
Çarşı",1+1
2026-03-16,16000,"Merkez
Hükümet",1+1
2026-03-16,12500,"Merkez
Hükümet",1+1
2026-03-16,15000,Merkez,1+1
2026-03-16,14000,"Merkez
Hükümet",3+1
2026-03-16,15500,"Merkez
Hükümet",3+1
2026-03-16,16500,"Merkez
Hükümet",1+1
2026-03-16,25000,Merkez,2+1
2026-03-16,18000,Merkez,1+1
2026-03-16,10000,"Merkez
Hükümet",2+1
2026-03-16,10000,"Merkez
Hükümet",2+1
2026-03-16,30000,"Merkez
Hükümet",2+1
2026-03-16,13000,"Merkez
Hükümet",3+1
2026-03-16,14000,Merkez,3+1
2026-03-16,16900,"Merkez
Hükümet",3+1
2026-03-16,24000,Merkez,3+1
2026-03-16,16000,"Merkez
Hükümet",1+1
2026-03-16,20000,"Merkez
Hükümet",3+1
2026-03-16,12500,"Merkez
Hükümet",3+1
2026-03-16,19000,"Merkez
Çarşı",1.5+1
2026-03-16,13500,"Merkez
Hükümet",2+1
2026-03-16,18000,"Merkez
Hükümet",3+1
2026-03-16,8500,"Merkez
Hükümet",2+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,13500,Merkez,2+1
2026-03-16,20000,Merkez,4+1
2026-03-16,16500,"Merkez
Çarşı",3+1
2026-03-16,18500,"Merkez
Çarşı",1+1
2026-03-16,16000,Merkez,3+1
2026-03-16,25000,"Merkez
Çarşı",2+1
2026-03-16,25000,Merkez,2+1
2026-03-16,16500,"Merkez
Hükümet",3+1
2026-03-16,18000,Merkez,1+1
2026-03-16,22000,"Merkez
Hükümet",3+1
2026-03-16,8500,"Merkez
Hükümet",2+1
2026-03-16,19000,Merkez,3+1
2026-03-16,16000,"Merkez
Hükümet",3+1
2026-03-16,20000,Merkez,3+1
2026-03-16,19500,"Merkez
Çarşı",1+1
2026-03-16,15500,"Merkez
Çarşı",3+1
2026-03-16,13500,"Merkez
Hükümet",3+1
2026-03-16,19000,Kaman,3+1
2026-03-16,17250,Merkez,1+1
2026-03-16,17000,Merkez,1+1
2026-03-16,30000,"Merkez
Hükümet",3+1
2026-03-16,15500,"Merkez
Çarşı",1+1
2026-03-16,15000,"Merkez
Hükümet",3+1
2026-03-16,16500,"Merkez
Çarşı",1+1
2026-03-16,16000,"Merkez
Hükümet",3+1
2026-03-16,15500,Merkez,3+1
2026-03-16,18500,Merkez,1+1
2026-03-16,10000,"Merkez
Hükümet",3+1
2026-03-16,17000,Merkez,3+1
2026-03-16,14000,"Merkez
Çarşı",3+1
2026-03-16,12000,Merkez,3+1
2026-03-16,21000,Merkez,2+1
2026-03-16,16000,"Merkez
Hükümet",3+1
2026-03-16,12500,"Merkez
Hükümet",3+1
