product_name,price (TL)
Lezita Tabaklı Fileto Kg,226.9
Banvit Piliç Baget Kg,140.8
Banvit Poşetli Bütün Piliç Kg,129.9
Banvit Piliç Kök Kanat Kg,180.0
Lezita Tabaklı Baget Kg,135.9
Beypiliç Tabaklı Ciğer,72.9
Banvit Kalçalı But Kg,160.0
Lezita Piliç Yaprak Döner 200 Gr,79.9
Lezita Taze Poşetli Bütün Piliç Kg,129.9
Lezita Nugget 300 Gr,59.9
Gedik Tabaklı Izgara Tava,257.9
Banvit Tabaklı Piliç Izgara Kanat Kg,285.0
Banvit Piliç Nuget 700 Gr,119.0
Lezita Derili Tabaklı But Pirzola Kg,166.9
Gedik Tabaklı Bonfile,229.9
Banvit Izgara Tava Kg,385.0
Banvit İftarlık İri Piliç Kg,145.9
Beypiliç Poşetli Bütün Piliç Kg,139.9
Lezita Piliç Nugget 700 Gr,115.9
Erpiliç Poşetli Bütün Piliç,138.9
Bolca Hindi Osso Bucco kg,279.9
Beypiliç Donuk Pekin Ördeği Bütün Kg,362.9
Banvit Tabaklı Piliç Sarma Küçük Tabak Kg,180.0
Lezita Tabaklı Kök Kanat,163.9
Erpiliç Tabaklı Bonfile Kg,277.9
Banvit Klasik Piliç Burger Küvet 300 Gr,76.9
Banvit Piliç Pişmiş Döner-200Gr,110.9
Lezita Çıtır Kova Piliç Parçaları Donuk 850 G,219.0
Lezita Çıtır Kıtır Piliç Fileto 270 G,83.9
Lezita Çıtır Kıtır Piliç Fileto 270 G,83.9
Banvit Piliç Yaprak Döner 500 g,199.0
Lezita Çıtır Kova Piliç Parçaları Donuk 850 G,219.0
Lezita Schnitzel 270 G,69.9
Beypiliç Tabaklı Baget,153.9
Lezita Dondurulmuş Jumbo Piliç Fileto 700 Gr,219.0
Lezita Piliç Schnitzel 700 Gr,139.9
Lezita Tabaklı Ciğer,69.9
Erpiliç Tabaklı Ciğer Yürek,101.9
Erpiliç Tabaklı Baget Kg,151.9
Erpiliç Tabaklı Üst Kanat,211.9
Lezita Farmelia Poşetli Piliç Kg,145.9
Erpiliç Kalçalı But Kg,105.0
Lezita Kasap Köfte 300 Gr,59.9
Beypiliç Piliç Fileto Kg,278.9
Lezita Cordonbleu 300 Gr,83.9
Gazivet 4 Lü Genç Bıldırcın Eti Şoklu,390.0
Banvit Tabaklı Baby Şiş,318.15
Lezita Tabaklı Bonfile Kg,241.9
Erpiliç Derili But Pirzola Tabak,211.9
Gedik Tabaklı But Pirzola Kg,179.9
Gedik Tabaklı Izgara Kanat Kg,265.9
Gedik Tabaklı Kelebek,169.9
Erpiliç Schitzel 800 gr,136.9
Erpiliç Döner 250 g,129.9
Erpiliç Taze Nugget 700 g,136.9
Beypiliç Tabaklı Soslu Piliç Izgara Kanat Kg,342.9
Beypiliç Tabaklı Soslu Piliç Izgara But,225.9
Beypiliç Tabaklı Soslu Izgara But Kg,296.9
Lezita Mangallık But Pirzola Derili,119.9
Yeşilküre Organik Tavuk Kanat Kg,649.9
Gedik Tabaklı Ciğer,83.9
Banvit Piliç Çıtır Pane 275 g,83.75
Gedik Poşetli Bütün Piliç,129.9
Gedik Tabaklı Baget,144.9
Gedik Tabaklı But,119.9
Banvit Soslu Piliç Pirzola Kg,204.6
Banvit Soslu Piliç Kök Kanat Kg,313.45
Yeşilküre Organik But Pirzola Kg,979.5
Yılbaşı Piliç (Roaster) Kg,135.9
Bupiliç Tabak But Pirzola kg,179.9
Erpiliç Tabaklı Kırlangıç Piliç Bonfile kg,257.9
Bolca Hindi Döner 300 g,131.9
Erpiliç Tabaklı But Izgara Kg,296.9
Erpiliç Tabaklı Sarma,178.9
Erpiliç Tabaklı Kanat Izgara,316.9
Yeşilküre Organik Baget Kg,989.5
Gedik Tabaklı Kök Kanat,169.9
Erpiliç Tabaklı Taşlık,101.9
Beypiliç Tabaklı Taşlık,111.9
Dana Kıyma (%14-%20 Yağ) Kg,779.9
Ettat Pişmiş Dana Döner 250 g,159.0
Dana Kuşbaşı Kg,849.9
Dana Kıyma (%5-%7 Yağ) Kg,943.9
Dana Döş Sarma Kg,799.9
Dana But Biftek Kg,949.9
Dana Kıyma ( %7 - %14 Yağ ) Kg,910.9
Dana Kıyma Map 1 kg,649.9
Dana Sac Kavurma Kg,875.9
Dana Tas Kebabı Kg,949.9
Kasap Köfte Kg,799.9
Kuzu Gerdan Kg,799.9
Dana Strogonof Kg,959.9
Kuzu Kol Kemiksiz Kg,1099.9
Gurvita İlikli Kemik Suyu Sade 320 ml,229.95
Dana Antrikot Kg,1599.9
Tekirdağ Köfte,799.9
Kuzu Biftek Kg,1313.9
Kuzu Kapama Kg,1117.9
Kuzu Pirzola Kg,1799.9
Kuzu Kol Kemikli Kg,981.9
Gurvita İlikli Kemik Suyu Ezogelin Çorba 370 ml,249.95
Gurvita İlikli Kemik Suyuna Mercimek Çorba 370 ml,249.95
Kuzu But Kemiksiz Kg,1185.9
Kuzu Kaburga Kg,872.9
Kuzu Kuşbaşı Kg,1281.9
Dana Nuar - Rosto Kg,959.9
Dana Kontrafile Kg,1199.9
Urfa Kebap Kg,879.9
Kuzu Kol Fırın Kg,1031.9
Dana Şişlik Et Kg,959.9
Kuzu Sote Kg,1281.9
Gurvita İlikli Kemik Suyu Sade 4X50 ml,159.95
Gurvita Kuzu İlikli Kemik Suyu 320 Ml,229.95
Kuzu Şişlik Et Kg,1281.9
Kuzu İncik Kg,1122.9
Dana Bonfile Kg,2299.9
Acılı Kebap Kg,879.9
Gurvita İlk Yağı 4x50 gr,199.95
Dana Arnavut Ciğer Pişmiş 150 g,189.95
Gurvita Tavuk Suyu Sade 4X50 ml,159.95
Gurvita İlikli Kemik Suyu Kuzu 4X50 ml,159.95
Kuzu Külbastı Kg,1313.9
Gurvita İlikli Kemik Suyu Sebzeli 320 ml,229.95
Gurvita Tavuk Suyu Sebzeli 320 ml,229.95
Kuzu But Kemikli Kg,1072.9
Kuzu Çöp Şiş Kg,1295.9
Ege Ciğercisi Dana Karaciğer 500 g,349.95
Ege Ciğercisi Dana İşkembe 500 g,149.95
Gurvita Premium Paça Çorbası 370 ml,379.95
Gurvita Premium Tavuk Etli Çorba 370 ml,299.95
Gurvita Tavuk Yağı 4x50 gr,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Prebiyotik Sebzeler 4x50 g,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Brokoli 4x50 gr,199.95
Gurvita Premium Kelle Paça Çorbası 370 ml,459.95
Gurvita Baby Kuzu İlikli  Kemik Sulu Tatlı Patates 4x50 g,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Havuç 4x50 gr,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Balkabağı 4x50 gr,199.95
Pişmiş Kelle Paça 200 g,249.9
Gurvita Baby Kuzu İlikli Kemik Sulu Havuç 4x50 gr,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Balkabağı 4x50 gr,199.95
Ege Ciğercisi Kuzu Paça 4 Adet,149.95
Beyın Salatası 150 g,199.9
Pişmiş Kuzu Kokoreç 200 g,319.95
Ege Ciğercisi Kuzu İşkembe 500 g,99.9
Ege Ciğercisi Dana Dil 750 g,489.9
Ege Ciğercisi Dana Böbrek 500 g,99.95
Ege Ciğercisi Dana Yürek 500 g,129.95
Ege Ciğercisi Dana Dalak 750 g,139.95
Gurvita Tavuk Suyu Sade 320 ml,229.95
Gurvita Kelle Paça Çorbası 660 ml,639.95
Ege Ciğercisi Dana Pöç 500 g,259.9
Dana Dil Söğüş 150 g,299.95
Pişmiş Kelle Paça 200 g,249.9
Etse Et Kaburga Etinden Kıyma Döner 250 g,199.9
Polonez Hindi Füme Eti 50 Gr,69.9
Carrefour Hindi Füme 50 G,25.0
Namet 7/24 Hindi Füme 60 G,31.9
Erşan Vakumlu Kangal Sucuk 200 Gr,284.9
Polonez Hindi Jambon 50 Gr,56.9
Polonez Dana Macar Salam 50 Gr,99.9
Polonez Piliç Füme 50 Gr,46.9
Polonez Dana Jambon 50 Gr,111.5
Başyazıcı Dana Kangal Sucuk 200 Gr,280.0
Banvit Jumbo Sosis 4'lü 330 G,85.9
Polonez Hindi Parça Etli Salam 50 Gr,48.5
Namet 7/24 Dana Macar Salam 60 G,47.75
Apikoğlu Parmak Fermente Sucuk 200 Gr,399.9
Polonez Hindi Füme Dilimli 150 G,109.9
Carrefour Dana Kavurma 150 G,220.0
Carrefour Isıl İşlem Görmüş Sucuk 200 Gr,182.5
Carrefour Dana Macar Salam 50 G,39.5
Erşan Hindi Füme Dilimli 100 g,79.9
Başyazıcı İnan Kavurma 100 g,189.9
Carrefour Hindi Salam 50 G,20.0
Pınar Aç Bitir Salam 75 Gr,46.9
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 G,42.5
Namet 7/24 Hindi Salam 60 G,25.9
Apikoğlu Kavurma 100 Gr,249.9
Başyazıcı İnan Seçme Pastırma 80 g,199.9
Carrefour Çemeni Sıyrılmış Dana Pastırma 120 G,315.0
Başyazıcı Dana Kasap Sucuk 400 g,399.9
Polonez Hindi Füme 2x110 G,159.9
Apikoğlu Dana Pastırma (Parça) 80 g,269.9
Banvit Piliç Baton Salam 850 g,104.9
Polonez Kangal Sucuk 180 G,229.9
Pınar Dana Sosis 10'lu 430 g,429.9
Beşler Piliç Kokteyl Sosis 400 gr,141.9
Pınar Aç-Bitir Kokteyl Sosis 180 G,79.9
Namet Piliç Füme 7/24 50 G,39.9
Banvit Kokteyl Sosis Kg,189.9
Polonez Dana Fıstıklı Salam 90 Gr,149.9
Namet Hindi Füme Paket 200 Gr,129.9
Namet Dana Jambon 60 g,81.9
Erşan Dilimli Secme Pastırma 120 G,299.9
Banvit Piliç Kokteyl Sosis 500 g,128.9
Coşkun Yarım Ay Kangal Sucuk 300 g,389.9
Pınar Uzun Hindi Sosis 430 G,209.9
Pınar Füme Hindi Gurme 150 g,126.9
Erşan Dana Bacon 100 g,278.5
Maret Pratik Hindi Füme 60 G,70.9
Sultan Dilimli Hindi Salam 50 Gr,36.5
Namet Fermente Kangal Sucuk Kg,1399.9
Erşan Fermente Kangal Sucuk kg,999.9
Namet Kangal Sucuk 200 Gr,382.9
Sultan Aç Pişir Dilimli Dana Sucuk 60 g,112.9
Banvit Piliç Macar Salam 250 G,53.9
Polonez Çemeni Sıyrılmış Pastırma 75 Gr,320.0
Pınar Aç Bitir Macar Salam 60 G,81.9
Maret Pratik Macar Salam 50 G,69.9
Pınar Dana Sucuk Aç Bitir 75 g,109.9
Aytaç Kasap Isıl İşlem Görmiş Piliç Sucuk 300 Gr,258.9
Apikoğlu Dana Kangal Sucuk Kg,2149.9
Polonez Isıl İşlem Görmüş Kangal Sucuk Kg,899.9
Maret 5'li Sosis 240 G,309.9
Pınar Klasik Sucuk 225 Gr,382.9
Banvit Piliç Baton Sucuk 450 G,163.9
Pınar Dana Kokteyl Sosis 215 Gr,327.9
Pınar Aç Bitir Dana Macar Salam Büyük Dilim 50 g,67.9
Polonez  Zeytinyağlı&Kekikli Hindi Füme 150 Gr,131.5
Polonez Tütsülenmiş Piliç Jumbo Sosis  320 Gr,188.5
Pınar Aç Bitir Hindi Fıstıklı Salam 50 g,44.5
Erşan Dana Antrikot Füme 100 g,335.5
Erşan Dana Kavurma 90 g,205.5
Namet Hindi Kokteyl Sosis 7/24 140 G,79.9
Maret Hindi Sosis 140 G,73.9
Maret Hindi Füme 110 G,174.9
Maret Kangal Sucuk 250 G,389.9
Namet Piliç Füme 150 G,109.9
Sultan Dilimli Piliç Salam 50 Gr,29.5
Namet Dana Kavurma Kare Kg,1499.9
Namet Fıstıklı Macar Salam Kg,1439.9
Erşan Fermente Kangal Sucuk Acılı Kg,999.9
Polonez Kasap Sucuk Kg,1749.9
Namet Lüx Antrikot Pastırma Kg,2499.9
Polonez Macar Fıstıklı Salam Kg,1599.9
Namet Fermente Acılı Kangal Sucuk Kg,1399.9
Namet Hindi Füme Jambon Kg,679.9
Polonez Fıstıklı Hindi Salam,699.0
Polonez Dana Etli Fıstıklı Macar Salam,1690.0
Polonez Macar Salam Kg,1599.9
Beşler Kokteyl Piliç Sosis 220 gr,82.9
Apikoğlu Dilimli Çemensiz Pastırma 90 G,530.9
Namet Dil Füme Kg,3329.9
Fümeci Sosis Dana Frankfurter Kg,2449.9
Fümeci Hindi But Füme Sade Kg,2079.9
Fümeci Atıştırmalık Et Çubukları Kg,4129.9
Fümeci Kuzu Cotto Kg,4999.9
Fümeci Kontrafile Füme Kg,4549.9
Namet Dana Karabiberli-Fıstıklı Salam Kg,1439.9
Polonez Hindi Füme Göğüs Eti Kg,1479.9
Polonez Hindi Füme But Eti,1250.0
Namet Hindi Göğüs Füme Kg,1129.9
Polonez Biberli Füme Hindi But Eti Kg,1250.0
Polonez Tavuk Jambon,599.0
