id,sku,name,brand,category,sub_category,family,regular_price,shown_price,discount_rate,unit,status,image_url,product_url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
QE55S90FAEXTK,QE55S90FAEXTK,"55"" OLED S90F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S90F 4K Samsung Vision AI Smart TV (2025),98799.0,98799.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe55s90faextk/gallery/tr-oled-s90f-qe55s90faextk-thumb-551951391,https://www.samsung.com/tr/tvs/oled-tv/s90f-55-inch-oled-4k-smart-tv-qe55s90faextk/,09,0.0,0.0,,
QE65S90FATXTK,QE65S90FATXTK,"65"" OLED S90F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S90F 4K Samsung Vision AI Smart TV (2025),123499.0,123499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe65s90fatxtk/gallery/tr-oled-s90f-qe65s90fatxtk-thumb-551951400,https://www.samsung.com/tr/tvs/oled-tv/s90f-65-inch-oled-4k-smart-tv-qe65s90fatxtk/,09,0.0,0.0,,
QE77S90FAEXTK,QE77S90FAEXTK,"77"" OLED S90F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S90F 4K Samsung Vision AI Smart TV (2025),182999.0,182999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe77s90faextk/gallery/tr-oled-s90f-qe77s90faextk-thumb-551951403,https://www.samsung.com/tr/tvs/oled-tv/s90f-77-inch-oled-4k-smart-tv-qe77s90faextk/,09,0.0,0.0,,
QE83S90FAEXTK,QE83S90FAEXTK,"83"" OLED S90F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S90F 4K Samsung Vision AI Smart TV (2025),246999.0,246999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe83s90faextk/gallery/tr-oled-s90f-qe83s90faextk-thumb-551951405,https://www.samsung.com/tr/tvs/oled-tv/s90f-83-inch-oled-4k-smart-tv-qe83s90faextk/,09,0.0,0.0,,
QE65LS03FWUXTK,QE65LS03FWUXTK,"65"" The Frame Pro LS03FW 4K QLED Sanat Modu Vision AI Smart TV (2025)",Samsung,TVs,The Frame,The Frame Pro 4K Samsung Vision AI Smart TV (2025),94999.0,94999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe65ls03fwuxtk/gallery/tr-the-frame-ls03fw-qe65ls03fwuxtk-thumb-546479664,https://www.samsung.com/tr/lifestyle-tvs/the-frame/ls03fw-65-inch-black-qe65ls03fwuxtk/,09,0.0,,,
QE75LS03FWUXTK,QE75LS03FWUXTK,"75"" The Frame Pro LS03FW 4K QLED Sanat Modu Vision AI Smart TV (2025)",Samsung,TVs,The Frame,The Frame Pro 4K Samsung Vision AI Smart TV (2025),117999.0,117999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe75ls03fwuxtk/gallery/tr-the-frame-ls03fw-qe75ls03fwuxtk-thumb-546479790,https://www.samsung.com/tr/lifestyle-tvs/the-frame/ls03fw-75-inch-black-qe75ls03fwuxtk/,09,0.0,0.0,,
QE55Q7F5AUXTK,QE55Q7F5AUXTK,"55"" QLED Q7F5 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,QLED Q7F 4K Samsung Vision AI Smart TV (2025),44499.0,44499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe55q7f5auxtk/gallery/tr-qled-q7-qe55q7f5auxtk-thumb-551923831,https://www.samsung.com/tr/tvs/qled-tv/q7f-55-inch-qled-4k-smart-tv-qe55q7f5auxtk/,09,0.0,0.0,,
QE65Q7F5AUXTK,QE65Q7F5AUXTK,"65"" QLED Q7F5 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,QLED Q7F 4K Samsung Vision AI Smart TV (2025),55999.0,55999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe65q7f5auxtk/gallery/tr-qled-q7-qe65q7f5auxtk-thumb-551923840,https://www.samsung.com/tr/tvs/qled-tv/q7f-65-inch-qled-4k-smart-tv-qe65q7f5auxtk/,09,0.0,0.0,,
QE75Q7F5AUXTK,QE75Q7F5AUXTK,"75"" QLED Q7F5 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,QLED Q7F 4K Samsung Vision AI Smart TV (2025),69799.0,69799.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe75q7f5auxtk/gallery/tr-qled-q7-qe75q7f5auxtk-thumb-551923648,https://www.samsung.com/tr/tvs/qled-tv/q7f-75-inch-qled-4k-smart-tv-qe75q7f5auxtk/,09,0.0,0.0,,
QE55S85FAUXTK,QE55S85FAUXTK,"55"" OLED S85F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S85F 4K Samsung Vision AI Smart TV (2025),81299.0,81299.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe55s85fauxtk/gallery/tr-oled-s85f-qe55s85fauxtk-thumb-551951362,https://www.samsung.com/tr/tvs/oled-tv/s85f-55-inch-oled-4k-smart-tv-qe55s85fauxtk/,09,0.0,,,
