ProductName,Total_Period_Change_%,2026-03_Change_%,2026-04_Change_%
%100 1 L NAREN PORTAKAL SIKMA SUYU,0.0,4.440892098500626e-14,-2.220446049250313e-14
%100 1 LITRE PORTAKAL SUYU TAMEK,0.0,-7.240413406742041,7.8055688610284335
%100 1/1 CAM MEYSU NAR,0.0,0.0,0.0
%100 100ML ARM&HAMMER BEYAZLIK DIŞ KÖMÜR MACUNU,0.0,0.0,0.0
%100 160ML BIBIGO SUSAM YAĞI,0.0,0.0,2.220446049250313e-14
%100 180ML DIMES ELMA NEKTARI PAKET TETRA,0.0,0.0,0.0
%100 1L ANTIOKSIDAN CAM KARIŞIK MEYSU MEYVE SUYU ŞIŞE,0.0,0.0,0.0
%100 1L CAM KARIŞIK MEYSU MEYVE MULTIMIX SUYU ŞIŞE,0.0,0.0,0.0
%100 1L CAM MEYSU SUYU ÜZÜM ŞIŞE,0.0,0.0,0.0
%100 1L CAPPY ELMA MEYVE SUYU ŞEFTALI,0.0,0.0,0.0
%100 1L CAPPY KARIŞIK MEYVE SUYU,0.0,0.0,0.0
%100 1L CITY DOMATES FARM ORGANIK SUYU,-0.0,-1.1102230246251565e-14,0.0
%100 1L DIMES ELMA,0.0,0.0,0.0
%100 1L DIMES ELMA SUYU,-0.0,-1.1102230246251565e-14,0.0
%100 1L DIMES ELMA VIŞNE,0.0,0.0,0.0
%100 1L DIMES ELMA&VIŞNE MEYVE SUYU,0.0,0.0,0.0
%100 1L DIMES KARIŞIK MEYVE SUYU,-5.5,-3.9771902192732522,-1.5849934564490464
%100 1L DIMES KIRMIZI MEYVELER,0.0,0.0,0.0
%100 1L DIMES KIRMIZI MEYVELER SUYU,-0.0,-1.1102230246251565e-14,0.0
%100 1L DIMES PORTAKAL SUYU,-0.7,-0.4413291796469543,-0.26075619295956587
%100 1L MEYSU PORTAKAL SUYU,0.0,0.0,0.0
%100 1LT CAPPY ELMA ŞEFTALI,0.0,0.0,0.0
%100 1LT CAPPY ELMALI KARIŞIK,0.0,0.0,0.0
%100 1LT CAPPY GOLD PORTAKAL YAŞAM,0.0,0.0,0.0
%100 1LT DIMES ELMA SUYU,0.0,0.0,0.0
%100 1LT DIMES ELMA SUYU ŞEFTALI,-0.0,-1.1102230246251565e-14,0.0
%100 1LT DIMES KARIŞIK MEYVE SUYU,0.0,0.0,0.0
%100 1LT DIMES KIRMIZI MEYVEDEN,0.0,0.0,0.0
%100 1LT ELMA MEYVE SUYU TAMEK,-0.0,-1.1102230246251565e-14,0.0
%100 1LT KARIŞIK MEYVE SUYU TAMEK,-0.0,-1.1102230246251565e-14,0.0
%100 1LT MEYVE PORTAKAL SUYU TAMEK,0.0,0.0,0.0
%100 200G BALTALI BÜŞ KEÇI SÜTÜNDEN,0.0,0.0,0.0
%100 200G BALTALI KEÇI LABNEH SÜTÜNDEN,0.0,0.0,0.0
%100 200ML DIMES ELMA,6.21,0.0,6.205128205128196
%100 200ML ELMA MEYVE SUYU TAMEK,0.0,0.0,0.0
%100 200ML ELMA SUYU TAMEK,4.97,3.736453201970469,1.1899086975659001
%100 250G ARABICA KAHVE KIMBO ÇEKIRDEK,0.0,0.0,0.0
%100 250GR ECE EKSISI NAR,0.0,0.0,0.0
%100 250ML BALTALI KEFIR KEÇI,0.0,0.0,0.0
