Price,Location,Rooms
45.000 TL,Alanya,2+1
36.500 TL,Alanya,2+1
50.000 TL,Manavgat,2+1
30.000 TL,Aksu,1+1
50.000 TL,Konyaaltı/Arapsuyu,1+1
15.000 TL,Alanya,1+1
52.500 TL,Alanya,2+1
65.000 TL,Aksu/Köyler,2+1
35.000 TL,Alanya,2+1
35.000 TL,Konyaaltı/Arapsuyu,2+1
30.000 TL,Serik,1+1
23.000 TL,Alanya,2+1
36.500 TL,KonyaaltıArapsuyu,2+1
45.000 TL,Konyaaltı/Merkez,2+1
40.000 TL,Manavgat,2+1
30.000 TL,Alanya,1+1
25.000 TL,Alanya/Beldeler,Stüdyo (1+0)
28.000 TL,Alanya,1+1
40.000 TL,Alanya/Beldeler,3+1
80.000 TL,Alanya/Beldeler,3+1
10.000 TL,Konyaaltı/Arapsuyu,Stüdyo (1+0)
21.500 TL,Alanya,1+1
59.000 TL,Alanya/Beldeler,2+1
40.000 TL,Muratpaşa/Lara,1+1
38.000 TL,Aksu/Köyler,1+1
64.000 TL,Alanya/Beldeler,2+1
45.000 TL,Aksu,2+1
20.000 TL,Aksu,1+1
20.000 TL,Alanya/Beldeler,1+1
50.000 TL,Alanya,1+1
20.000 TL,Alanya,1+1
35.000 TL,Alanya,1+1
12.000 TL,Kepez/Ahatlı,Stüdyo (1+0)
65.000 TL,Aksu,2+1
29.000 TL,Alanya,2+1
20.000 TL,Alanya,1+1
33.500 TL,Alanya,2+1
28.500 TL,Alanya,1+1
27.000 TL,Aksu,1+1
19.750 TL,Serik,1+1
15.000 TL,Gazipaşa,1+1
20.000 TL,Aksu,1+1
35.000 TL,Kepez/Duraliler,1+1
28.000 TL,Konyaaltı/Merkez,1+1
50.000 TL,Alanya,1+1
50.000 TL,Alanya,1+1
40.000 TL,Alanya,2+1
25.000 TL,Alanya,1+1
8.000 TL,Muratpaşa/Meltem,Stüdyo (1+0)
37.000 TL,Alanya,2+1
40.000 TL,Konyaaltı/Arapsuyu,3+1
48.000 TL,Konyaaltı/Merkez,3+1
40.000 TL,Kepez/Merkez,1+1
25.000 TL,Konyaaltı/Merkez,1+1
30.000 TL,Alanya,1+1
38.000 TL,Alanya/Beldeler,2+1
31.000 TL,Alanya/Beldeler,1+1
15.000 TL,Alanya,1+1
60.000 TL,Alanya/Beldeler,3+1
25.000 TL,Gazipaşa,1+1
19.000 TL,Alanya,2+1
25.000 TL,Alanya,1+1
16.000 TL,Alanya,1+1
24.000 TL,Alanya,2+1
28.500 TL,Konyaaltı/Arapsuyu,1+1
30.000 TL,Konyaaltı/Merkez,1+1
30.000 TL,Alanya,2+1
36.500 TL,Manavgat/Ilıca,4+1
9.500 TL,Muratpaşa/Meltem,Stüdyo (1+0)
100.000 TL,Konyaaltı/Arapsuyu,3+1
50.000 TL,KonyaaltıArapsuyu,1+1
40.000 TL,Konyaaltı/Arapsuyu,2+1
27.000 TL,Konyaaltı/Arapsuyu,2+1
50.000 TL,Alanya,2+1
18.000 TL,Kepez/Sütçüler,1+1
37.500 TL,Alanya,2+1
45.000 TL,Alanya,2+1
16.000 TL,Alanya,1+1
25.000 TL,Finike/Beldeler,2+1
22.000 TL,Finike/Beldeler,2+1
18.000 TL,Alanya,1+1
32.000 TL,Alanya,1+1
17.000 TL,Aksu,1+1
12.000 TL,Alanya,1+1
30.000 TL,Konyaaltı/Merkez,1+1
17.000 TL,Aksu,1+1
25.000 TL,Muratpaşa/Yenigün,2+1
30.000 TL,Alanya/Demirtaş,3+1
25.000 TL,Konyaaltı/Merkez,1+1
25.000 TL,Aksu,2+1
20.000 TL,Aksu,1+1
33.000 TL,Aksu,2+1
36.000 TL,Aksu,1+1
33.000 TL,Kepez/Düdenbaşı,1+1
31.750 TL,Finike/Beldeler,2+1
45.000 TL,Alanya/Beldeler,2+1
80.000 TL,Konyaaltı/Arapsuyu,3+1
44.000 TL,Alanya/Beldeler,3+1
30.000 TL,Alanya,1+1
12.000 TL,Muratpaşa/Bahçelievler,Stüdyo (1+0)
17.000 TL,Alanya,1+1
60.000 TL,Alanya,1+1
20.000 TL,Döşemealtı/Merkez,3+1
45.000 TL,Manavgat/Çolaklı,2.5+1
16.000 TL,Alanya,2+1
33.000 TL,Kemer/Köyler,1+1
17.000 TL,Konyaaltı/Arapsuyu,3+1
32.000 TL,Konyaaltı/Köyler,3+1
17.000 TL,Aksu,3+1
20.000 TL,Kepez/Duraliler,2+1
340.000 TL,Kemer,1+1
25.000 TL,Manavgat/Taşağıl,2+1
65.000 TL,Kaş/Kalkan,1+1
1.800 TL,Demre/Kale(Demre),2+0
40.000 TL,Muratpaşa/Lara,3+1
14.000 TL,Kumluca/Köyler,1+1
5.000 TL,Demre/Kale(Demre),2+1
47.000 TL,Muratpaşa/Fener,2+1
15.000 TL,Döşemealtı/Yeniköy,2+1
3.500 TL,Demre/Kale(Demre),1+1
27.000 TL,Kemer,1+1
30.000 TL,Manavgat/Köyler,3+1
60.000 TL,Muratpaşa/Lara,3+1
35.000 TL,Kumluca/Köyler,1+1
34.000 TL,Kaş/Köyler,3+2
30.000 TL,Aksu,1+1
8.000 TL,Alanya/Köyler,2+1
20.000 TL,Muratpaşa/Lara,3+1
25.000 TL,Kumluca/Beldeler,1+1
15.000 TL,Aksu/Pınarlı,2+1
14.000 TL,Kepez/Erenköy,2+1
45.000 TL,Konyaaltı/Arapsuyu,3+1
28.000 TL,Manavgat/Çolaklı,2+1
15.000 TL,Serik/Köyler,2+1
25.000 TL,Kumluca/Köyler,2+1
26.000 TL,Demre/Kale(Demre),5+1
2.500 TL,Kaş/Köyler,1+1
30.000 TL,Kaş,Stüdyo (1+0)
28.000 TL,Kemer/Köyler,2+1
14.000 TL,Kepez/Erenköy,2+1
45.000 TL,Kemer/Köyler,2.5+1
3.000 TL,Kumluca/Köyler,1+1
55.000 TL,Kumluca/Mavikent,4+2
25.000 TL,Kumluca/Köyler,1+1
32.000 TL,Kumluca/Köyler,2+1
15.000 TL,Manavgat,1+1
40.000 TL,Kumluca/Köyler,1+1
17.000 TL,Döşemealtı/Merkez,2+1
16.000 TL,DöşemealtıMerkez,2+1
60.000 TL,Döşemealtı/Merkez,5+2
35.000 TL,Kemer,1+1
31.000 TL,Döşemealtı/Merkez,2+1
18.000 TL,Manavgat/Köyler,3+1
30.000 TL,Serik/Belek,3+1
16.000 TL,Muratpaşa/Güzeloluk,2+1
3.500 TL,Demre/Köyler,2+1
15.000 TL,Konyaaltı/Köyler,3+1
35.000 TL,Kemer/Köyler,2+1
40.000 TL,Kemer/Köyler,3+0
42.000 TL,Konyaaltı/Arapsuyu,2+1
16.000 TL,Konyaaltı/Köyler,1+1
60.000 TL,Kumluca/Köyler,2+1
45.000 TL,Kumluca/Beldeler,3+1
55.000 TL,Aksu,4+1
23.000 TL,Konyaaltı/Köyler,3+1
11.000 TL,Döşemealtı/Merkez,2+1
290.000 TL,Kemer,1+1
8.000 TL,Aksu,Stüdyo (1+0)
3.500 TL,Demre/Kale(Demre),2+1
45.000 TL,Kemer/Göynük,5+1
16.000 TL,Aksu/Köyler,2+1
10.000 TL,Finike,1+1
35.000 TL,Kemer,2+1
80.000 TL,Kaş/Köyler,1+1
15.000 TL,Kumluca/Köyler,1+1
27.000 TL,Kaş/Köyler,2+2
28.000 TL,KemerKöyler,2+1
30.000 TL,Döşemealtı/Yeniköy,3+1
28.000 TL,Kepez/Sütçüler,3+1
40.000 TL,Kumluca/Köyler,2+1
60.000 TL,Muratpaşa/Lara,5+2
50.000 TL,Kemer/Köyler,2+1
30.000 TL,Muratpaşa/Lara,3+1
14.000 TL,Kepez/Erenköy,1+1
16.000 TL,Aksu,2+1
14.500 TL,Kepez/Köyler,2+1
20.000 TL,Kepez/Sütçüler,3+1
20.500 TL,Kepez/Duraliler,2+1
70.000 TL,Muratpaşa/Gençlik,4+1
27.000 TL,Kepez/Köyler,2+1
32.000 TL,Kepez/Köyler,3+1
25.000 TL,Konyaaltı/Arapsuyu,2+0
14.000 TL,Konyaaltı/Arapsuyu,1+1
15.000 TL,Alanya,2+1
16.000 TL,Kepez/Erenköy,2+1
15.500 TL,Kepez/Erenköy,2+1
40.000 TL,Manavgat/Köyler,3+1
11.000 TL,Manavgat/Köyler,1+1
4.500 TL,Kaş/Kalkan,1+1
25.000 TL,Kaş/Köyler,1+1
150.000 TL,Muratpaşa/Gençlik,4+1
35.000 TL,Kaş/Kalkan,1+1
32.000 TL,Konyaaltı/Arapsuyu,3+1
22.000 TL,Kemer/Tekirova,1+1
17.000 TL,Kemer/Köyler,3+0
45.000 TL,Kemer/Tekirova,2+1
120.000 TL,KepezMerkez,2+1
49.000 TL,Kaş/Kalkan,2+1
13.000 TL,Kumluca/Mavikent,2+1
120.000 TL,Kemer,3+1
20.000 TL,Kaş/Köyler,3+1
18.000 TL,Döşemealtı/Yeniköy,1+1
27.500 TL,Kaş/Köyler,1+1
30.000 TL,Kepez/Duraliler,3+1
10.000 TL,Kepez/Erenköy,1+1
50.000 TL,Manavgat,5+1
15.000 TL,Kemer/Köyler,2+1
16.000 TL,Muratpaşa/Kızıltoprak,2+1
15.000 TL,Alanya,2+1
20.000 TL,Kemer,1+1
20.000 TL,Kepez/Yeniemek,2+1
10.000 TL,Döşemealtı/Merkez,1+1
25.000 TL,Serik,2+1
15.000 TL,Kepez/Merkez,2+1
33.000 TL,Kaş/Köyler,2+1
18.000 TL,Muratpaşa/Güzeloluk,2+1
65.000 TL,Alanya,3+1
42.500 TL,Serik,3+1
13.000 TL,Kaş/Köyler,3+1
45.000 TL,Muratpaşa/Lara,5+1
52.000 TL,Aksu/Köyler,3.5+1
85.000 TL,Serik/Belek,6+1
148.000 TL,Serik,3+1
45.000 TL,Kumluca/Mavikent,5+1
105.000 TL,Konyaaltı/Arapsuyu,3+2
85.000 TL,Serik,6+1
60.000 TL,Aksu/Köyler,4+1
100.000 TL,Serik/Belek,4+1
150.000 TL,Serik,3+1
100.000 TL,Kemer/Göynük,4+1
65.000 TL,Alanya,4+1
100.000 TL,Kepez/Köyler,4+1
11.000 TL,Kaş/Kalkan,2+1
65.000 TL,Aksu,4+1
10.000 TL,Kaş/Köyler,2+1
60.000 TL,Konyaaltı/Arapsuyu,3+1
7.000 TL,Kaş/Köyler,1+1
150.000 TL,Konyaaltı/Arapsuyu,7+1
70.000 TL,Döşemealtı/Merkez,3+1
85.000 TL,Kepez/Varsak,5+2
100.000 TL,Konyaaltı/Arapsuyu,5+1
50.000 TL,Manavgat,4+1
25.000 TL,Döşemealtı/Düzlerçamı,4+1
10.000 TL,Kemer,2+1
60.000 TL,Kepez/Varsak,5+2
8.500 TL,Kaş/Kalkan,2+1
10.000 TL,Kaş/Köyler,3+1
30.000 TL,Manavgat/Köyler,2+1
20.000 TL,Kaş/Kalkan,4+1
110.000 TL,Kemer,3+1
250.000 TL,Döşemealtı/Yeşilbayır,7+1
134.000 TL,Kaş/Kalkan,4+1
37.000 TL,Kaş/Köyler,1+1
190.000 TL,Kaş/Kalkan,2+1
6.500 TL,Kaş/Kalkan,3+1
40.000 TL,Manavgat,4+1
69.000 TL,Kumluca/Köyler,2+1
125.000 TL,Döşemealtı/Merkez,5+1
75.000 TL,Serik/Belek,4+1
100.000 TL,DöşemealtıMerkez,1+1
65.000 TL,Muratpaşa/Lara,3+1
70.000 TL,Serik,3+1
100.000 TL,Döşemealtı/Merkez,5+1
14.000 TL,Kaş/Kalkan,2+1
45.000 TL,Kaş/Kalkan,2+1
100.000 TL,Konyaaltı/Arapsuyu,6+1
150.000 TL,Konyaaltı/Köyler,3+1
80.000 TL,Döşemealtı/Merkez,3+1
40.000 TL,Serik,2+1
50.000 TL,Kepez/Köyler,3+2
50.000 TL,Serik,4+1
10.000 TL,Kaş/Köyler,2+1
90.000 TL,Döşemealtı/Yeşilbayır,4+1
175.000 TL,Manavgat,4+1
175.000 TL,Aksu/Köyler,3+1
60.000 TL,Serik,5+1
8.500 TL,Kaş/Kalkan,1+1
90.000 TL,Kemer,4+1
5.000 TL,Kaş/Kalkan,3+1
60.000 TL,Kemer,3+1
5.000 TL,Kaş/Kalkan,3+1
65.000 TL,Kemer/Tekirova,3+1
95.000 TL,Serik,4+1
62.000 TL,Kaş/Kalkan,3+1
70.000 TL,Serik,3+1
7.800 TL,Kaş/Kalkan,2+1
