Product Name,Product Cost,Rooms
Merkez / Başbağlar,12000.0,1+1
Merkez / Bahçelievler,13000.0,3+1
Merkez / Demirkent,13000.0,3+1
Merkez / Başbağlar,18500.0,2+1
Merkez,13000.0,2+1
Merkez / Başbağlar,15000.0,1+1
Merkez / Başbağlar,14500.0,2+1
Merkez / İnönü,15250.0,3+1
Merkez / Demirkent,15500.0,2+1
Merkez / Kavakyolu,12000.0,2+1
Merkez / Başbağlar,18000.0,1+1
Merkez / Bahçelievler,16500.0,3+1
Merkez / Çukurkuyu,10500.0,2+1
Merkez / Başbağlar,17500.0,3+1
Merkez / Başbağlar,17500.0,2+1
Merkez / İnönü,15500.0,2+0
Merkez / İnönü,14000.0,1+1
Merkez / Akşemsettin,17000.0,3+1
Merkez / Başbağlar,15000.0,3+1
Merkez / Başbağlar,17500.0,4+1
Merkez / Başbağlar,16000.0,1+1
Merkez / Başbağlar,18000.0,2+1
Merkez / Çarşı,17000.0,1+1
Merkez / İnönü,18000.0,2+0
Merkez / Kavakyolu,15000.0,2+1
Merkez / Ulalar,15000.0,2+0
Merkez / İnönü,15000.0,3+1
Merkez / Akşemsettin,13000.0,3+1
Merkez / Demirkent,18500.0,2+1
Merkez / İnönü,15000.0,1+1
Merkez / Ulalar,17500.0,3+1
Merkez / Çarşı,17500.0,1+1
Merkez / Başbağlar,18000.0,2+0
Merkez / Başbağlar,17000.0,1+1
Merkez / İnönü,15000.0,3+1
Merkez,15000.0,2+1
Merkez / İnönü,14000.0,1+1
Merkez / Halitpaşa,18000.0,2+0
Merkez / Çarşı,19000.0,2+1
Merkez / Yalnızbağ,15250.0,1+1
Merkez / Yalnızbağ,14500.0,1+1
Merkez / Çarşı,14500.0,1+1
Merkez / Başbağlar,17500.0,1+1
Merkez / İnönü,17500.0,1+1
Merkez / İnönü,17500.0,2+0
Merkez,11000.0,2+1
Merkez / Bahçelievler,13500.0,2+1
Merkez / Başbağlar,13500.0,3+1
Merkez / İzzetpaşa,17000.0,1+1
Merkez / Çarşı,18500.0,1+1
Merkez / Halitpaşa,18000.0,1+1
Merkez / Yalnızbağ,15500.0,4+1
Merkez / Başbağlar,17750.0,1+1
Merkez / Başbağlar,12000.0,3+1
Merkez / Bahçelievler,15000.0,3+1
Merkez / İnönü,16250.0,2+0
Merkez / Çarşı,15000.0,2+0
Merkez / İnönü,14000.0,1+1
Merkez / Akşemsettin,15500.0,2+1
Merkez / Yalnızbağ,18000.0,3+1
Merkez,18000.0,2+1
Merkez,13000.0,3+1
Merkez / Yalnızbağ,13000.0,2+1
Merkez / Yalnızbağ,12900.0,2+1
Merkez / İnönü,12000.0,2+1
Merkez / Yalnızbağ,19500.0,1+1
Üzümlü,10000.0,3+1
Merkez / Başbağlar,14500.0,1+1
Merkez / Yalnızbağ,16000.0,3+1
Merkez / İnönü,13500.0,3+1
Merkez / İnönü,15500.0,1+1
Merkez / Çarşı,15500.0,1+1
Merkez / Akşemsettin,12000.0,2+1
Merkez / Başbağlar,10000.0,1+1
Merkez / Kavakyolu,16000.0,3+1
Merkez / Bahçelievler,18000.0,3+1
Merkez / Başbağlar,13500.0,4+1
Merkez / Çarşı,15750.0,2+0
Merkez / Bahçelievler,11000.0,1+1
Merkez / İnönü,15500.0,2+1
Merkez / İnönü,19000.0,2+1
Merkez / Ulalar,15000.0,3+1
Merkez / Yalnızbağ,15250.0,3+1
Merkez / Bahçelievler,16000.0,3+1
Merkez / İnönü,15000.0,1+1
Merkez / Bahçelievler,14000.0,3+1
Merkez / Ulalar,16000.0,3+1
Merkez / Çarşı,17500.0,1+1
Merkez / Halitpaşa,12500.0,2+1
Merkez / İnönü,16000.0,2+0
Merkez,15000.0,2+1
Merkez / Yalnızbağ,17500.0,1+1
Merkez / Başbağlar,15000.0,2+0
Merkez / İnönü,15000.0,2+1
Merkez / Kavakyolu,14500.0,2+1
Merkez / Başbağlar,17000.0,2+1
Merkez / Başbağlar,17500.0,1+1
Merkez / Başbağlar,12000.0,3+1
Merkez / Çarşı,14000.0,1+1
Merkez / Başbağlar,18000.0,2+1
Merkez / Yalnızbağ,12250.0,2+1
Merkez / Bahçelievler,15500.0,3+1
