item_name,price,category,date
B D Ld12ska-tr 12v Vidalama+30 Prç Aks,1999.0,Akülü Vidalamalar,2026.05.21
Sds-plus 11&#039;li Alüminyum Çantalı Uç Ve Keski Seti - 2608578765,1350.0,Akülü Vidalamalar,2026.05.21
10 Adet Vidalama Ucu ve 20 cm Uzatma Adaptörü,359.9,Akülü Vidalamalar,2026.05.21
Promo Blister Akülü Vidalama + 24 Parça Aksesuar,599.9,Akülü Vidalamalar,2026.05.21
"Te-cd 18/44 Li-i Darbeli Vidalama 1x2,5a",3999.0,Akülü Vidalamalar,2026.05.21
Bits Uç Seti Üçlü 89 mm,359.9,Akülü Vidalamalar,2026.05.21
"Tp-Cd 18/60 Li Bl - Solo, Akülü Vidalama",3999.0,Akülü Vidalamalar,2026.05.21
Pz Vidalama Ucu Üçlü 89 mm,359.9,Akülü Vidalamalar,2026.05.21
Dt7969-qz 32 Parça Vid Uç Seti,949.9,Akülü Vidalamalar,2026.05.21
Bits Uç Takımı 7 Parça,519.9,Akülü Vidalamalar,2026.05.21
DCD710D2 10.8 Li-Ion Çift Akülü Vidalama,8499.0,Akülü Vidalamalar,2026.05.21
Mini X-Line 25 Parçalı Vidalama Seti,419.9,Akülü Vidalamalar,2026.05.21
LD12SP Akülü Vidalama,2799.0,Akülü Vidalamalar,2026.05.21
10 Adet Vidalama Ucu ve 30 cm Uzatma Adaptörü,379.9,Akülü Vidalamalar,2026.05.21
Dcd771S2 Vidalama Matkabı Şarjlı 18 Volt 1.5 Ah,7320.0,Akülü Vidalamalar,2026.05.21
Fatmax Sbd715b 18v 4.0 Ah Çift Akülü Darbeli Vidalama,7460.0,Akülü Vidalamalar,2026.05.21
10mm Çelik Mandren Vidalama Mkd5p,1663.0,Akülü Vidalamalar,2026.05.21
Rtl8060 21v 3.0ah Profesyonel Şarjlı Darbeli Vidalama Makinesi,4900.0,Akülü Vidalamalar,2026.05.21
Gsb 120-li 2 Ah Çift Akülü Darbeli Delme Vidalam Matkap Ve 23 Parça Uç Seti 06019g8102,6799.0,Akülü Vidalamalar,2026.05.21
Impact Control Serisi Vidalama Ucu 8&#039;li PH2 *50mm,453.7,Akülü Vidalamalar,2026.05.21
Hızlı Uç Değiştirme Mandrenli Üniversal Tutucu *60mm 1/4&#034; Altıgen Şaft,484.77,Akülü Vidalamalar,2026.05.21
Akülü Vidalama GSR 180-LI,8665.0,Akülü Vidalamalar,2026.05.21
Impact Control Serisi Vidalama Ucu 8&#039;li PH2x2/PZ2x2/T20/T30 *50mm + Standart Tutucu *60mm,445.0,Akülü Vidalamalar,2026.05.21
Gsr 185-li Darbesiz Vidalama 2 Akü,9292.0,Akülü Vidalamalar,2026.05.21
Uneo Maxx Çift Akülü Vidalama,11064.0,Akülü Vidalamalar,2026.05.21
Pozidriv Bits Uç PZ2,139.9,Akülü Vidalamalar,2026.05.21
Vidalama Ucu 50 mm PH/PZ/SL,107.9,Akülü Vidalamalar,2026.05.21
Profesyonel 32 Parça  Vidalama Uç Seti - 2607017319,625.99,Akülü Vidalamalar,2026.05.21
Impact Control Serisi Çift Taraflı Vidalama Ucu 8&#039;li PH2x4 /PZ2x4 *110mm,733.37,Akülü Vidalamalar,2026.05.21
Cheli̇kbei̇ Onlu Set (led Işık + Kırıcı Delici Matkap+avuç Taşlama+somun Sıkma+vidalama+sunta Kesme+dekupaj+lazer Metre+oto Yıkama+çok Fonksiyonlu Avuç Taşlama),17768.0,Akülü Vidalamalar,2026.05.21
Extra Hard Vidalama Ucu Seti 44+1 Parça - 2607017732,1269.99,Akülü Vidalamalar,2026.05.21
Impact Control Serisi Vidalama Ucu 8&#039;li PH1/PH2 x3/PH3/PZ2 x2/PZ3 *25mm,472.34,Akülü Vidalamalar,2026.05.21
Manyetik Tutucu Universal 60 mm,388.9,Akülü Vidalamalar,2026.05.21
13mm Mke Vidalama,1621.0,Akülü Vidalamalar,2026.05.21
Impact Control Serisi Vidalama Ucu 8&#039;li PZ2 *25mm,589.0,Akülü Vidalamalar,2026.05.21
Dt71563-qz 100 Parça Uç Seti,2480.0,Akülü Vidalamalar,2026.05.21
Vidalama Seti 32 Parça,723.0,Akülü Vidalamalar,2026.05.21
Pozidriv Bits Uç PZ1,139.9,Akülü Vidalamalar,2026.05.21
Impact Control Serisi Vidalama Ucu 8&#039;li T15/T20x2/T25x2/T30x2/T40 *25mm,589.0,Akülü Vidalamalar,2026.05.21
Bits Uç PH2,99.99,Akülü Vidalamalar,2026.05.21
Hex Allen Bits Uç Seti Sekizli 50 mm,119.9,Akülü Vidalamalar,2026.05.21
X-line 30 Parça Titanyum Karışık Aksesuar Seti 2607019324,982.49,Akülü Vidalamalar,2026.05.21
Impact Control Serisi Vidalama Ucu 8&#039;li PH2/PZ2/T15/T20/T25/T30 *50mm + Hızlı Uç Değiştirme Mandrenli Universal Tutucu,871.0,Akülü Vidalamalar,2026.05.21
"Go 3,6 Volt Akülü Vidalama Makinesi- 06019h2201",3245.64,Akülü Vidalamalar,2026.05.21
MS18-20 Akülü Multi Set 18 Volt / 2 Ah Li-ion Çift Akülü Vidalama Multi Set,9000.0,Akülü Vidalamalar,2026.05.21
Tp-cd 18/60 Li-i Bl Solo Akülü Darbeli Vidalama +2.5 Ah Starter Kit,5199.0,Akülü Vidalamalar,2026.05.21
Bits Ucu Seti 20 Parça 50 mm,159.9,Akülü Vidalamalar,2026.05.21
Bits Uç İkili PH2,139.9,Akülü Vidalamalar,2026.05.21
Vidalama Ucu Seti 43 Parça,1411.37,Akülü Vidalamalar,2026.05.21
Bits Ucu Seti 3 Parça PZ Uç Seti,44.99,Akülü Vidalamalar,2026.05.21
Karışık Bits Ucu Seti,159.9,Akülü Vidalamalar,2026.05.21
12v Çift Akü Şarjlı Matkap Akülü Vidalama,1149.9,Akülü Vidalamalar,2026.05.21
12v Çift Akülü Metal Şanzıman Şarjlı Matkap Akülü Vidalama,1399.9,Akülü Vidalamalar,2026.05.21
21v Çift Akülü Vidalama Darbeli Şarjlı Matkap,2249.9,Akülü Vidalamalar,2026.05.21
Eisenn Qaz-013 Grey Darbeli Metal Mandren Çift Akülü Bl Motor Vidalama Matkap + 84 Parça Komple Seti Hediyeli,3399.9,Akülü Vidalamalar,2026.05.21
