item_name,price
Merkez / Sürsürü - 4+1,30000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / Sürsürü - 1+1,17000.0
Merkez / Yurtbaşı - 3+1,15500.0
Merkez - 1+1,22000.0
Merkez / Sürsürü - 3+1,15500.0
Merkez / Sürsürü - 1+1,23500.0
Merkez / Sürsürü - 1+1,15000.0
Merkez - Stüdyo (1+0),10000.0
Merkez / Sürsürü - 1+1,23500.0
Merkez / İzzetpaşa - 3+1,24000.0
Merkez / Sürsürü - 4+1,55000.0
Merkez / 1800 Evler - 4+1,24000.0
Merkez / Sürsürü - 3+1,12000.0
Merkez / Doğukent - 3+1,19000.0
Merkez - 3+1,22000.0
Merkez / 1800 Evler - 3+1,15000.0
Merkez / 1800 Evler - 1+1,24000.0
Merkez / 1800 Evler - 2+1,12500.0
Merkez / Nailbey - 3+1,13500.0
Merkez - 2+1,15000.0
Merkez / İzzetpaşa - 3+1,16000.0
Merkez / 1800 Evler - 1+1,15000.0
Merkez / Sürsürü - 1+1,20500.0
Merkez / Sürsürü - 1+1,23250.0
Merkez / İzzetpaşa - 3+1,12750.0
Merkez - 2+1,8500.0
Merkez / Mustafapaşa - 2+1,11000.0
Merkez / 1800 Evler - 1+1,22500.0
Merkez / Köyler - 3+1,8500.0
Merkez - 3+1,13000.0
Merkez - 3+1,15000.0
Merkez - 3+1,12500.0
Merkez - 3+1,9000.0
Merkez / Sürsürü - 1+1,21500.0
Merkez / Sürsürü - 1+1,22500.0
Merkez / Sürsürü - 3+1,26500.0
Merkez / Yurtbaşı - 2+1,9000.0
Merkez / 1800 Evler - 1+1,12500.0
Merkez / Doğukent - 3+1,27000.0
Merkez / Sürsürü - 3+1,34000.0
Merkez - 2+1,10000.0
Merkez / Sürsürü - 3+1,17500.0
Merkez / Sürsürü - 4+1,23000.0
Merkez / Doğukent - Stüdyo (1+0),10400.0
Merkez / 1800 Evler - 3+1,16000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / Yurtbaşı - 3+1,25500.0
Merkez / Sürsürü - 4+1,35000.0
Merkez - 2+1,11000.0
Merkez - 2+1,15000.0
Merkez / İzzetpaşa - 1+1,19000.0
Merkez / Sürsürü - 4+1,28000.0
Merkez - 2+1,13000.0
Merkez / Sürsürü - 2+1,17000.0
Merkez / İzzetpaşa - 2+1,17000.0
Merkez / Sürsürü - 2+1,10000.0
Merkez - 3+1,8500.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 2+1,15000.0
