District,Rooms,Price
Merkez / Sürsürü,4+1,23.500 TL
Merkez / Sürsürü,2+1,9.000 TL
Merkez / Sürsürü,1+1,13.000 TL
Merkez / Mustafapaşa,3+1,13.500 TL
Merkez / İzzetpaşa,2+1,15.000 TL
Merkez / Sürsürü,1+1,22.500 TL
Merkez / İzzetpaşa,3+1,9.000 TL
Merkez / İzzetpaşa,1+1,18.000 TL
Merkez / Sürsürü,4+1,42.000 TL
Merkez / Nailbey,2+1,9.000 TL
Merkez / İzzetpaşa,4+1,18.500 TL
Merkez / Mustafapaşa,3+1,10.000 TL
Merkez / İzzetpaşa,3+1,14.000 TL
Merkez / Sürsürü,3+1,13.000 TL
Merkez / Sürsürü,2+1,14.000 TL
Merkez / İzzetpaşa,3+1,14.000 TL
Merkez / Sürsürü,3+1,9.000 TL
Merkez / Nailbey,4+1,16.000 TL
Kovancılar / Köyler,1+1,18.500 TL
Merkez / Sürsürü,2+0,18.000 TL
Merkez,3+1,21.750 TL
Merkez / İzzetpaşa,3+1,18.500 TL
Merkez,Stüdyo (1+0),13.500 TL
Merkez / Yurtbaşı,3+2,20.000 TL
Merkez / İzzetpaşa,3+1,8.000 TL
Merkez,3+1,11.000 TL
Merkez / Mustafapaşa,2+1,7.000 TL
Merkez / Mustafapaşa,3+1,18.750 TL
Merkez / İzzetpaşa,1+1,22.000 TL
Merkez / Mustafapaşa,3+1,9.000 TL
Merkez / İzzetpaşa,3+1,8.500 TL
Merkez / Sürsürü,3+1,16.000 TL
Merkez / Sürsürü,4+1,75.000 TL
Merkez / 1800 Evler,1+1,26.000 TL
Merkez / Mustafapaşa,3+1,10.000 TL
Merkez,3+1,10.500 TL
Merkez / Sürsürü,3+1,15.000 TL
Merkez,3+1,7.000 TL
Merkez / Doğukent,3+1,19.500 TL
Merkez,2+1,23.000 TL
Merkez / Nailbey,3+1,20.000 TL
Merkez,3+1,10.000 TL
Merkez / Köyler,3+1,13.000 TL
Sivrice,2+1,8.000 TL
Merkez,2+1,7.500 TL
Merkez,3+1,13.000 TL
Merkez / 1800 Evler,3+1,27.000 TL
Merkez / İzzetpaşa,3+1,16.000 TL
Merkez / Doğukent,3+1,20.000 TL
Merkez,3+1,12.500 TL
Merkez,3+1,8.500 TL
Merkez / İzzetpaşa,1+1,19.000 TL
Merkez / Sürsürü,1+1,8.500 TL
Merkez / İzzetpaşa,3+1,20.000 TL
Merkez / Doğukent,3+1,15.500 TL
Merkez,3+1,10.500 TL
Merkez / Yurtbaşı,3+1,14.000 TL
Merkez / Sürsürü,2+1,11.500 TL
Merkez / İzzetpaşa,3+1,17.500 TL
Merkez / Mustafapaşa,4.5+1,12.500 TL
Merkez / Sürsürü,2+0,21.000 TL
Merkez / 1800 Evler,3+1,15.000 TL
Merkez,3+1,15.000 TL
Merkez / İzzetpaşa,4+1,18.000 TL
Merkez,3+1,10.500 TL
Merkez / 1800 Evler,2+1,25.000 TL
Merkez,2+1,12.750 TL
Merkez / Nailbey,2+1,15.500 TL
Merkez / Doğukent,3+1,19.000 TL
Merkez / Sürsürü,1+1,21.000 TL
Merkez / Sürsürü,3+1,25.000 TL
Merkez / 1800 Evler,1+1,11.000 TL
Merkez / Mustafapaşa,2+1,12.000 TL
Merkez / 1800 Evler,3+1,17.500 TL
Merkez / Sürsürü,1+1,15.000 TL
Merkez,3+1,11.500 TL
Merkez,1+1,23.000 TL
Merkez / Sürsürü,3+1,17.500 TL
Merkez / İzzetpaşa,2+1,14.500 TL
Merkez,3+1,12.000 TL
Merkez / Yurtbaşı,3+1,16.000 TL
Merkez / Sürsürü,1+1,13.500 TL
Merkez / İzzetpaşa,1+1,21.000 TL
Merkez / 1800 Evler,4+2,25.000 TL
Merkez,3+1,13.000 TL
Merkez / Nailbey,3+1,20.500 TL
Merkez / 1800 Evler,1+1,25.000 TL
Merkez / 1800 Evler,3+1,15.500 TL
Merkez / Sürsürü,4+1,41.500 TL
Merkez / 1800 Evler,3+1,12.000 TL
Merkez / Sürsürü,3+1,13.000 TL
Merkez / Yurtbaşı,3+1,20.000 TL
Merkez / Yurtbaşı,1+1,16.000 TL
Merkez / 1800 Evler,4+1,30.000 TL
Merkez,2+1,8.000 TL
Merkez,3+1,7.500 TL
Merkez / 1800 Evler,4+1,20.000 TL
Merkez,3+1,11.000 TL
Merkez / Sürsürü,1+1,8.000 TL
Merkez / Sürsürü,3+1,20.500 TL
Merkez / Sürsürü,3+1,13.500 TL
Merkez / İzzetpaşa,Stüdyo (1+0),12.000 TL
Merkez / İzzetpaşa,3+1,21.000 TL
Merkez / Doğukent,3+1,8.000 TL
Merkez / İzzetpaşa,2+0,15.500 TL
Merkez / İzzetpaşa,3+1,9.000 TL
Merkez / İzzetpaşa,1+1,5.000 TL
Merkez / Sürsürü,1+1,24.000 TL
Merkez / Sürsürü,1+1,22.000 TL
Merkez / İzzetpaşa,3+1,9.000 TL
Merkez / Sürsürü,1+1,15.750 TL
