Tarih,UrunID,UrunAdi,FiyatFloat
2026-09-05,1793049,Series 7 BG7550 Vücut Tıraş Makinesi,4499.0
2026-09-05,1818327,WQB245AXTR Serie 8 Gümüş Kendini Temizleyen Kondenser Isı Pompalı Kurutma Makinesi 9 kg,55999.0
2026-09-05,1999723,Porsche FAB28 Carrara White Special Edition Buzdolabı,218500.0
2026-09-05,1938830,Classica Solo Şarap Dolabı 368 Lt,208640.0
2026-09-05,1887988,Ace Siyah Kablosuz Kulak Üstü Bluetooth Kulaklık,34999.0
2026-09-05,1865278,iPhone 17 Pro 256GB Gümüş Akıllı Cep Telefonu MG8G4TU/A,112370.1
2026-09-05,1740294,Purifier Big+Quiet Formaldehyde (Prusya Mavisi/Altın),49999.0
2026-09-05,1947412,Bellaria Vetro Air Purifier Giallo Hava Temizleme Cihazı,70300.0
2026-09-05,1947414,Bellaria Vetro Air Purifier Grigio Hava Temizleme Cihazı,70300.0
2026-09-05,2000849,Saros 20 Siyah Akıllı Robot Süpürge  ,84999.0
2026-09-05,1407596,Meta Quest 3 512 GB Beyaz VR Sanal Gerçeklik Gözlüğü ,36929.49
2026-09-05,1380851,G G29 Driving Force Shifter Yarış Direksiyonu ve Vites Seti,22104.21
2026-09-05,1963886,Botticelli Evoluzione Dual Boiler Yarı Profesyonel Espresso Kahve Makinesi,139000.0
2026-09-05,1187428,Pro Express GV9820 Vision Buhar Kazanlı Ütü,17499.0
2026-09-05,1660352,IPL9850 PureCare 3.000.000 Atımlı Buz Lazer Epilasyon Cihazı,23999.0
2026-09-05,1818345,SMS26DI00T Serie 2 Inox 6 Programlı Bulaşık Makinesi,29999.0
2026-09-05,1809628,Airwrap i.d.™ Saç Şekillendirme ve Kurutma Seti (Ceramic Pink),28999.0
2026-09-05,1865379,RD545 Innerscan Pro Segmental Vücut Analizi Akıllı Dijital Tartı,141896.0
2026-09-05,1916229,Spot+Scrub™ Ai Islak ve Kuru Temizleme Özellikli Robot Süpürge,49999.0
2026-09-05,1706738,Purifier Hot+Cool HP1 Beyaz Hava Temizleyici,34999.0
2026-09-05,1813790,Serie 6 10 kg 12 Program A Enerji Sınıfı 1200 Çamaşır Makinesi WGK252Z0TR,34499.0
2026-09-05,1908769,50'S Style Retro Siyah Sağ Kapı Mini Buzdolabı FAB5RBL6,72280.0
2026-09-05,1885697,KG86PAXB0N iQ700 BlackSteel Total noFrost Alttan Donduruculu Buzdolabı,112399.0
2026-09-05,1846489,Mini 5 Pro Fly More Combo Plus RC 2 Drone,68999.0
2026-09-05,1957504,Swirl by Creami 13-in-1 Soft Serve ve Dondurma Makinesi Frosted Strawberry Matcha  ,19999.0
2026-09-05,2075935,Ear Siyah Kulak içi Bluetooth Kulaklık,5999.0
2026-09-05,1611131,RBS4000 Wellness Akıllı Vücut Analiz Tartısı,2499.0
2026-09-05,1387958,PlayStation VR2 PS5 Sanal Gerçeklik Gözlüğü,28209.47
2026-09-05,1990402,Momentum 4 Wireless Kulak Üstü Bluetooth Kulaklık,26999.0
2026-09-05,1729778,"iPad 11. Nesil A16 11"" Wi-Fi 128GB Gümüş Tablet MD3Y4TU/A",25772.16
2026-09-05,1343990,Cinetic Big Ball Absolute 2 Elektrikli Süpürge,21999.0
2026-09-05,1987104,GC9682/80 PerfectCare Elite Plus Buhar Kazanlı Ütü,20379.0
2026-09-05,1742093,Detect Power BlendSense Blender Mutfak Seti,15999.0
2026-09-05,1999724,Porsche FAB28 Shade Green Special Edition Buzdolabı ,218500.0
2026-09-05,1999895,Floor One S9 Artist Steam Siyah Islak ve Kuru Dikey Süpürge,36740.0
2026-09-05,2010825,50's Style Dolce Casa Krem 5 Parça Wedding Set,94890.0
2026-09-05,1595930,Arete One 12L Nem Alma ve Hava Temizleme Cihazı,20999.99
2026-09-05,2075140,F1 Max Çift Kameralı Mavi Akıllı Çocuk Saati,2999.0
2026-09-05,1982962,Silk·expert Pro 5 IPL Lazer Epilasyon Aleti + 4 Başlık PL5412,29499.0
2026-09-05,1974684,V8 Cyclone Kablosuz Dikey Süpürge,18999.0
2026-09-05,1728058,RMS9200P Aeroflex 7in1 Saç Şekillendirici,19999.0
2026-09-05,1280610,Peach 2 IPL Epilasyon Cihazı,23399.0
2026-09-05,1847949,Momentum 4 Wireless Kulak Üstü Bluetooth Kulaklık,26999.0
2026-09-05,1742098,StainStriker Pet Başlıklı Leke Çıkarma ve Koltuk Yıkama Makinesi,7999.0
2026-09-05,1990459,Osmo Pocket 4 Standard Combo Gimbal,31599.0
2026-09-05,1544830,Buhar Basınçlı Antibakteriyel Kırık Beyaz Paspas ve Mop Seti,2999.0
2026-09-05,1866449,"MacBook Pro 14"" M5 Çip 10 Çekirdekli CPU 10 Çekirdekli GPU 16GB Bellek 1TB SSD Gümüş Laptop MDE54TU/A",123710.31
2026-09-05,1811352,F1 Pro Bütün Vücut Uyumlu Şarjlı Masaj Tabancası,2499.0
2026-09-05,1856600,KATANA 15 i7-14650HX 16GB RAM DDR5 1TB SSD 8GB RTX5060 15.6 QHD 165Hz FreeDos Gaming Laptop HX B14WFK-817XTR,84199.0
2026-09-05,1934131,50's Style Bella Casa Krem 6 Parça Wedding Set,102390.0
2026-09-05,1962840,Phantom Ultimate Opéra de Paris Beyaz Kablosuz Bluetooth Hoparlör,169999.0
2026-09-05,1703182,Humidify+Cool™ Ph2 De-Nox Nemlendirme Özellikli Hava Temizleyici (Beyaz/altın),41999.0
2026-09-05,1908502,F4Y5EYWYJ.AMBPLTK Siyah Çamaşır Makinesi 11 kg,41594.0
2026-09-05,1938996,RCW 2 Extra + Cam Temizleme Silme Robotu Makinesi,15999.0
2026-09-05,1706738,Purifier Hot+Cool HP1 Beyaz Hava Temizleyici,34999.0
2026-09-05,1628923,AirPods 4. Nesil Aktif Gürültü Engelleme Özellikli Kulak İçi Bluetooth Kulaklık MXP93TU,11339.18
2026-09-05,1215403,Corrale™ Bakır/Nikel Saç Düzleştirici,21999.0
2026-09-05,1828727,Series 9 PRO+ 9675CC Islak ve Kuru Elektrikli Tıraş Makinesi,19799.0
2026-09-05,1803095,Beosound A9 5.G Natural Aluminium B Bluetooth Hoparlör,259999.0
2026-09-05,855783,Siyah Kettle,15950.0
2026-09-05,1932340,Lumea 9900 Serisi BRI953/01 IPL Lazer Epilasyon Aleti,22344.0
2026-09-05,1980097,Motorlu Parmak İzi Okuyuculu Mobil Uygulama Kontrollü Sesli Komut ve Bluetooth Destekli Akıllı Kapı Kilidi  X8070,11111.0
2026-09-05,1908070,Pembe Islak ve Kuru Sıcak ve Soğuk Hava Üflemeli Saç Düzleştirici,8999.0
2026-09-05,1948579,VocalMate Balerin Pembesi Taşınabilir Kablosuz Çocuk Karaoke Seti 2BH18,2499.9
