Tarih,UrunID,UrunAdi,FiyatFloat
2026-09-06,1061251,FashionMaster Antrasit Lotus Beyazı Buharlı Ütü Sistemi B4847 ,164242.5
2026-09-06,1780677,Saffiano Serisi ANC/ENC Özellikli Kulak Üstü Bluetooth Kulaklık,10313.9
2026-09-06,1286276,Fresh Express Max Doğrayıcı,5999.0
2026-09-06,1818619,Partybox 520 Siyah Bluetooth Hoparlör,62235.29
2026-09-06,1911298,SDC465 The Luxe Brewer™ Thermal Filtre Kahve Makinesi,54999.0
2026-09-06,1923856,Beosound A5 Meşe Ağacı Taşınabilir Bluetooth Hoparlör,133999.0
2026-09-06,1997256,EP8757/20 8000 Serisi Café Aromis Tam Otomatik Kahve Makinesi,44899.0
2026-09-06,1672909,Rd 953 Siyah Bluetooth Vücut Analizi Akıllı Dijital Tartı,42709.0
2026-09-06,1953043,Phantom Ultimate 108 dB Kablosuz Aktif Hi-Fi Hoparlör,289999.0
2026-09-06,1107888,Blizzard CX1 Comfort XL Lotos Beyaz Toz Torbasız Elektrikli Süpürge,36742.5
2026-09-06,1464688,Instax mini 12 Mavi Fotoğraf Makinesi Bundle Box + 10'lu Film Kare Albüm ve Deri Kılıflı,9749.0
2026-09-06,1949382,Kapsüllü Kokteyl Makinesi,39990.0
2026-09-06,1801090,Beosound A9 Altın Rengi Multiroom Kablosuz Hoparlör,319999.0
2026-09-06,1454973,Service Solo 36 Şişe Kapasiteli Şarap Dolabı LS36BLACK,51990.0
2026-09-06,1754812,Air 3 Acısız Safir Buz Soğutma 700.000 Atım Beyaz IPL Lazer Epilasyon Aleti + Deri Kutu Hediyeli,23999.0
2026-09-06,1811256,Beosound Emerge Altın Açık Meşe Multiroom Bluetooth Hoparlör,83999.0
2026-09-06,1204082,Lono Contact 2100W Grill Izgara ve Tost Makinesi,16999.0
2026-09-06,1966405,T500 Compact  Wi-Fi Bağlantılı Hava Temizleyici,10999.99
2026-09-06,2081252,"HyperX OMEN 15-GB0008NT NVIDIA GeForce RTX™5050 8GB AMD Ryzen 5 240 24GB RAM 512GB SSD 15.3"" 165Hz Windows 11 Home Gaming Laptop D2QW4EA",49999.0
2026-09-06,1711599,Purifier Hot+Cool HP2 De-NOx Beyaz/Altın Hava Temizleyici,41999.0
2026-09-06,1693579,Marathon Ultimate XB9185/07 Toz Torbasız Süpürge,15999.0
2026-09-06,1204075,Ultimate Pure FV9845 Kireç Avcısı Buharlı Ütü,5499.0
2026-09-06,1102492,LSX Karbon Siyah II Bluetooth Hi-Fi Aktif Hoparlör,119999.0
2026-09-06,855799,50s Retro Style Siyah Filtre Kahve Makinesi,19800.0
2026-09-06,1922141,DFC435FP QuadWash™ Ayarlanabilir Raflı Yapay Zeka Temizlik Teknolojili Bulaşık Makinesi,49168.0
2026-09-06,1866179,TAR4600/10 Siyah Saatli Radyo,4500.0
2026-09-06,1630208,Beosound A9 Multiroom Siyah Bluetooth Hoparlör,309999.0
2026-09-06,1793073,Series 9 BT9520 Sakal Düzeltici Tıraş Makinesi,5149.0
2026-09-06,1897563,KBOV2001.BG Icona Vintage Serisi Gizli Rezistanslı Kettle 1.7 Lt,6940.0
2026-09-06,1630211,BeoSound 2 3. Nesil Multiroom Siyah Hi-Fi Bluetooth Hoparlör,279999.0
2026-09-06,1900458,Xbox 9. Nesil Beyaz Wireless Controller Uyumlu Oyun Kolu,3998.95
2026-09-06,1743965,Coffeebreak 5009H Öğütücülü Filtre Kahve Makinesi,6999.0
2026-09-06,1847781,Kidi GPS Okyanus Laciverti 4G Sim Kartlı Akıllı Çocuk Saati 2KSW02,5499.9
2026-09-06,1904733,Tab K11 Gen 2 11'' 8GB Ram 128GB Wifi + Bluetooth Tablet ZAFS0180TR (Kılıf + Kalem Hediyeli),11999.0
2026-09-06,1206009,Kitchenminis Su Isıtıcısı ve Çay Makinesi 7211003374,10999.0
2026-09-06,1944299,MultiQuick 7 El Blenderi MQ7025X,4458.83
2026-09-06,1934105,"50's Style Retro Krem Isı Ayarlı Kettle 1,7 lt KLF04CREU",19800.0
2026-09-06,877460,Dolce&Gabbana Tasarımlı Kettle,42500.0
2026-09-06,1794669,Beoplay H100 Siyah Sonsuzluk Kulak Üstü Bluetooth Kulaklık,136999.0
2026-09-06,1904131,Luxe Café Pro Series Gümüş Espresso Makinesi ,43999.0
2026-09-06,1227262,System Smart M Buhar Kazanlı Ütü Sistemi,139999.0
2026-09-06,1845024,"50PUS8050/62 50"" Titan OS UHD 4K Smart Ambilight LED TV",28350.0
2026-09-06,1620704,Beoplay H95 Altın Rengi Kulak Üstü Bluetooth Kulaklık,59999.0
2026-09-06,1204071,Lineo 4'lü El Blender Seti,13999.0
2026-09-06,1541103,DT2020 Pure Pop Mavi Düzleştirici Buharlı Dikey Ütü,2221.11
2026-09-06,1521857,Minor IV TWS Siyah Kulakiçi Bluetooth Kulaklık,8223.53
2026-09-06,1620706,Beoplay HX Kahverengi Kulak Üstü Bluetooth Kulaklık,37999.0
2026-09-06,2075229,VT-130 17.000Pa 5 İn 1 Pompa Özellikli Yedek Bataryalı Araç İçi Süpürge ,2999.0
2026-09-06,1391426,GTA 5 PS5 Oyunu,1788.42
2026-09-06,2043530,Nexus EKG Tansiyon Nabız Aktivite Takibi Akıllı Bileklik,9199.0
2026-09-06,1893834,A05 3 Milyon Atım Akıllı Cilt Tanıma Ultra Seri Atım 3 Başlık IPL Epilasyon Cihazı,15379.0
2026-09-06,1786929,Köpüklüm Pro Siyah Çelik Türk Kahvesi Makinesi ,4399.0
2026-09-06,2044769,Nexus EKG Tansiyon Nabız Aktivite Takibi Akıllı Bileklik,9199.0
2026-09-06,1790232,Beoplay Eleven Naturel Alüminyum Kulak İçi Bluetooth Kulaklık,32999.0
2026-09-06,1749014,Grilliant 1340H Inox 4 Dilim Izgara ve Tost Makinesi 2000 W,5499.0
2026-09-06,1999073,FS300 Ultra Taşınabilir 3 Başlıklı Mini Masaj Tabancası,3999.0
2026-09-06,1929867,50’s Style Krem Retro Krem Kettle Klf03creu,15950.0
2026-09-06,2042732,T1 Pro Projeksiyon Cihazı,8999.0
2026-09-06,1305358,AS965E StylePro 1000W Döner Başlıklı Hava Üflemeli Saç Şekillendirici Seti,7999.0
2026-09-06,1104709,5KCM1209 Empire Red Filtre Kahve Makinesi,9999.0
2026-09-06,1960560,Pure Sıcak & Soğuk Buhar Akıllı Hava Nemlendirici 4.8L X7452,6110.0
2026-09-06,1891627,Diamante Sarı Saç Kesim + Saç Çizim Makinesi,35250.0
2026-09-06,1987240,HD7462/20 Daily Collection Filtre Kahve Makinesi,3319.0
2026-09-06,1970020,Type-C to Type-C 100W PD 480Mbps Led Göstergeli Örgü Hızlı Şarj Kablosu 1.2 m ,419.0
2026-09-06,1369693,T300RS GT PS/PC Yarış Direksiyon Seti,46121.0
2026-09-06,1742111,SteamPickUp 3-in-1 Sert Zemin Buharlı Temizleyici,11999.0
2026-09-06,1611131,RBS4000 Wellness Akıllı Vücut Analiz Tartısı,2499.0
2026-09-06,1722811,Hadenys Hi-Fi Kulak Üstü Kablolu Kulaklık,52999.0
2026-09-06,2074049,Bullet Siyah Taşınabilir Kapsül Buz Makinesi IM016-BBL,8699.0
2026-09-06,1794530,Shark HydroVac Pro Islak ve Kuru Şarjlı Silme ve Süpürme Makinesi,17999.0
2026-09-06,1027210,IE 900 High End Kulak İçi Kulaklık,109999.0
2026-09-06,1203971,Dijital Mutfak Tartısı,2799.0
2026-09-06,1805887,P-KE2 Mavi Su Geçirmez Çocuk Su Altı Kamerası ,2399.0
2026-09-06,1864036,Loop Gen2 Gold Sand Ekransız Kondisyon İzleyici ve Giyilebilir Sağlık Bilekliği,11499.9
2026-09-06,1027927,HD 820 High End Kulak Üstü Kulaklık,157999.0
2026-09-06,1348808,L500 Hava Nemlendirici,11549.99
2026-09-06,1279583,03172 AF 200 Airfryer Fritöz 1400 W,24999.0
2026-09-06,1028793,HD 800 S Kulak Üstü High End Kablolu Kulaklık,136999.0
2026-09-06,1900622,KG89 Kahve Öğütme Makinesi,6822.36
2026-09-06,1735507,EUFD80B V2 James 2 Katlanabilir Portatif Buharlı Dikey Ütü,13999.0
2026-09-06,1910741,CordZero® Kompressor™ Teknolojili Dikey Süpürge ve Çift Batarya,30000.0
2026-09-06,1970101,Plus 32'' 8/128 FHD Android Smart Taşınabilir LED TV,37599.0
2026-09-06,2068911,2. Nesil Tekli Paket AirTag,1599.0
2026-09-06,1996143,Smokin Buds Midnight Smoke Tws Kulak İçi Bluetooth Kulaklık S2TAW-T977,1849.0
2026-09-06,1992363,Beyaz Taşınabilir Masaüstü Fanı,2443.33
2026-09-06,1934105,"50's Style Retro Krem Isı Ayarlı Kettle 1,7 lt KLF04CREU",19800.0
2026-09-06,1582247,Playstation VR 2 Sanal Gerçeklik Gözlüğü PC Bağlama Adaptörü,7367.37
2026-09-06,1968307,Akıllı Ev Kamerası 2’li Set,3276.66
2026-09-06,1695337,iQ300 GS33VVWE0N Solo Derin Dondurucu,41855.49
2026-09-06,1259746,Hue GO V2 Bluetooth Özellikli Taşınabilir Işık,4775.0
2026-09-06,1904131,Luxe Café Pro Series Gümüş Espresso Makinesi ,43999.0
2026-09-06,1947118,Ektar H35 Filmli Adaçayı Yeşil Fotoğraf Makinesi,3995.0
2026-09-06,1224319,Gs 405 Signatureline Gümüş Paslanmaz Çelik Terazi,5990.0
2026-09-06,1931123,HMF01CREU 50's Style Retro Krem El Mikseri,15950.0
2026-09-06,1620704,Beoplay H95 Altın Rengi Kulak Üstü Bluetooth Kulaklık,59999.0
2026-09-06,2050634,5 Kademeli Siyah Pizza Fırını,10990.0
2026-09-06,2014789,AirPods Max 2 Gece Yarısı Kulak Üstü Bluetooth Kulaklık MHWK4TU/A,36999.0
2026-09-06,1790232,Beoplay Eleven Naturel Alüminyum Kulak İçi Bluetooth Kulaklık,32999.0
