Product Name,Price,Category
Mor Volanlı Mini Elbise,1499.95,elbise
Lila Askılı Trıko Elbise,1999.95,elbise
Siyah Kolsuz Kare Yaka Gabardin Elbise,1999.95,elbise
Mavi Ajurlu Triko Elbise,3999.95,elbise
Siyah Kolsuz Volanlı Elbise,1999.95,elbise
Lacivert Önden Düğmeli Kuşak Detaylı Çizgili Gömlek Elbise,1999.95,elbise
Lacivert Kolsuz Godeli Mini Elbise,1999.95,elbise
Lacivert Kısa Kollu Süet Elbise,1499.95,elbise
Siyah Kare Yaka Elbise,1999.95,elbise
Lacivert Erkek Yaka Mini Elbise,2499.95,elbise
Beyaz Toka Detaylı Elbise,1999.95,elbise
Kahverengi Büzgülü Desenli Elbise,1499.95,elbise
Kemik Yandan Bağlamalı Desenli Elbise,2999.95,elbise
Kahverengi Büzgülü Mini Elbise,1999.95,elbise
Sarı Straplez Kısa Kol Büzgülü Dar Mini Elbise,999.95,elbise
Sarı Kuşak Detaylı Desenli Elbise,2999.95,elbise
Lacivert Cep Detaylı Elbise,1999.95,elbise
Beyaz Mini Gömlek Elbise,1499.95,elbise
Siyah Yuvarlak Yaka Uzun Elbise,2999.95,elbise
Kemik Kolsuz Kloş Saten Elbise,2999.95,elbise
Siyah Jakar Elbise,1999.95,elbise
Siyah Dikiş Detaylı Denim Elbise,2999.95,elbise
Yeşil Kolsuz Cep Detaylı Kısa Elbise,2499.95,elbise
Yeşil Kısa Büzgülü Elbise,2999.95,elbise
Bej Yuvarlak Yaka Uzun Elbise,2999.95,elbise
Kahverengi Cep Detaylı Elbise,1999.95,elbise
Bej Süet Detaylı Elbise,1499.95,elbise
Yeşil Tafta Garnili Kolsuz Elbise,1999.95,elbise
Gri Halter Yaka Desenli Elbise,1999.95,elbise
Yeşil Kolsuz Midi Elbise,1999.95,elbise
Siyah Toka Detaylı Elbise,1999.95,elbise
Yeşil Kolsuz Godeli Mini Elbise,1999.95,elbise
Lacivert Kolsuz Önü Düğmeli Elbise,2999.95,elbise
Siyah Yan bağlama detaylı elbise,2499.95,elbise
Mor V - Yaka Elbise,2999.95,elbise
