name,category,price,discounted_price
Alice 2'li %100 Pamuk El Havlusu - Beyaz,Banyo,1884.99,377.0
Alice El Havlusu - Bej - 30x46 cm,Banyo,974.99,195.0
Alice El Havlusu - Lacivert - 30x46 cm,Banyo,974.99,195.0
Alice Yüz Havlusu - Bej - 50x80 cm,Banyo,1884.99,377.0
Alice Yüz Havlusu - Beyaz - 50x80 cm,Banyo,1884.99,377.0
Alice Yüz Havlusu - Gri - 50x80 cm,Banyo,1884.99,377.0
Alice Yüz Havlusu - Lacivert - 50x80 cm,Banyo,1884.99,377.0
Alissa %100 Pamuk Banyo Havlusu - Bej,Banyo,3219.99,644.0
Alissa %100 Pamuk Banyo Havlusu - Beyaz,Banyo,3219.99,644.0
Alissa %100 Pamuk Banyo Havlusu - Gri,Banyo,3219.99,644.0
Alissa %100 Pamuk Banyo Havlusu - Lacivert,Banyo,3219.99,644.0
Alissa %100 Pamuk Yüz Havlusu - Bej,Banyo,1559.99,312.0
Alissa %100 Pamuk Yüz Havlusu - Beyaz,Banyo,1559.99,312.0
Alissa %100 Pamuk Yüz Havlusu - Gri,Banyo,1559.99,312.0
Alissa %100 Pamuk Yüz Havlusu - Lacivert,Banyo,1559.99,312.0
Alissa 2'li %100 Pamuk El Havlusu - Beyaz,Banyo,1559.99,312.0
Allaire Jakarlı Peştemal,Banyo,2299.99,460.0
Allıance Jakarlı Peştemal,Banyo,2299.99,460.0
Alouette 4'lü Pamuklu El Havlusu - Beyaz/Bej - 30x45 cm,Banyo,1689.99,338.0
Alouette 4'lü Pamuklu El Havlusu - Beyaz/Mavi - 30x45 cm,Banyo,1689.99,338.0
Alouette Pamuklu Banyo Havlusu - Beyaz/Bej - 70x140 cm,Banyo,1954.99,391.0
Alouette Pamuklu Banyo Havlusu - Beyaz/Gri - 70x140 cm,Banyo,1954.99,391.0
Alouette Pamuklu Yüz Havlusu - Beyaz/Bej - 50x70 cm,Banyo,844.99,169.0
Alouette Pamuklu Yüz Havlusu - Beyaz/Gri - 50x70 cm,Banyo,844.99,169.0
Alouette Pamuklu Yüz Havlusu - Beyaz/Mavi - 50x70 cm,Banyo,844.99,169.0
Amande %100 Pamuk Yüz Havlusu - Beyaz - 50x70 cm,Banyo,844.99,169.0
Amande 4'lü %100 Pamuk El Havlusu - Beyaz - 30x45 cm,Banyo,1689.99,338.0
Amelie Jakarlı Peştemal,Banyo,2299.99,460.0
Analisa %100 Pamuk 2'li El Havlusu - Bej - 30x45 cm,Banyo,1559.99,312.0
Analisa %100 Pamuk 2'li El Havlusu - Beyaz - 30x45 cm,Banyo,1559.99,312.0
Analisa %100 Pamuk 2'li El Havlusu - Gri - 30x45 cm,Banyo,1559.99,312.0
Analisa %100 Pamuk 2'li El Havlusu - Koyu Bej - 30x45 cm,Banyo,1559.99,312.0
Analisa %100 Pamuk Yüz Havlusu - Bej - 50x70 cm,Banyo,1559.99,312.0
Analisa %100 Pamuk Yüz Havlusu - Beyaz - 50x70 cm,Banyo,1559.99,312.0
Analisa %100 Pamuk Yüz Havlusu - Gri - 50x70 cm,Banyo,1559.99,312.0
Analisa %100 Pamuk Yüz Havlusu - Koyu Bej - 50x70 cm,Banyo,1559.99,312.0
Anchor %100 Pamuk Plaj Havlusu - Lacivert - 75x160 cm,Banyo,4024.99,805.0
Ancre Nakışlı %100 Pamuk Yüz Havlusu - Beyaz - 50x76 cm,Banyo,1689.99,338.0
Angeline Pamuklu Ayak Havlusu - Antrasit - 50x80 cm - Natural Koleksiyon,Banyo,2874.99,575.0
Angeline Pamuklu Ayak Havlusu - Bej - 50x80 cm - Natural Koleksiyon,Banyo,2874.99,575.0
Angeline Pamuklu Ayak Havlusu - Beyaz - 50x80 cm - Natural Koleksiyon,Banyo,2874.99,575.0
Angeline Pamuklu Ayak Havlusu - Gri - 50x80 cm - Natural Koleksiyon,Banyo,2874.99,575.0
Angeline Pamuklu Ayak Havlusu - Haki - 50x80 cm - Natural Koleksiyon,Banyo,2874.99,575.0
Angelique 2'li %100 Pamuk El Havlusu - Bej - 30x45 cm,Banyo,1559.99,312.0
Angelique 2'li %100 Pamuk El Havlusu - Gri - 30x45 cm,Banyo,1559.99,312.0
Angelique 2'li %100 Pamuk El Havlusu - Koyu Bej - 30x45 cm,Banyo,1559.99,312.0
Angelique Yüz Havlusu - Bej - 50x70 cm,Banyo,1559.99,312.0
Angelique Yüz Havlusu - Beyaz - 50x70 cm,Banyo,1559.99,312.0
Angelique Yüz Havlusu - Gri - 50x70 cm,Banyo,1559.99,312.0
Angelique Yüz Havlusu - Haki - 50x70 cm,Banyo,1559.99,312.0
Angelique Yüz Havlusu - Koyu Bej - 50x70 cm,Banyo,1559.99,312.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Mavi - 50x70 cm,Banyo,1169.99,234.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Mavi - 50x70 cm,Banyo,1169.99,234.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Mint Yeşili - 50x70 cm,Banyo,1169.99,234.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Mint Yeşili - 50x70 cm,Banyo,1169.99,234.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Pudra - 50x70 cm,Banyo,1169.99,234.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Pudra - 50x70 cm,Banyo,1169.99,234.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Sarı - 50x70 cm,Banyo,1169.99,234.0
Angelise %100 Pamuk Yüz Havlusu - Beyaz/Sarı - 50x70 cm,Banyo,1169.99,234.0
Angelise 2'li %100 Pamuk El Havlusu - Beyaz/Mavi - 30x40 cm,Banyo,1299.99,260.0
Angelise 2'li %100 Pamuk El Havlusu - Beyaz/Mavi - 30x40 cm,Banyo,1299.99,260.0
Angelise 2'li %100 Pamuk El Havlusu - Beyaz/Mint Yeşili - 30x40 cm,Banyo,1299.99,260.0
