Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,Cilt Bakım_Daily_Inflation,Cilt Bakım_Weekly_Inflation,Güneş Bakım_Daily_Inflation,Güneş Bakım_Weekly_Inflation,Kore Kozmetik_Daily_Inflation,Kore Kozmetik_Weekly_Inflation,Kozmetik Setler_Daily_Inflation,Kozmetik Setler_Weekly_Inflation,Makyaj_Daily_Inflation,Makyaj_Weekly_Inflation,Nemlendirici_Daily_Inflation,Nemlendirici_Weekly_Inflation,Parfüm_Daily_Inflation,Parfüm_Weekly_Inflation,Saç Bakım_Daily_Inflation,Saç Bakım_Weekly_Inflation
2026-04-27,,,,,,,,,,,,,,,,,,,,
2026-04-28,0.012486538086937449,0.013093188475461037,,,0.0037522406325092295,,0.010970528706853111,,-0.004036882628327354,,-0.00498187178089915,,0.01710945939434838,,0.008982011506673437,,0.0021650708876437275,,0.11329755692587895,
2026-04-29,-0.008810266271592093,-0.0002557347414681166,,,-0.003272493126624143,,0.0006513011220585785,,-0.0012242624647870182,,0.009183264857606677,,0.0008654992040599829,,-0.04283129817827214,,0.0016552015520643337,,-0.04153307150481689,
2026-04-30,-0.04762479774516726,-0.020119169967429795,,,-0.0031070649793900618,,-7.497953560064996e-05,,-0.005795710724083469,,-0.06650163217309157,,-0.08580435079939908,,-0.04663359325357974,,-0.02867047279513213,,-0.11769730086813857,
2026-05-01,0.008970042349401686,0.018619695038059936,,,0.005782693293340246,,0.007620446408733272,,0.001231322944191593,,0.006477011829856494,,0.03527549551655773,,0.007353951402057302,,0.013189976092168543,,0.0,
2026-05-02,0.008126463554104957,-0.0073532920552871195,,,-0.003478166699525609,,0.0019057352158333707,,7.999134529645957e-05,,0.00026711329645823234,,-0.013829912276123735,,0.0022558234759024742,,0.0005945140841394636,,0.10015020493132698,
2026-05-03,-0.005457429054509522,0.0016610071750486899,,,-0.001552850889917301,,0.0014815023911463054,,0.0009758569111446569,,8.010829474636161e-05,,0.0056684072062624935,,-0.025686746360209733,,-9.855879878006846e-06,,-0.017229595663832198,
2026-05-04,0.005973040692646592,0.00272012821156542,-0.027348774750582505,0.00790327119934009,0.002271078558313322,0.0003517728870661152,-0.0015910663501595979,0.021089758277794246,0.0005120545052224035,-0.008250554000108323,0.0015688795460213623,-0.0547426618684288,-0.0038593931467143516,-0.0481560064342037,0.030639115646855064,-0.06653578885136802,0.0033636914645367444,-0.008192915078462093,0.0,0.017911567274665696
2026-05-05,0.00125290007541623,0.005887323387014254,-0.038140436036825154,0.000734320625902507,0.02504859574560081,0.021575981143866052,0.02252068764673454,0.03275552762032796,-0.0066493304965267175,-0.010851949253406046,-0.0027312520103089932,-0.05260459544213969,-0.00524390400785002,-0.06907500831139168,0.010930306520803956,-0.06473331502357949,-0.015938045900521947,-0.026108925136327787,0.004601490147148057,-0.08147155182320198
2026-05-06,-0.005594320820522802,0.02042435064011161,-0.03501965321993761,0.021434885674374238,-0.0038459526674659017,0.020988225223574908,-0.01163412732211877,0.020075941713947776,0.0017624588520170903,-0.007894018401049974,0.0008538160615416679,-0.06042406866042127,-0.04185542363473671,-0.10881059193403009,-0.014879329645650308,-0.03742094584736777,0.00010272071590189391,-0.027618373924586326,0.0,-0.041669127156102936
2026-05-07,0.004152730007703109,-0.024140897833092367,0.017443175052033633,0.017242607371981133,-0.0019983454057120875,0.022123742980832084,0.004848742520465077,0.02509888874526256,0.00021164652230831749,-0.001899339920948262,0.010254826232534597,0.016832114508574136,0.022507125381000526,-0.0032248341934776326,-0.011768422347425034,-0.0022188630004915666,0.007083831248922756,0.008174657515113593,0.006087347093667983,0.09278206498309705
2026-05-08,1.9645200975526578e-05,0.011531548980046047,0.008417614222232528,0.010164043887875396,0.0013134686701870013,0.01758190642856272,-0.004286673918125428,0.012985224459546307,0.0030781754877167167,-5.826213950166359e-05,-0.008332997103262851,0.00186973332912177,0.030648589703769602,-0.007679672377792879,0.006278853692346598,-0.0032837441315850535,-0.005140704397485596,-0.01006528559600417,0.007405014107508823,0.10087413159072955
2026-05-09,-0.0008050542273957406,-0.003449981462273821,-0.0005164830147863508,0.0141362365941331,-0.0010603216536230198,0.020050849194332088,0.0035052279884659754,0.014602405086781234,-0.001094815517783565,-0.0012329065944300943,-0.0011788478391060453,0.0004214554860986208,-0.004985634045026166,0.0012197631061212633,-0.0009189180187786361,-0.006440938514307271,-0.0007307468417336871,-0.011376427899603359,0.0,0.0006580252915988627
2026-05-10,-0.0023685119178884495,-0.005806549540244177,0.0025877800440095022,0.006575674877591142,-0.0011606906471441913,0.020451494725763242,-0.0031648410229236923,0.009895187637912972,-0.004572268082437714,-0.006768789038978373,-0.00041016881185917953,-6.898896181484204e-05,-0.008432802320778254,-0.012819068740445583,-0.005523967018718157,0.014120120308035,0.0008992240130729634,-0.010477681230570357,-0.0063670478433822675,0.011718284741504714
2026-05-11,0.0067246408617316344,-0.0278828299629148,0.003336850957962545,-0.024144954349898162,0.0024438349828119765,0.020627384817151206,0.0036917524012751723,0.015238782886739521,0.06442128403355007,0.056675365531850375,0.007521243813887635,0.00587364138741564,0.004545255021539907,-0.004490015242812118,0.0037493111101940535,-0.012338696748081857,0.0033500953437262115,-0.010491089793293162,0.0,0.011718284741504714
2026-05-12,0.16011648994615824,0.15565457640219416,0.16253109047605196,0.12115077224888249,0.12882728934661802,0.12395846306003455,0.01100408380836182,0.0038041948093414657,0.0033580447168630734,0.06732069671878005,0.24328026410178794,0.2540078580002796,0.1604449438708866,0.1613244020708955,0.20709743444242923,0.17931317081245512,0.1865154711701298,0.1930830431254198,0.005559086966543614,0.012682665365159718
