date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Fruits,Seasonal Fruit,Kg,12.9,254.0,3276.6,134.9,1740.21,24.9,321.21,17,Besni Üzüm kg; Kecimen Siyah Üzüm; Siyah Çekirdekli Üzüm; Siyah Üzüm Fındık kg; Siyah Üzüm Çekirdeksiz Özbek Kg; Elma Golden  Sarı Kg; Elma Gransimit Kg; Elma Stargin Kırmızı Kg; Kivi Kg; Nar Kg; Pink Lady Elma Kg; Portakal Dal Kg; Portakal Finike Kg; Turp Karpuz; Çilek Lüks Kg; İnce Elma Golden-Starking; Narman Minzi Kg
Feb 2026,Vegetables,Onion,Kg,18.0,62.42,1123.56,59.9,1078.2,9.9,178.2,4,Arpacık Soğan Paket; Mor Soğan Kg; Soğan Kg; Soğan Çuval 9 Kg
Feb 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,79.93,1846.38,84.9,1961.19,55.0,1270.5,3,Kabak Bal Bütün Kg; Kabak Bal Dilimli Kg; Patlıcan Kg
Feb 2026,Vegetables,Other Vegetables,Kg,11.8,222.0,2619.6,222.0,2619.6,222.0,2619.6,1,Süperfresh Taze Fasulye 450 Gr
Feb 2026,Oils,Olive Oil,Liter,1.1,474.22,521.64,430.0,473.0,283.0,311.3,33,Komili Natürel Sızma Zeytinyağı 2 L; Komili Natürel Sızma Zeytinyağı 500 ml; Komili Natürel Sızma Zeytinyağı Teneke 5 L; Komili Natürel Sızma Zeytinyağı1 L; Komili Riviera Zeytinyağı 1 L; Komili Riviera Zeytinyağı 2 L; Komili Riviera Zeytinyağı 250 ml; Komili Riviera Zeytinyağı 5 L; Komili Riviera Zeytinyağı 500 ml; Kristal Natürel Sızma Zeytinyağı Cam Şişe 1 L; Kristal Natürel Sızma Zeytinyağı Cam Şişe 500…; Kristal Natürel Sızma Zeytinyağı Teneke 4 L; Kristal Organik Natürel Sızma Zeytinyağı Cam …; Kristal Riviera Zeytinyağı 1 L; Marmarabirlik Natürel Sızma Zeytinyağı Cam Şi…; Marmarabirlik Natürel Sızma Zeytinyağı Cam Şi…; Marmarabirlik Natürel Sızma Zeytinyağı Teneke…; Marmarabirlik Riviera Zeytinyağı Cam Şişe 1 L; Marmarabirlik Riviera Zeytinyağı Teneke 5 L; Tariş Güney Ege Sızma Natürel Zeytinyağı 2 L; Tariş Güney Ege Sızma Zeytinyağı 5 L; Tariş Güney Ege Sızma Zeytinyağı Cam Şişe 750…; Tariş Kuzey Ege Sızma Zeytinyağı Cam Şişe 250…; Tariş Kuzey Ege Sızma Zeytinyağı Cam Şişe 500…; Tariş Kuzey Ege Sızma Zeytinyağı Cam Şişe 750…; Tariş Kuzey Ege Sızma Zeytinyağı Teneke 5 L; Tariş Riviera Zeytinyağı Cam Şişe 250 ml; Tariş Riviera Zeytinyağı Cam Şişe 500 ml; Tariş Riviera Zeytinyağı Cam Şişe 750 ml; Tariş Riviera Zeytinyağı Teneke 2 L; Tariş Riviera Zeytinyağı Teneke 5 L; Tariş Sızma Natürel Edremit & Ayvalık Zeytiny…; Tariş Sızma Natürel Organik Zeytinyağı Cam Şi…
Feb 2026,Other Food Products,Grissini,Kg,2.1,450.05,945.11,479.2,1006.32,282.61,593.48,4,Ülker Altınbaşak Grissini 46 g; Ülker Altınbaşak Grissini Kepekli 125 g; Ülker Altınbaşak Grissini Sade 125 g; Ülker Altınbaşak Grissini Çavdarlı Karabuğday…
Mar 2026,Dairy Products,Yogurt,Kg,59.7,99.47,5938.36,79.9,4770.03,50.4,3008.88,29,Atmaca Yoğurt Yarım Yağlı 2500 g; Atmaca Yoğurt Yarım Yağlı 5000 g; Bayram Bidon Yoğurt 2500 g; Bayram Yoğurt 1000 g; Eker Efsane Yoğurt 750 Gr; Kebir Yoğurt 1750 Gr Kova %3 Yağlı; Kebir Yoğurt Bidon 2500 Gr; Kebir Yoğurt Bidon Köy Tipi 1000 Gr; Kebir Yoğurt Bidon Köy Tipi 2000 Gr; Kebir Yoğurt Köy Tipi Bidon 5 Kg; Kebir Yoğurt Yarım Yağlı Kova 4 Kg; Pınar Doğal Yoğurt 500 g; Pınar Doğal Yoğurt 750 Gr; Pınar Yoğurt 1200 GR; Pınar Yoğurt 2000 gr %1 Yağlı; Sütaş Kaymaksız Yoğurt 1 kg; Sütaş Kaymaksız Yoğurt 1.5 kg; Sütaş Kaymaksız Yoğurt 2 kg; Sütaş Kaymaksız Yoğurt 3 kg; Sütaş Kaymaksız Yoğurt 500 g; Yeşil Mavi Yoğurt Bidon 2500 g; Yeşil Mavi Yoğurt Bidon 4950 g; Yeşil Mavi Yoğurt Kova 1000 g; Yeşil Mavi Yoğurt Kova 2000 g; İçim Doğal Yoğurt 1000 g; İçim Doğal Yoğurt 1200 g; İçim Doğal Yoğurt 2000 g; İçim Doğal Yoğurt 3000 g; İçim Doğal Yoğurt 500 g
Mar 2026,Dairy Products,White Cheese,Kg,5.7,372.78,2124.85,336.25,1916.62,215.62,1229.03,43,Aytaç Tam Yağlı Beyaz Peynir 800 g; Ayça Az Yağlı Beyaz Peynir 800 g; Damalı Beyaz Peynir 450 Gr Tam Yağlı Olgunlaş…; Damalı Beyaz Peynir Klasik Kg; Eker Klasik Peynir 500 gr Tam Yağlı; Ekici Beyaz Peynir Kg; Ekici Beyaz Peynir Klasik 450 Gr 3 Dilim; Ekici Beyaz Peynir Lokum Kıvamında 250 Gr; Ekici Beyaz Peynir Tam Yağlı 500 g; Ekici Lokum Kıvamında Beyaz Peynir 800 g; Gezici Beyaz Peynir Az Tuzlu Kg; Gezici Taze Peynir Kg; Kaanlar Trakya Beyaz Peynir 800 g; Kaanlar Çiftlik Taze Beyaz Peynir kg; Kebir Beyaz Peynir 800 Gr; Kebir Beyaz Peynir Pls 500 Gr; Muratbey Sürmeli Beyaz Peynir Tam Yağlı 400 G…; Ova Beyaz Peynir 400 Gr; Ova Beyaz Peynir 700 Gr Pls; Ova Beyaz Peynir Kg; Ova Beyaz Peynir Tnk 1 Kg; Ova Beyaz Peynir Tnk 1800 Gr; Peysan Edirne Klasik Beyaz Peynir Tam Yağlı 3…; Pınar Beyaz Peynir 180 Gr; Pınar Beyaz Peynir 400 Gr; Pınar Beyaz Peynir Kahvaltı Keyfi 800 Gr; Pınar Beyaz Peynir Salamura 800 Gr; Pınar Taze Peynir 180Gr Kahvaltı Keyfi; Sütaş Light Plus Beyaz Peynir 500 g; Sütaş Plus Beyaz Peynir 500 g; Sütaş Plus Beyaz Peynir 900 g; Sütaş Süzme Beyaz Peynir 250 g; Sütaş Süzme Beyaz Peynir 500 g; Sütaş Süzme Beyaz Peynir 900 g; Tahsildaroğlu Klasik İnek Beyaz Peynir 450 Gr; Teksüt Beyaz Peynir 900 Gr; Torku Beyaz Peynir 900 g; Yardımcı Beyaz Peynir Kg; İçim Beyaz Peynir 500 g; İçim Plus Beyaz Peynir 900 g; İçim Süzme Beyaz Peynir 750 g; İçim Süzme Beyaz Peynir 900 g; İçim Tam Yağlı Süzme Beyaz Peynir 250 g
Mar 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,890.0,4094.0,890.0,4094.0,850.0,3910.0,2,Dana Kuşbaşı  Kg; Yağsız Kuşbaşı Kg
Mar 2026,Meat and Protein,Chicken,Kg,10.3,229.71,2366.01,206.43,2126.23,64.1,660.23,8,Şenpiliç Kalçalı But kg; Şenpiliç Pirzola Kg; Şenpiliç Poşet Piliç Kg 1651-1950 gr; Şenpiliç Tabaklı Bonfile Kg; Şenpiliç Tabaklı Kelebek Kg; Erpiliç Schnitzel 700 Gr; Gedik Donuk Piliç Kova 750 Gr; Pınar Piliç Schnitzel 415 Gr
