product_id,url,name,sku,marka,stok_durumu,birim,price,currency,scraped_at
7738,https://yapimaks.com/0-50-86-30-30-trp-mahya-9002-beyaz-p7738,"Boyalı trapez sac MAHYA BEYAZ 0,5 mm 86x(30+30) cm Ral 9002",RALL.9002.050.MHY,FOUR,Birim: Adet,Adet,"220,00",TRY,2026-03-17 22:26:00
7708,https://yapimaks.com/0-50-86-30-30-trp-mahya-bordo-p7708,"Boyalı trapez sac MAHYA BORDO 0,5 mm 86x(30+30) cm Ral 3009",RALL.3009.050.MHY,FOUR,Birim: Adet,Adet,"220,00",TRY,2026-03-17 22:26:03
7693,https://yapimaks.com/0-50-86-3000-bordo-p7693,"Boyalı trapez sac BORDO 0,5 mm 86x300 cm Ral 3009 (1 adet=2,58 m2)",RALL.3009.050.3000,FOUR,Birim: Adet,Adet,"630,00",TRY,2026-03-17 22:26:06
7716,https://yapimaks.com/0-50-86-3000-gri-p7716,"Boyalı trapez sac ANTRASİT 0,5 mm 86x300 cm Ral 7016 (1 adet=2,58 m2)",RALL.7016.050.3000,FOUR,Birim: Adet,Adet,"645,00",TRY,2026-03-17 22:26:09
7696,https://yapimaks.com/0-50-86-4500-bordo-p7696,"Boyalı trapez sac BORDO 0,5 mm 86x450 cm Ral 3009 (1 adet=3,87 m2)",RALL.3009.050.4500,FOUR,Birim: Adet,Adet,"945,00",TRY,2026-03-17 22:26:12
7697,https://yapimaks.com/0-50-86-5000-bordo-p7697,"Boyalı trapez sac BORDO 0,5 mm 86x500 cm Ral 3009 (1 adet=4,3 m2)",RALL.3009.050.5000,FOUR,Birim: Adet,Adet,"1.050,00",TRY,2026-03-17 22:26:15
4893,https://yapimaks.com/100-100-100-cift-catal-pis-su-pvc-kalde-p4893,"100x100x100 Çift Çatal 45°, Pis Su, Çap=110x110x110 mm",KALDE.5213DBR0M0M45,KALDE,Birim: Adet,Adet,"178,00",TRY,2026-03-17 22:26:18
4916,https://yapimaks.com/100-100-catal-pis-su-pvc-kalde-p4916,"100x100 Tek Çatal 45°, Pis Su, Çap=110x110 mm",KALDE.5213SBR0M0M45,KALDE,Birim: Adet,Adet,"115,00",TRY,2026-03-17 22:26:21
4917,https://yapimaks.com/100-100-te-pis-su-pvc-kalde-p4917,"100x100 Tek Çatal 87°, Te Çatal, Pis Su, Çap=110x110 mm",KALDE.5213SBR0M0M87,KALDE,Birim: Adet,Adet,"100,00",TRY,2026-03-17 22:26:24
4873,https://yapimaks.com/100-1000-pis-su-boru-kalde-p4873,"100/1000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 110 x 1000 mm",KALDE.5203TBE0M1000,KALDE,Birim: Adet,Adet,"167,00",TRY,2026-03-17 22:26:27
4935,https://yapimaks.com/100-150-pis-su-boru-kalde-p4935,"100/150 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 110 x 150 mm",KALDE.5203TBEXM0150,KALDE,Birim: Adet,Adet,"49,00",TRY,2026-03-17 22:26:30
4870,https://yapimaks.com/100-2000-pis-su-boru-kalde-p4870,100/2000 PİS SU BORU KALDE,,,,,,TRY,2026-03-17 22:26:33
4884,https://yapimaks.com/100-250-pis-su-borusu-kalde-p4884,,,,,,,TRY,2026-03-17 22:26:43
4874,https://yapimaks.com/100-3000-pis-su-boru-kalde-p4874,,,,,,,TRY,2026-03-17 22:26:53
4899,https://yapimaks.com/100-45-pis-su-pvc-dirsek-kalde-p4899,,,,,,,TRY,2026-03-17 22:27:03
4892,https://yapimaks.com/100-50-100-cift-catal-pis-su-pvc-kalde-p4892,,,,,,,TRY,2026-03-17 22:27:13
4914,https://yapimaks.com/100-50-catal-pis-su-pvc-kalde-p4914,,,,,,,TRY,2026-03-17 22:27:23
4904,https://yapimaks.com/100-50-rediksiyon-pis-su-pvc-kalde-p4904,,,,,,,TRY,2026-03-17 22:27:33
12648,https://yapimaks.com/100-50-te-pis-su-pvc-kalde-p12648,,,,,,,TRY,2026-03-17 22:27:44
