product_id,name,sku,marka,stok_durumu,birim,price,currency,url,scraped_at
7723,"Boyalı trapez sac MAHYA ANTRASİT 0,5 mm 86x(30+30) cm Ral 7016",RALL.7016.050.MHY,FOUR,Birim: Adet,Adet,"215,00",TRY,https://yapimaks.com/0-50-86-30-30-trp-mahya-7016-a-gri-p7723,2026-03-19 15:01:08
7738,,,,,,,TRY,https://yapimaks.com/0-50-86-30-30-trp-mahya-9002-beyaz-p7738,2026-03-19 15:01:09
7708,,,,,,,TRY,https://yapimaks.com/0-50-86-30-30-trp-mahya-bordo-p7708,2026-03-19 15:01:18
7693,,,,,,,TRY,https://yapimaks.com/0-50-86-3000-bordo-p7693,2026-03-19 15:01:26
7716,,,,,,,TRY,https://yapimaks.com/0-50-86-3000-gri-p7716,2026-03-19 15:01:35
7696,,,,,,,TRY,https://yapimaks.com/0-50-86-4500-bordo-p7696,2026-03-19 15:01:44
7697,,,,,,,TRY,https://yapimaks.com/0-50-86-5000-bordo-p7697,2026-03-19 15:01:52
4893,"100x100x100 Çift Çatal 45°, Pis Su, Çap=110x110x110 mm",KALDE.5213DBR0M0M45,KALDE,Birim: Adet,Adet,"178,00",TRY,https://yapimaks.com/100-100-100-cift-catal-pis-su-pvc-kalde-p4893,2026-03-19 15:02:01
4916,"100x100 Tek Çatal 45°, Pis Su, Çap=110x110 mm",KALDE.5213SBR0M0M45,KALDE,Birim: Adet,Adet,"115,00",TRY,https://yapimaks.com/100-100-catal-pis-su-pvc-kalde-p4916,2026-03-19 15:02:02
4917,"100x100 Tek Çatal 87°, Te Çatal, Pis Su, Çap=110x110 mm",KALDE.5213SBR0M0M87,KALDE,Birim: Adet,Adet,"100,00",TRY,https://yapimaks.com/100-100-te-pis-su-pvc-kalde-p4917,2026-03-19 15:02:04
4873,"100/1000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 110 x 1000 mm",KALDE.5203TBE0M1000,KALDE,Birim: Adet,Adet,"167,00",TRY,https://yapimaks.com/100-1000-pis-su-boru-kalde-p4873,2026-03-19 15:02:05
4935,"100/150 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 110 x 150 mm",KALDE.5203TBEXM0150,KALDE,Birim: Adet,Adet,"49,00",TRY,https://yapimaks.com/100-150-pis-su-boru-kalde-p4935,2026-03-19 15:02:06
4870,"100/2000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 110 x 2000 mm",KALDE.5203TBE0M2000,KALDE,Birim: Adet,Adet,"278,00",TRY,https://yapimaks.com/100-2000-pis-su-boru-kalde-p4870,2026-03-19 15:02:08
4884,,,,,,,TRY,https://yapimaks.com/100-250-pis-su-borusu-kalde-p4884,2026-03-19 15:02:09
4874,,,,,,,TRY,https://yapimaks.com/100-3000-pis-su-boru-kalde-p4874,2026-03-19 15:02:18
4899,,,,,,,TRY,https://yapimaks.com/100-45-pis-su-pvc-dirsek-kalde-p4899,2026-03-19 15:02:27
4892,,,,,,,TRY,https://yapimaks.com/100-50-100-cift-catal-pis-su-pvc-kalde-p4892,2026-03-19 15:02:35
4914,,,,,,,TRY,https://yapimaks.com/100-50-catal-pis-su-pvc-kalde-p4914,2026-03-19 15:02:44
4904,,,,,,,TRY,https://yapimaks.com/100-50-rediksiyon-pis-su-pvc-kalde-p4904,2026-03-19 15:02:52
12648,,,,,,,TRY,https://yapimaks.com/100-50-te-pis-su-pvc-kalde-p12648,2026-03-19 15:03:01
4869,,,,,,,TRY,https://yapimaks.com/100-500-pis-su-boru-pprc-kalde-p4869,2026-03-19 15:03:09
4915,,,,,,,TRY,https://yapimaks.com/100-70-catal-pis-su-pvc-kalde-p4915,2026-03-19 15:03:18
4905,,,,,,,TRY,https://yapimaks.com/100-70-reduksiyon-pis-su-pvc-kalde-p4905,2026-03-19 15:03:27
4900,,,,,,,TRY,https://yapimaks.com/100-90-pis-su-pvc-dirsek-kalde-p4900,2026-03-19 15:03:35
4924,,,,,,,TRY,https://yapimaks.com/100-es-pis-su-pvc-kalde-110x87-p4924,2026-03-19 15:03:44
4922,,,,,,,TRY,https://yapimaks.com/100-kayar-manson-pis-su-pvc-kalde-p4922,2026-03-19 15:03:52
4888,,,,,,,TRY,https://yapimaks.com/100-kelepce-pis-su-pvc-kalde-p4888,2026-03-19 15:04:01
