title,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
S.METRO SİYAH PARLAK 1. 10x20,650.0,05,,,,
S.METRO BEYAZ PARLAK 1. 10x20,590.0,05,,,,
S.ENDÜLÜS GRİ Yer 1. 20*20,795.0,05,,,,
S.FANTASIA WHITE 1. 30x60,490.0,05,,,,
"S.BRICK COTTO DİJİTAL (1,22) 30x60",525.0,05,,,,
"S.BRICK ANTRASİT DİJİTAL 1. (1,22) 30x60",525.0,05,,,,
S.MARBLEWAY GRAY 1. 30x60,490.0,05,,,,
S.KUBİK BEJ-KAHVE 1. 30x60,375.0,05,,,,
S.MOSAICO LİLA  1. 30x60,350.0,05,,,,
"S.ORİON BEYAZ (52,92) 1. 30x90R",325.0,05,,,,
S.CARRERA WHITE MOTİF GLOSSY 1. 60x60,295.0,05,,,,
S.ORIGIN GOLDEN BORDÜR 1. 5x60,69.9,05,,,,
S.ONIX BEJ (FULL LAPPATO) NanoTech 1. 30x60,345.0,05,,,,
S.GARDEN BLACK PORC. 1. 50x50,299.9,05,,,,
S.GARDEN BEJ PORC. 1. 50x50,299.9,05,,,,
S.GRİT DJ PORCELEN 1. 50x50,299.9,05,,,,
S.LİNEN BEJ PORCELEN 1. 50x50,275.0,05,,,,
FULL WHITE FULL LAPP. PAR. 1. 60x60,499.0,05,,,,
S.ORİON BEYAZ PORC. YER 1. 60x60,395.0,05,,,,
S.ORİON SİYAH PORC. YER 1. 60x60,425.0,05,,,,
S.DECK BEIGE PORC.1. 15x90,475.0,05,,,,
40x120D VİTRA MARBLE-X B.CAPRAI WHITE GLS 8R 1.,540.0,05,,,,
40x120D VİTRA MARMORI ST.LAURENT SYH PRL 8R1.,375.0,05,,,,
40x120D VİTRA VICTORIAN MARBLE BLACK GLS 7R 2k.,330.0,05,,,,
S.AROC NOCE YER  1. 33x66,325.0,05,,,,
S.AROC GRİ YER  1. 33x66,325.0,05,,,,
SERANİT NERO MARMO SİYAH PARLAK 1. 60x60,399.0,05,,,,
SERANİT MARBLE-BEYAZ PARLAK 1. 60x60,399.0,05,,,,
S.TEAK MAPLE PORC. 1.  50x50,325.0,05,,,,
S.MİNERAL COLORMİX 1.  60x60,525.0,05,,,,
S.MİNERAL GRİ 1.  60x60,525.0,05,,,,
S.BEYOĞLU NEW BLUE 1. 60x60,395.0,05,,,,
S.ROMA SAND GREY SMOOTH ANTİSLİP 1. 60x60,450.0,05,,,,
S.EROS SİYAH DJ. 1.  30x60,345.0,05,,,,
15x15 VİTRA RETROMIX SOĞUK DAİRE POZ. S PTV+36,599.0,05,,,,
15x15 VİTRA RETROMIX S&B DAIRE POZ L PVT+36 nR,699.9,05,,,,
15x15 VİTRA RETROMIX SICAK DAİRE POZ. S PTV+36,699.9,05,,,,
15x15 VİTRA RETROMIX SOĞUK KUP S PTV+36 MATnR,599.0,05,,,,
15x15 VİTRA RETROMIX SICAK KUP M PTV+36 MATnR,699.9,05,,,,
15x15 VİTRA RETROMİX SICAK CIZGI S PTV+36nR U,699.9,05,,,,
15x15 VİTRA UNIT ONE WHITE GLS nR UKP,249.9,05,,,,
