title,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
MEGA İZO LASTİK - 3 (Spray) 500ml,175.0,05,0.0,0.0,0.0,0.0
MEGA İZOLASTİK-10 Tam Elast.İzolasyon (SET) 20+10=30kg,2250.0,05,0.0,0.0,0.0,0.0
YAP.HARCI Megafix GRİ KÜTAHYA 25 kg *****,300.0,05,0.0,0.0,0.0,0.0
MEGA FİLM BRÜT BETON PEMBE ASTAR 12kg,650.0,05,0.0,0.0,23.809523809523807,23.809523809523807
YAP.HARCI Megaflex Granit GRİ KÜTAHYA 25 kg,495.0,05,0.0,0.0,0.0,0.0
YAP.HARCI Megaflex Granit BEYAZ KÜTAHYA 25 kg,575.0,05,0.0,0.0,0.0,0.0
MEGA İZOLASTİK-7 Yarı Elast. İzolasyon (SET) 20+6=26kg,1150.0,05,0.0,0.0,0.0,0.0
CAM TUĞLA DERZ ARTISI 10 mm,9.9,05,0.0,0.0,24.528301886792455,24.528301886792455
KALEKİM Ultra Fuga KAKAO  20 kg,1850.0,05,0.0,0.0,0.0,0.0
KALEKİM Ultra Fuga SÜTLÜ KAHVE  5 kg,350.0,05,0.0,0.0,0.0,0.0
KALEKİM Ultra Fuga NEVŞEHİR BEJ 5 kg,320.0,05,0.0,0.0,0.0,0.0
KALEKİM Ultra Fuga AVANOS BEJ  5 kg,320.0,05,0.0,0.0,0.0,0.0
KALEKİM Ultra Fuga ULUDAĞ GRİ  20 kg,930.0,05,0.0,0.0,0.0,0.0
KALEKİM Ultra Fuga KAPADOKYA BEJ 5 kg,310.0,05,0.0,0.0,0.0,0.0
KALEKİM Ultra Fuga BEYAZ  20 kg,710.0,05,0.0,0.0,0.0,0.0
KALEKİM Ultra Fuga BEYAZ 5 kg,310.0,05,0.0,0.0,0.0,0.0
VMEGA CLEAN DERZ TEMİZLEYİCİ (Spray) 500 ml,275.0,05,0.0,0.0,0.0,0.0
KALEKİM DOLGU ASTARI 4506 3 kg,650.0,05,0.0,0.0,0.0,0.0
YAP.HARCI Megafix BEYAZ KÜTAHYA  25 kg,375.0,05,0.0,0.0,0.0,0.0
TURKUAZ YUMURCAK LAV.+YARIM AY. 35x45 cm,3650.0,05,0.0,0.0,0.0,0.0
"TURKUAZ BED.ENG.LAVABO 60x49,5 cm",3090.0,05,0.0,0.0,20.04662004662005,20.04662004662005
DEKOR BED.ENG.TUT.BARI HARK. 76cm (U) SS 304,3125.0,05,0.0,0.0,0.0,0.0
TURKUAZ LİLA Bed.Engelli Klozet + İç Tkm + Kapak Set,14270.0,05,0.0,0.0,20.411779596658512,20.411779596658512
DEKOR BED.ENG.TUT.BARI 74cm (L) SS 304,2750.0,05,0.0,0.0,0.0,0.0
TURKUAZ BELLA DTD.KLZ.+REZ+İÇ TK.+SOFT KAPAK,8990.0,05,0.0,0.0,12.51564455569462,12.51564455569462
SV.PETİTE ASMA KLOZET + SOFT KAPAK,3755.0,05,0.0,0.0,0.0,0.0
VİTRA 4201 VİTRA ESPACE ASMA KLOZET2,4210.0,05,0.0,0.0,0.0,0.0
SV.NATURA PLUS ASMA KLOZET 1.,3445.0,05,0.0,0.0,0.0,0.0
IDEA Klozet 555+(Rez.-122)+(Smart Kpk-032)+(İçTkm-044),11990.0,05,0.0,0.0,0.0,0.0
İDA KLOZET + REZ. ALTTAN 65cm,2490.0,05,0.0,0.0,0.0,0.0
MOOD Klozet 397+(Rez.-098)+(Smart Kpk-038)+(İçTkm-044),10990.0,05,0.0,0.0,0.0,0.0
SV.NATURA KLOZET + REZ.ALTTAN 1.,2490.0,05,0.0,0.0,0.0,0.0
TURKUAZ YUMURCAK KL.+RZ.+KP.+İÇ TK. ALT.,10180.0,05,0.0,0.0,20.047169811320757,20.047169811320757
IDEA 2.0 Smart Asma Klozet + Smart Kapak (032),8990.0,05,0.0,0.0,0.0,0.0
MOOD 2.0 Smart Asma Klozet + Smart Kapak (038),7990.0,05,0.0,0.0,0.0,0.0
FİNLANDİYA BORDİGLİO KURNA,11300.0,05,0.0,0.0,44.871794871794876,44.871794871794876
OSMANLI MUSLUĞU ESKİTME,5390.0,05,0.0,0.0,96.0,96.0
ROCA CARELİA ANK.BANYO BAT.SETİ 5li (Kare),12500.0,05,0.0,0.0,25.125125125125123,25.125125125125123
ROCA ESTREİA ANK. BANYO BAT. SETİ 5li (Oval),11500.0,05,0.0,0.0,35.45347467608952,35.45347467608952
ANKASTRE STOP VALF MAXİMAL Siyah,1260.0,05,0.0,0.0,0.0,0.0
DOMINO LAVABO BATARYASI SİYAH,4150.0,05,0.0,0.0,27.692307692307693,27.692307692307693
DREAM LAVABO KISA KUĞU LUX,2590.0,05,0.0,0.0,78.62068965517241,78.62068965517241
DOMINO ÇANAK TİPİ LAVABO BAT. SİYAH,5090.0,05,0.0,0.0,60.56782334384858,60.56782334384858
DOMINO LAVABO BATARYASI,3090.0,05,0.0,0.0,37.333333333333336,37.333333333333336
DOMINO DÖNERLİ LAVABO BATARYASI,3590.0,05,0.0,0.0,40.78431372549019,40.78431372549019
ECA LUNA LAVABO BAT. ALTIN,10890.0,05,0.0,0.0,39.79460847240051,39.79460847240051
ECA NIOBE LAVABO BATARYASI,4190.0,05,0.0,0.0,35.59870550161812,35.59870550161812
ECA VERA LAVABO BATARYASI,4190.0,05,0.0,0.0,19.714285714285715,19.714285714285715
DREAM EVYE UZUN KUĞU LUX,2590.0,05,0.0,0.0,78.62068965517241,78.62068965517241
NEWART EVYE BAT.,3060.0,05,0.0,0.0,0.0,0.0
ECA NIOBE EVİYE BATARYASI,5790.0,05,0.0,0.0,34.96503496503497,34.96503496503497
ECA SPİL EVYE BATARYASI KROM,5190.0,05,0.0,0.0,15.333333333333332,15.333333333333332
ECA LUNA BANYO BAT. ALTIN,13790.0,05,0.0,0.0,39.43377148634985,39.43377148634985
ECA NIOBE BANYO BATARYASI,5990.0,05,0.0,0.0,33.4075723830735,33.4075723830735
ECA STAR BANYO BATARYASI,6750.0,05,0.0,0.0,35.0,35.0
MINLINE SÜRGÜLÜ ÜST TKM 3F.,890.0,05,0.0,0.0,0.0,0.0
ECA TİERA BANYO ÜST TKM SÜRGÜLÜ F.,11090.0,05,0.0,0.0,457.286432160804,457.286432160804
ECA NİTA BANYO SÜRGÜLÜ ÜST TAKIM (3F.),2750.0,05,0.0,0.0,38.19095477386934,38.19095477386934
ECA SARI REKOR 1/2,175.0,05,0.0,0.0,0.0,0.0
ECA ANKASTRE ARA KESME VALF 1/2,1790.0,05,0.0,0.0,12.578616352201259,12.578616352201259
ECA PINAR UZUN MUSLUK,1650.0,05,0.0,0.0,43.47826086956522,43.47826086956522
ECA PINAR KISA MUSLUK,975.0,05,0.0,0.0,0.0,0.0
ECA ARA MUSLUK FİLTRELİ,600.0,05,0.0,0.0,61.725067385444746,61.725067385444746
ECA ÇAMAŞIR MAK.MUSLUK,590.0,05,0.0,0.0,0.0,0.0
ECA ARA / TAHARET ASTRO MUSLUK,1450.0,05,0.0,0.0,46.464646464646464,46.464646464646464
ECA ASTRO KLOZET MUSLUK 1/2,1990.0,05,0.0,0.0,0.0,0.0
SUKAR LİNE/3/G 60 cm SLOT IZG. 237 6022-01,495.0,05,0.0,0.0,0.0,0.0
OSMANLI SARI HAMAM TASI,1250.0,05,0.0,0.0,58.22784810126582,58.22784810126582
DERZ PENSE YER TİPİ,450.0,05,0.0,0.0,0.0,0.0
DERZ KAMASI-TAKOZ ( 100 Adet ) Kyk,225.0,05,0.0,0.0,0.0,0.0
DERZ KLİPS 2 mm ( 200 Adet ),350.0,05,0.0,0.0,27.27272727272727,27.27272727272727
DERZ KLİPS 1 mm ( 200 Adet ),350.0,05,0.0,0.0,27.27272727272727,27.27272727272727
***KAPANYA*** VİTRA ÇAMAŞIR MAK.DOLABI ALTIN KİRAZ 70cm,1490.0,05,0.0,0.0,0.0,0.0
KALE TREVİ  BOY DOLABI 40cm SAĞ Ant./Cvz.,8500.0,05,0.0,0.0,0.0,0.0
KALE TREVİ BANYO DOLABI 80cm SET Ant./Cvz.,13500.0,05,0.0,0.0,0.0,0.0
KALE MOTION BANYO DOLABI 80 cm SET Byz./Meşe,28700.0,05,0.0,0.0,0.0,0.0
KALE GRİS BANYO DOLABI 80cm Syh / Gri,12750.0,05,0.0,0.0,0.0,0.0
KALE GRİS BANYO DOLABI 65cm Syh / Gri,11500.0,05,0.0,0.0,0.0,0.0
KALE MARE BOY DOLABI 40cm SAĞ Byz / Meşe,6950.0,05,0.0,0.0,0.0,0.0
KALE MARE BANYO DOLABI 100cm Byz / Meşe,12950.0,05,0.0,0.0,0.0,0.0
KALE MARE BANYO DOLABI 80cm Byz / Meşe,11950.0,05,0.0,0.0,0.0,0.0
