category,product_name,color,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Keten karışımlı,Düğmeli dökümlü top,Beyaz,1090.0,03,0.0,0.0,,
Keten karışımlı,Bambula volanlı şort etek,Ekru,1190.0,03,0.0,0.0,,
Keten karışımlı,Bambula volanlı şort etek,Lacivert,1190.0,03,0.0,0.0,,
Keten karışımlı,Bambula volanlı şort etek,Açık mavi,1190.0,03,0.0,0.0,,
Keten karışımlı,Açık renk geniş paça jean,SOLUK EFEKTLİ AÇIK ORTA MAVİ DENIM,1790.0,03,0.0,0.0,,
Keten karışımlı,İşlemeli dökümlü askılı top,Ekru,1090.0,03,0.0,0.0,,
Keten karışımlı,İşlemeli askılı dökümlü top,Kahverengi,1090.0,03,0.0,0.0,,
Keten karışımlı,Keten karışımlı şort,Ekru,1090.0,03,0.0,0.0,,
Keten karışımlı,Keten karışımlı şort,Kahverengi,1090.0,03,0.0,0.0,,
Keten karışımlı,Keten karışımlı şort,Krem rengi,1090.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü bağcıklı pantolon,Beyaz,1190.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü bağcıklı pantolon,Siyah,1190.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü bağcıklı pantolon,Kahverengi,1190.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Ekru,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Siyah,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Pembe,1190.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Kahverengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Krem rengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Haki,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten etkili dökümlü gömlek,Altın rengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten etkili dökümlü gömlek,Siyah,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten etkili dökümlü gömlek,Beyaz,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten etkili dökümlü gömlek,Açık mavi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten etkili dökümlü gömlek,Pembe,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten etkili dökümlü gömlek,Açık pembe,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten etkili dökümlü gömlek,Kahverengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Düğmeli yelek,Altın rengi,990.0,03,0.0,0.0,0.0,
Keten karışımlı,Düğmeli yelek,Ekru,990.0,03,0.0,0.0,0.0,
Keten karışımlı,Düğmeli yelek,Mavi,990.0,03,0.0,0.0,0.0,
Keten karışımlı,Düğmeli yelek,Krem rengi,990.0,03,0.0,0.0,0.0,
Keten karışımlı,Düğmeli yelek,Kahverengi,990.0,03,0.0,0.0,0.0,
Keten karışımlı,Düğmeli yelek,Haki,990.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Koyu lacivert,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü dökümlü pantolon,Mavi,1190.0,03,0.0,,,
Keten karışımlı,"Kemerli, keten görünümlü düz paça pantolon",Kahverengi,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,"Kemerli, keten görünümlü düz paça pantolon",Ekru,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,"Kemerli, keten görünümlü düz paça pantolon",Açık sarı,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,Kahverengi,1590.0,03,0.0,,,
Keten karışımlı,Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,Ekru,1590.0,03,0.0,,,
Keten karışımlı,Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,Mavi,1590.0,03,0.0,,,
Keten karışımlı,Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,Haki,1590.0,03,0.0,,,
Keten karışımlı,Keten karışımlı şık şort,Kahverengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten karışımlı şık şort,Ekru,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten karışımlı şık şort,Mavi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Kemerli dökümlü şort,Koyu lacivert,1490.0,03,0.0,0.0,0.0,
Keten karışımlı,Kemerli dökümlü şort,Ekru,1490.0,03,0.0,0.0,0.0,
Keten karışımlı,Kemerli dökümlü şort,Kahverengi,1490.0,03,0.0,0.0,0.0,
Keten karışımlı,Kırışık görünümlü straight fit pantolon,Siyah,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Kırışık görünümlü straight fit pantolon,Ekru,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Kırışık görünümlü straight fit pantolon,Kahverengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Büzgülü dokulu tişört,Siyah,790.0,03,0.0,0.0,0.0,
Keten karışımlı,Büzgülü dokulu tişört,Ekru,790.0,03,0.0,0.0,0.0,
Keten karışımlı,Büzgülü dokulu tişört,Kahverengi,790.0,03,0.0,0.0,0.0,
Keten karışımlı,Büzgülü dokulu tişört,Haki,790.0,03,0.0,0.0,0.0,
Keten karışımlı,Bohem midi etek,Beyaz,1390.0,03,0.0,0.0,0.0,
Keten karışımlı,Bohem midi etek,Siyah,1390.0,03,0.0,0.0,0.0,
Keten karışımlı,Bohem midi etek,Kahverengi,1390.0,03,0.0,0.0,0.0,
Keten karışımlı,Önü açık dökümlü bluz,Beyaz,1190.0,03,0.0,0.0,,
Keten karışımlı,Önü açık dökümlü bluz,Altın rengi,1190.0,03,0.0,0.0,,
Keten karışımlı,Önü açık dökümlü bluz,Kahverengi,1190.0,03,0.0,0.0,,
Keten karışımlı,Panelli uzun etek,Beyaz,1590.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü straight fit pantolon,Kahverengi,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü straight fit pantolon,Ekru,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,"Metalik iplikli, keten görünümlü, dökümlü pantolon",Mavi,1590.0,03,0.0,,,
Keten karışımlı,"Metalik iplikli, keten görünümlü, dökümlü pantolon",Krem rengi,1590.0,03,0.0,,,
Keten karışımlı,Basic keten karışımlı yelek,Mavi,1490.0,03,0.0,0.0,,
Keten karışımlı,Ketenli pensli culotte pantolon,Ekru,1490.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü culotte pantolon,Krem rengi,1490.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü culotte pantolon,Siyah,1490.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü culotte pantolon,Ekru,1490.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü culotte pantolon,Kahverengi,1490.0,03,0.0,0.0,,
Keten karışımlı,Dökümlü pareo pantolon,Haki,1490.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü pareo pantolon,Krem rengi,1490.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü Sarong Pantolon,Siyah,1490.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü yarasa kollu gömlek,Altın rengi,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü yarasa kollu gömlek,Beyaz,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü yarasa kollu gömlek,Lacivert,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü yarasa kollu gömlek,Krem rengi,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,Akıcı katlı midi etek,Beyaz,1490.0,03,0.0,0.0,,
Keten karışımlı,Keten görünümlü çapraz askılı top,Kahverengi,790.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü çapraz askılı top,Beyaz,790.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü çapraz askılı top,Altın rengi,790.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten Karışımlı Geniş Yaka Triko Bluz,Pembe,1090.0,03,0.0,0.0,,
Keten karışımlı,Keten Karışımlı Geniş Yaka Triko Bluz,Açık sarı,1090.0,03,0.0,0.0,,
Keten karışımlı,Keten Karışımlı Geniş Yaka Triko Bluz,Kahverengi,1090.0,03,0.0,0.0,,
Keten karışımlı,Askılı keten karışımlı top,Koyu lacivert,990.0,03,0.0,0.0,,
Keten karışımlı,Askılı keten karışımlı top,Ekru,990.0,03,0.0,0.0,,
Keten karışımlı,Geniş paça keten görünümlü pantolon,Koyu lacivert,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Geniş paça keten görünümlü pantolon,Ekru,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü gömlek,Açık mavi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü gömlek,Koyu lacivert,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü gömlek,Kahverengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü gömlek,Krem rengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü gömlek,Haki,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Qipao halter düğmeli top,Koyu mavi,1090.0,03,0.0,0.0,0.0,
Keten karışımlı,Bengalinden halter yaka üst,Kahverengi,1090.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü kruvaze blazer,Kahverengi,2290.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü kruvaze blazer,Ekru,2290.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü kruvaze blazer,Mavi,2290.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü barrel pantolon,Açık mavi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü barrel pantolon,Ekru,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Dökümlü barrel pantolon,Krem rengi,1190.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü çapraz sırtlı midi elbise,Kahverengi,1790.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü çapraz sırtlı midi elbise,Lacivert,1790.0,03,0.0,0.0,0.0,
Keten karışımlı,Keten görünümlü çapraz sırtlı midi elbise,Haki,1790.0,03,0.0,0.0,0.0,
Keten karışımlı,"Keten karışımlı, kısa, dantel elbis",Kahverengi,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,"Keten karışımlı, kısa, dantel elbis",Turuncu,1590.0,03,0.0,0.0,0.0,
Keten karışımlı,Kırışık görünümlü straight fit pantolon,Haki,1190.0,03,0.0,0.0,0.0,
