item_name,price,category,color,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Kemerli dökümlü şort,1490.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
Kemerli dökümlü şort,1490.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Yuvarlak epoksi güneş gözlüğü,790.0,Keten karışımlı,Haki,03,0.0,0.0,,
Keten görünümlü gömlek,1190.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,0.0
Keten görünümlü gömlek,1190.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
Keten görünümlü gömlek,1190.0,Keten karışımlı,Açık mavi,03,0.0,0.0,0.0,0.0
Keten görünümlü gömlek,1190.0,Keten karışımlı,Soluk pembe,03,0.0,0.0,,
Keten görünümlü gömlek,1190.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Keten görünümlü gömlek,1190.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,0.0
Geniş paça keten görünümlü pantolon,1190.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
Geniş paça keten görünümlü pantolon,1190.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Vücuda oturan rustik blazer,2290.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Vücuda oturan rustik blazer,2290.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Keten karışımlı şık şort,1190.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Keten karışımlı şık şort,1190.0,Keten karışımlı,Mavi,03,0.0,0.0,0.0,0.0
Keten karışımlı şık şort,1190.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Bambula volanlı şort etek,1190.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,
Bambula volanlı şort etek,1190.0,Keten karışımlı,Lacivert,03,0.0,0.0,0.0,
