District,Rooms,price_numeric,city,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akçadağ,2+1,13375.0,malatya,04,0.0,0.0,0.0,0.0
Akçadağ,3+1,10625.0,malatya,04,0.0,0.0,21.428571428571427,6.25
Akçadağ / Köyler,2+1,11500.0,malatya,04,0.0,0.0,0.0,
Akçadağ / Köyler,3+1,12500.0,malatya,04,0.0,38.88888888888889,31.57894736842105,25.0
Arapgir,3+1,30000.0,malatya,04,0.0,0.0,0.0,0.0
Battalgazi,2+1,13000.0,malatya,04,0.0,8.333333333333332,8.333333333333332,13.043478260869565
Battalgazi,3+1,12000.0,malatya,04,0.0,0.0,-4.0,-5.88235294117647
Battalgazi / Köyler,2+1,17950.0,malatya,04,0.0,-0.2777777777777778,63.18181818181819,-28.199999999999996
Battalgazi / Merkez,1+1,18500.0,malatya,04,0.0,0.6802721088435374,0.0,-2.631578947368421
Battalgazi / Merkez,2+0,17950.0,malatya,04,0.0,0.27932960893854747,0.27932960893854747,0.27932960893854747
Battalgazi / Merkez,2+1,16000.0,malatya,04,0.7874015748031495,0.0,6.666666666666667,7.563025210084033
Battalgazi / Merkez,2.5+1,14500.0,malatya,04,0.0,0.0,,-10.76923076923077
Battalgazi / Merkez,3+1,15250.0,malatya,04,-0.8130081300813009,0.8264462809917356,-1.6129032258064515,-1.6129032258064515
Battalgazi / Merkez,3+2,20000.0,malatya,04,0.0,0.0,0.0,
Battalgazi / Merkez,3.5+1,14000.0,malatya,04,-13.846153846153847,0.0,-26.31578947368421,0.0
Battalgazi / Merkez,4+1,20000.0,malatya,04,-2.4390243902439024,-13.043478260869565,-9.090909090909092,-20.792079207920793
Battalgazi / Merkez,5+1,22750.0,malatya,04,0.0,0.0,8.333333333333332,8.333333333333332
Battalgazi / Merkez,Stüdyo (1+0),16000.0,malatya,04,0.0,0.0,0.0,0.0
Darende,2+1,17000.0,malatya,04,0.0,0.0,,36.0
Darende,3+1,17000.0,malatya,04,0.0,6.25,6.25,6.25
Doğanşehir,3+1,14000.0,malatya,04,0.0,7.6923076923076925,16.666666666666664,24.444444444444443
Doğanşehir / Köyler,3+1,6500.0,malatya,04,0.0,0.0,-10.344827586206897,4.0
Hekimhan,2+1,12000.0,malatya,04,0.0,0.0,,0.0
Kale / Köyler,2+1,8875.0,malatya,04,0.0,-12.345679012345679,-12.345679012345679,-1.3888888888888888
Kale / Köyler,3+1,13000.0,malatya,04,0.0,,,-13.333333333333334
Yazıhan / Köyler,3+1,6750.0,malatya,04,0.0,0.0,,
Yeşilyurt,1+1,14000.0,malatya,04,0.0,0.0,0.0,0.0
Yeşilyurt,2+1,19000.0,malatya,04,8.571428571428571,-15.555555555555555,-17.391304347826086,8.571428571428571
Yeşilyurt,3+1,18500.0,malatya,04,-1.3333333333333335,2.7777777777777777,2.7777777777777777,2.7777777777777777
Yeşilyurt,3.5+1,20000.0,malatya,04,0.0,0.0,0.0,-3.614457831325301
Yeşilyurt,4+1,21000.0,malatya,04,0.0,-2.3255813953488373,0.0,-3.4482758620689653
Yeşilyurt,4.5+1,27500.0,malatya,04,0.0,0.0,0.0,10.0
Yeşilyurt / Köyler,1+1,8000.0,malatya,04,0.0,0.0,0.0,6.666666666666667
Yeşilyurt / Köyler,2+1,15250.0,malatya,04,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667
Yeşilyurt / Köyler,2.5+1,19500.0,malatya,04,-4.878048780487805,-4.878048780487805,-4.878048780487805,
Yeşilyurt / Köyler,3+1,10000.0,malatya,04,0.0,0.0,0.0,0.0
Yeşilyurt / Köyler,3.5+1,9500.0,malatya,04,8.571428571428571,0.0,18.75,8.571428571428571
Yeşilyurt / Köyler,4+1,20000.0,malatya,04,0.0,5.263157894736842,5.263157894736842,2.564102564102564
Yeşilyurt / Köyler,4.5+1,24000.0,malatya,04,0.0,,,
Yeşilyurt / Köyler,5+1,25000.0,malatya,04,0.0,0.0,0.0,0.0
Yeşilyurt / Merkez,1+1,13000.0,malatya,04,0.0,4.0,-3.7037037037037033,0.0
Yeşilyurt / Merkez,2+0,13950.0,malatya,04,0.0,-6.688963210702341,16.25,16.25
Yeşilyurt / Merkez,2+1,15000.0,malatya,04,-3.225806451612903,0.0,0.0,1.694915254237288
Yeşilyurt / Merkez,2.5+1,10000.0,malatya,04,0.0,-28.57142857142857,,-25.925925925925924
Yeşilyurt / Merkez,3+1,18875.0,malatya,04,-0.6578947368421052,-5.625,-0.6578947368421052,0.6666666666666667
Yeşilyurt / Merkez,3+2,22000.0,malatya,04,0.0,0.0,0.0,-4.3478260869565215
Yeşilyurt / Merkez,3.5+1,20625.0,malatya,04,17.857142857142858,17.857142857142858,14.583333333333334,-4.069767441860465
Yeşilyurt / Merkez,4+1,24000.0,malatya,04,0.0,0.0,0.0,-4.0
Yeşilyurt / Merkez,5+1,26000.0,malatya,04,0.0,4.0,-2.803738317757009,0.0
Karakoçan,1+1,13000.0,elazig,04,0.0,0.0,0.0,-13.333333333333334
Karakoçan,2+1,7500.0,elazig,04,0.0,0.0,0.0,-3.225806451612903
Karakoçan,3+1,8000.0,elazig,04,0.0,3.225806451612903,0.0,-5.88235294117647
Kovancılar,1+1,15000.0,elazig,04,0.0,0.0,0.0,0.0
Kovancılar,2+1,16000.0,elazig,04,0.0,10.344827586206897,10.344827586206897,0.0
Kovancılar,3+1,12000.0,elazig,04,4.3478260869565215,0.0,0.0,9.090909090909092
Kovancılar / Köyler,1+1,18500.0,elazig,04,0.0,0.0,,
Kovancılar / Köyler,2+1,15000.0,elazig,04,0.0,,,
Maden / Gezin,2+1,8000.0,elazig,04,0.0,,,
Merkez,1+1,18500.0,elazig,04,-5.128205128205128,-11.904761904761903,-9.75609756097561,-19.565217391304348
Merkez,2+0,14500.0,elazig,04,0.0,0.0,0.0,0.0
Merkez,2+1,11500.0,elazig,04,0.0,2.2222222222222223,0.0,9.523809523809524
Merkez,3+1,10750.0,elazig,04,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381
Merkez,4+1,23000.0,elazig,04,0.0,2.2222222222222223,-8.0,-2.127659574468085
Merkez,5+1,42000.0,elazig,04,0.0,0.0,0.0,0.0
Merkez,Stüdyo (1+0),13500.0,elazig,04,-6.896551724137931,0.0,0.0,0.0
