item_name,price,category,date,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
B D Ld12ska-tr 12v Vidalama+30 Prç Aks,1999.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
"Te-cd 18/44 Li-i Darbeli Vidalama 1x2,5a",3999.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
LD12SP Akülü Vidalama,2799.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Promo Blister Akülü Vidalama + 24 Parça Aksesuar,599.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Sds-plus 11&#039;li Alüminyum Çantalı Uç Ve Keski Seti - 2608578765,1350.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,-2.877697841726619,
"Tp-Cd 18/60 Li Bl - Solo, Akülü Vidalama",3999.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Bits Uç Seti Üçlü 89 mm,359.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Pz Vidalama Ucu Üçlü 89 mm,359.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Dt7969-qz 32 Parça Vid Uç Seti,949.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
10 Adet Vidalama Ucu ve 20 cm Uzatma Adaptörü,359.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Bits Uç Takımı 7 Parça,519.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
DCD710D2 10.8 Li-Ion Çift Akülü Vidalama,8499.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Mini X-Line 25 Parçalı Vidalama Seti,419.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
10 Adet Vidalama Ucu ve 30 cm Uzatma Adaptörü,379.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Vidalama Ucu 50 mm PH/PZ/SL,107.9,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
10mm Çelik Mandren Vidalama Mkd5p,1663.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Fatmax Sbd715b 18v 4.0 Ah Çift Akülü Darbeli Vidalama,7486.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.34852546916890076,0.984756508835829,
Rtl8060 21v 3.0ah Profesyonel Şarjlı Darbeli Vidalama Makinesi,4900.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Dcd771S2 Vidalama Matkabı Şarjlı 18 Volt 1.5 Ah,7320.0,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Impact Control Serisi Vidalama Ucu 8&#039;li PH2 *50mm,453.7,Akülü Vidalamalar,2026.05.28,05,0.0,0.0,0.0,
Hızlı Uç Değiştirme Mandrenli Üniversal Tutucu *60mm 1/4&#034; Altıgen Şaft,522.49,Akülü Vidalamalar,2026.05.28,05,0.0,7.781009550921062,7.781009550921062,
