Category,Product Name,Price,Date,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akülü Vidalamalar,X-line 30 Parça Titanyum Karışık Aksesuar Seti 2607019324,982.49,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Bits Ucu Seti 20 Parça 50 mm,159.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Tork T İkili Vidalama Ucu T40x25 mm,94.99,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Rtl8060 21v 3.0ah Profesyonel Şarjlı Darbeli Vidalama Makinesi,4900.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Impact Pz2-ph2 Çift Taraflı Uç 65mm 8 Li,888.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Karışık Bits Ucu Seti,159.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Lieber German L599 5li Set Kömürsüz Motor 3x Akülü Taşlama Somun Sıkma Kırıcı Delici &amp; Dal Budama Testere Makinesi,6442.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,T Vidalama Ucu Üçlü,359.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Lieber German Lg5960 Metal Şanzıman Çift Akülü Bakır Sargı 27 Parça Şarjlı Matkap Akülü Vidalama Matkap,1299.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Eisenn Qaz-013 Grey Darbeli Metal Mandren Çift Akülü Bl Motor Vidalama Matkap + 84 Parça Komple Seti Hediyeli,3399.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Eisenn Ex-10 Darbeli 013 Kömürsüz Motor 2 Akülü Vidalama Matkap + 84 Parça Aksesuar Set,3399.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Şarjlı Darbeli Matkap 58 volt çift akülü Şansımanlı Torklu Matkap Duvar Beton Ahşap delme vidalama,1220.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,10mm Mke Vidalama,1120.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,1020 20v 2x2.0ah Çift Akülü Kömürsüz Darbeli Matkap 10mm,2180.91,2026.05.08,05,0.0,,,
Akülü Vidalamalar,C-dtb74/1-x 20v 2x2ah Çift Akülü Vidalama + 74 Parça Aksesuar Seti - 5910904400,6374.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Workpro Wp221062 13 Parça Manyetik Cr-v Vidalama Bits Uç Seti,458.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Da01901 32 Parça Manganez Fosfat Alaşımlı Vidalama Uç Seti,884.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Cheli̇kbei̇ Dokuzlu Set (power Bank &amp; Led + Kırıcı Delici Matkap+avuç Taşlama+somun Sıkma+vidalama+sunta Kesme+dekupaj+budama Testeresi+budama Makası),12950.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Profesyonel 18v Çift Akülü Vidalama Matkap Budama Makası Budama Testeresi 3&#039;lü Set,4799.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Şarjli Tornavi̇da 13 Parça Set 3.6v 1.5ah Rdx-3085,588.61,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Vidalama Köşe Adaptörü Shockwave-4932471274,1729.99,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Altıgen Şaft 5 mm,52.99,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Rtrmax Rtx3050b Akülü 18v 230nm Torklu Vi̇dalama *aküsüz Satilmaktadir*,3678.86,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gtb 650 Alçipan Vidalama,5263.0,2026.05.08,05,0.2858231707317073,,,
Akülü Vidalamalar,Alçıpan Vidalama Mke,1867.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,10mm Dwe Vidalama,1120.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Rtm350 Şarjlı Matkap,2827.85,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Rtrmax Rtx3050 Kömürsüz 18V Akülü 230NM Vi̇dalama,8529.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Set 08 Şarjlı 3’lü Makine Seti S-lion Çantalı,15469.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Professional 43 Parça Vidalama Ucu Seti -2607017164,1895.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Dx72 Akülü Somun Sikma,13053.79,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 18V-150 C Akülü Darb Delme/Vid,42000.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,T9 49 Mm 1&#039;li Torx Bits Uç Extrahard 2607001630,270.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Bits Uç Ph1/2/3 25 Mm 3&#039;lü Set Extrahard 2607001752,294.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,25 Parça Vidalama Seti (tornavida Fonksiyonlu Kutu),520.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Akülü Vidalama Şarjlı Tornavida Şarjlı Matkap Ixo 7 .nesil + Bosch 32 Parça Vidalama Ucu Seti,3299.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Tomax Yıldız Bits Uç Ph2x100 Mm (10 Adet),893.99,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 185 Lı Darbeli Kömürsüz Matkap Vidalama 16 Parça Uç Seti Hediye,8499.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Haispro Rb-db2109 Profesyonel Darbeli Matkap 21 V 2x4.0 Ah Çift Akülü 150 Nm Yüksek Tork,14300.0,2026.05.08,05,,,,
Akülü Vidalamalar,Shockwave Bits Uç Seti Karışık 32 Parça,1200.0,2026.05.08,05,,,,
Akülü Vidalamalar,Professional Gsb 185-li 2.0 Ah Tek Akülü Kömürsüz Motor Darbeli Matkap + 23 Parça Aksesuar Set - 06019k3102,8046.19,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 18V-90 C Solo Darb Delme/Vid,13574.99,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Tp-cd 18/50 Li I Bl Kömürsüz Çift 2 Ah Akülü Darbeli Matkap + Kwb 32 Parça Bits Uç Seti,7549.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Ph2 X 127 Mm Ekstra Uzun Yıldız Bits Uç Cb/1272,272.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,12v Çift Akülü Metal Şanzıman Şarjlı Matkap Akülü Vidalama,1399.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,X-li̇ne 50+173 Parça Aksesuar Seti̇ 2607017523,1016.0,2026.05.08,05,0.29615004935834155,,,
Akülü Vidalamalar,21v Çift Akülü 4 Başlıklı Kömürsüz Motor Şarjlı Akülü Vidalama,3799.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Şarjlı Vidalama Gsr 120 Li Çift Akülü,6158.0,2026.05.08,05,0.2931596091205212,,,
Akülü Vidalamalar,Impact Çift Taraflı Vidalama Uç Pz2 65mm 8li,459.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,12v Metal Şanzıman Çift Akülü Bakır Sargı Akülü Vidalama Şarjlı Matkap,1249.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Akülü Vidalama Mw24b,2214.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 18V-150 C Akülü Delme/Vid,29799.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 18v-28 Akülü Darbeli Vidalama,3962.14,2026.05.08,05,0.0,,,
