product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Eisenn Qaz-013 Grey Darbeli Metal Mandren Çift Akülü Bl Motor Vidalama Matkap + 84 Parça Komple Seti Hediyeli,3399.9,05,0.0,0.0,0.0,0.0
Eisenn Ex-10 Darbeli 013 Kömürsüz Motor 2 Akülü Vidalama Matkap + 84 Parça Aksesuar Set,3399.9,05,0.0,0.0,0.0,0.0
Bits Ucu 3 Adet,32.99,05,0.0,0.0,0.0,
Şarjlı Darbeli Matkap 58 volt çift akülü Şansımanlı Torklu Matkap Duvar Beton Ahşap delme vidalama,1220.0,05,0.0,0.0,0.0,0.0
Akülü Vidalama Şarjlı Tornavida Şarjlı Matkap Ixo 7 + Bosch 46 Parça Cırcır Tornavida Vidalama Ucu,3999.0,05,0.0,2.564760194921775,33.300000000000004,33.300000000000004
10mm Mke Vidalama,1120.0,05,0.0,0.0,0.0,0.0
Rtm332T 12v 1.3 Ah Li-ion Tek Akülü Vidalama Ve Şarjlı Matkap (PVC Çantalı),1489.0,05,0.0,-43.73297157173573,-43.73297157173573,-43.73297157173573
Bit Driver Extender Steel,1710.0,05,0.0,,,
RTM332T Akülü Vi̇dalama 12v 1.3ah 22nm Tek Akü,1489.0,05,0.0,-2.500032740083033,-2.500032740083033,-2.500032740083033
Rtrmax Rtx2026b 18v Kömürsüz Akülü Alçipan Vi̇dalama,3999.0,05,0.0,-5.599803598491113,-5.599803598491113,-6.736911333599198
Rtm350 Şarjlı Matkap,2649.0,05,0.0,-6.324592888590269,-6.324592888590269,-6.324592888590269
Professional 43 Parça Vidalama Ucu Seti -2607017164,1968.0,05,1.1825192802056554,0.45941807044410415,0.45941807044410415,0.7680491551459293
Şarjli Tornavi̇da 13 Parça Set 3.6v 1.5ah Rdx-3085,588.61,05,0.0,0.0,0.0,0.0
Akülü Vidalama Şarjlı Tornavida Şarjlı Matkap Ixo 7 .nesil + Bosch 32 Parça Vidalama Ucu Seti,3299.0,05,0.0,0.0,0.0,0.0
Gsb 185 Lı Darbeli Kömürsüz Matkap Vidalama 16 Parça Uç Seti Hediye,8499.0,05,0.0,0.0,0.0,0.0
Cheli̇kbei̇ Dokuzlu Set (power Bank &amp; Led + Kırıcı Delici Matkap+avuç Taşlama+somun Sıkma+vidalama+sunta Kesme+dekupaj+budama Testeresi+budama Makası),12950.0,05,0.0,0.0,0.0,0.0
10mm Dwe Vidalama,1120.0,05,0.0,0.0,0.0,0.0
Alçıpan Vidalama Mke,1867.0,05,0.0,0.0,0.0,0.0
Dx72 Akülü Somun Sikma,13053.79,05,0.0,0.0,0.0,0.0
Rtrmax Rtx3050 Kömürsüz 18V Akülü 230NM Vi̇dalama,9329.0,05,0.0,9.379763160980186,9.379763160980186,9.379763160980186
Set 08 Şarjlı 3’lü Makine Seti S-lion Çantalı,17799.0,05,0.0,15.062382830176482,15.062382830176482,15.062382830176482
Rtrmax Rtx3050b Akülü 18v 230nm Torklu Vi̇dalama *aküsüz Satilmaktadir*,3678.86,05,0.0,0.0,-0.6143289388372537,0.0
Gtb 650 Alçipan Vidalama,5496.0,05,1.7024426350851223,1.066568591393895,1.066568591393895,3.8352541092008314
