Title,Weekly Inflation(%)
AUTOKIT GENEL TEMIZLEYICI 500 ML,0.0
AUTOKIT LASTIK TEMIZLEYICI VE PARLATICI 500 ML,0.0
AUTOKIT OTO YIKAMA SUNGERI,0.0
AXE DEO 150 ML ICE CHILL,-30.001250052085503
AXE DEO 150ML AFRICA,-30.001250052085503
AXE DEO 150ML DARK TEMPTATION,-30.001250052085503
AXE STICK 50 ML LEATHER & COOKIES,0.0
AYDOGMUS KURU SELE ZEYTIN KG,0.0
AÇIK BAHARAT KÖFTE HARCI KG,0.0
BABY TURCO CEP MENDILI 3*15 LI,0.0
BABY TURCO DOGADAN BONUS  120 LI MAXI,0.0
BABY TURCO JUMBO  MAXI 30LU,0.0
BABY TURCO JUMBO MIDI 34 LU,0.0
BAGBASI ACUKA 200 GR,0.0
BAGBASI ZILE PEKMEZI (CEVIZLI) 150GR,0.0
BAGBASI ZILE PEKMEZI (SADE) 150GR,0.0
BAGDAT ACI BIBER K.QUADRO 75 GR,0.0
BAGDAT BAH.KARANFIL 15GR,0.0
BAGDAT CAJUN BAHARATI K.QUADRO 80 GR,0.0
BAGDAT CITIR PANE HARCI 90GR,0.0
BAGDAT COREKOTU K.QUADRO 75 GR,16.669444907484568
BAGDAT DEFNE YAPRAGI POSET 6 GR,0.0
BAGDAT DOLMA BAHARI 40 GR,0.0
BAGDAT DOLMALIK FISTIK 23 GR,0.0
BAGDAT FESLEGEN K.QUADRO 30 GR,0.0
BAGDAT HASHAS MAVI K.QUADRO 80 GR,0.0
BAGDAT HINDISTAN CEVIZI K.QUADRO 50 GR,15.387574533564147
BAGDAT HINDISTAN CEVIZI QUADRO 160GR,0.0
BAGDAT ISOT BIBER K.QUADRO 80 GR,0.0
BAGDAT KARABIBER 40 GR,22.584287788352945
BAGDAT KARABIBER TANE 40 GR,0.0
BAGDAT KARBONAT K.QUADRO 150 GR,0.0
BAGDAT KEKIK K.QUADRO 25 GR,23.080473919064474
BAGDAT KEKIK KILITLI QUADRO EKO POSET 60 GR,0.0
BAGDAT KIMYON K.QUADRO 75 GR,24.19745120180673
BAGDAT KISNIS 40 GR,0.0
BAGDAT KOFTE HARCI 90 GR,0.0
BAGDAT KORİ K.QUADRO 70 GR,0.0
BAGDAT KUS UZUMU 40 GR,0.0
BAGDAT LIMON TUZU 60 GR,0.0
BAGDAT MAHLEP 30 GR,0.0
BAGDAT MISIR UNU EKO POSET 250GR,0.0
BAGDAT NANE EKO KILITLI QUADRO 70GR,0.0
BAGDAT NANE K.QUADRO 30 GR,15.629884338855904
BAGDAT PUL BIBER EKSTRA ACI K.QUADRO 80 GR,0.0
BAGDAT PUL BIBER QUADRO EKO POSET 210 GR,0.0
BAGDAT PUL KIRMIZI BIBER K.QUADRO 80 GR,23.3372228704784
BAGDAT SARIMSAK TOZU TUZLUKLU CAM 48 GR,0.0
BAGDAT SUMAK K.QUADRO 80 GR,0.0
BAGDAT SUSAM K.QUADRO 75 GR,25.006251562890718
BAGDAT TARCIN 45 GR,0.0
BAGDAT TARCIN KABUK POSET 45 GR,0.0
BAGDAT TATLI KIRMIZI BIBER K.QUADRO 75 GR,0.0
BAGDAT TAVUK HARCI 65GR,0.0
BAGDAT ZENCEFIL K.QUADRO 60 GR,27.277686852154925
BAGDAT ZERDECAL QUADRO 70 GR,28.005601120224043
BAL KABAK,0.0
BALPARMAK CICEK BALI 225 GR,0.0
BALPARMAK CICEK BALI CITKAPAK 600 GR,0.0
BALPARMAK CITKAPAK YAYLAOVA BALI 350 GR,0.0
BALPARMAK YAYLA OVA BALI 460 GR,0.0
BARILLA MAKARNA 400 GR GLUTENSIZ SPAGETTI,0.0
BARILLA MAKARNA 500 GR DENIZ KAB.(GNOCHETTI),0.0
BARILLA MAKARNA 500 GR KALEM,0.0
BARILLA MAKARNA 500 GR LAZANYA,0.0
BARILLA MAKARNA 500 GR MIDYE,0.0
BARILLA MAKARNA 500 GR SPAGETTI,0.0
BARILLA MAKARNA 500 GR YASSI SPAGETTI(BAVETTE),0.0
BARILLA SOS PESTO GENOVESE 190 GR,0.0
BAYRAM KURBAN BIÇAK SETİ 3 LU,0.0
BEBELAC 400 GR 1 YENI,0.0
