Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,18344.07,,0.0
2026-03-08,18365.69,0.12,0.29
2026-03-09,18376.98,0.06,0.45
2026-03-11,18441.8,0.35,0.36
2026-03-12,18465.24,0.13,0.12
2026-03-13,18430.11,-0.19,-0.38
2026-03-14,18491.94,0.34,0.44
2026-03-15,18413.98,-0.42,-0.41
2026-03-16,18564.77,0.82,0.67
2026-03-17,18530.0,-0.19,0.08
2026-03-18,18536.59,0.04,-0.11
2026-03-19,18583.75,0.25,0.27
2026-03-20,18619.9,0.19,0.07
2026-03-21,18603.18,-0.09,0.18
2026-03-22,18589.48,-0.07,0.06
2026-03-23,18433.52,-0.84,-0.81
2026-03-24,18494.54,0.33,0.18
2026-03-25,18439.15,-0.3,-0.36
2026-03-26,18423.28,-0.09,-0.02
2026-03-27,18516.3,0.5,0.54
2026-03-28,18352.5,-0.88,-0.85
2026-03-29,18241.48,-0.6,-0.39
2026-03-30,18253.83,0.07,0.07
2026-04-01,18248.32,-0.03,0.1
2026-04-02,18335.75,0.48,0.48
2026-04-03,18502.49,0.91,0.86
2026-04-05,18374.73,-0.69,-0.53
2026-04-06,18290.06,-0.46,-0.29
2026-04-07,18254.14,-0.2,-0.33
2026-04-08,18356.35,0.56,0.52
2026-04-09,18383.98,0.15,0.13
2026-04-10,18359.46,-0.13,-0.03
2026-04-11,18417.1,0.31,0.35
2026-04-12,18403.23,-0.08,-0.27
2026-04-13,18383.6,-0.11,-0.14
2026-04-14,18494.62,0.6,0.5
2026-04-15,18516.22,0.12,0.29
2026-04-16,18588.24,0.39,0.07
2026-04-17,18472.97,-0.62,-0.59
2026-04-18,18486.91,0.08,0.06
2026-04-19,18603.17,0.63,0.35
2026-04-20,18478.84,-0.67,-0.33
2026-04-21,18371.05,-0.58,-0.36
2026-04-22,18458.76,0.48,0.51
2026-04-23,18513.02,0.29,0.27
2026-04-24,18531.75,0.1,0.05
2026-04-25,18669.31,0.74,0.77
2026-04-26,18708.11,0.21,0.19
2026-04-27,18800.55,0.49,0.52
2026-04-28,18842.39,0.22,0.23
2026-04-29,18832.42,-0.05,-0.0
2026-04-30,18863.39,0.16,0.09
2026-05-01,18887.36,0.13,0.1
2026-05-02,18763.44,-0.66,-0.46
2026-05-03,18697.22,-0.35,-0.37
2026-05-04,18656.59,-0.22,-0.15
2026-05-05,18640.45,-0.09,-0.05
2026-05-06,18619.44,-0.11,-0.17
2026-05-07,18600.56,-0.1,-0.08
2026-05-08,18667.58,0.36,0.41
2026-05-09,18645.95,-0.12,-0.03
2026-05-10,18650.29,0.02,0.05
2026-05-11,18420.77,-1.23,-1.15
2026-05-12,18527.78,0.58,0.79
2026-05-13,18508.24,-0.11,-0.34
2026-05-16,18333.33,-0.95,-0.18
2026-05-17,18228.9,-0.57,-0.62
2026-05-18,18415.52,1.02,1.02
2026-05-19,18514.44,0.54,0.57
2026-05-20,18554.55,0.22,0.23
2026-05-21,18453.2,-0.55,-0.5
2026-05-22,18566.84,0.62,0.65
2026-05-23,18456.54,-0.59,-0.56
2026-05-24,18381.25,-0.41,-0.41
2026-05-25,18367.69,-0.07,0.41
2026-05-26,18289.95,-0.42,-0.8
