YearWeek,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-W10,18354.71,,0.0
2026-W11,18436.55,0.45,0.86
2026-W12,18574.86,0.75,0.65
2026-W13,18414.98,-0.86,-0.77
2026-W14,18343.1,-0.39,-0.1
2026-W15,18352.87,0.05,0.18
2026-W16,18506.48,0.84,0.64
2026-W17,18532.0,0.14,0.11
2026-W18,18812.5,1.51,1.41
2026-W19,18640.19,-0.92,-0.91
2026-W20,18405.46,-1.26,-0.81
2026-W21,18477.85,0.39,0.88
2026-W22,18328.43,-0.81,-0.51
