KARAKÖY - KADIKÖY,"59,28"
EMİNÖNÜ - KADIKÖY,"59,28"
BEŞİKTAŞ - KADIKÖY,"59,28"
KADIKÖY - KABATAŞ*,"57,00"
ÜSKÜDAR - EMİNÖNÜ,"53,20"
HALİÇ HATTI*BOĞAZ HATTI*,"69,91"
UĞRAMALI HATLAR*3 iskeleden fazla uğramalı(Adalar Hariç),"69,91"
ORTAKÖY-ÜSKÜDAR*,"47,10"
ORTAKÖY-KADIKÖY*,"64,61"
ÜSKÜDAR-KADIKÖY*,"57,00"
BEYKOZ-SARIYER*,"55,49"
ÇENGELKÖY - KUZGUNCUK - KABATAŞ HATTI*,"56,23"
BEŞİKTAŞ - HALİÇ HATTI*,"69,61"
KADIKÖY - HALİÇ HATTI*,"69,61"
BOSTANCI - MODA - KARAKÖY - KABATAŞ HATTI*,"69,61"
ÜSKÜDAR - AŞİYAN,"62,30"
AŞİYAN - ANADOLU HİSARI - KÜÇÜKSU*,"45,59"
İSTİNYE-ÇUBUKLU,"45,59"
1. AKTARMA,"37,66"
2. AKTARMA,"31,16"
3. AKTARMA,"27,20"
4. AKTARMA,"27,20"
5. AKTARMA,"27,20"
BOSTANCI - ADALAR,"137,48 / 82,45"
KABATAŞ - ADALAR,"137,48 / 82,45"
KADIKÖY - ADALAR,"137,48 / 82,45"
BEŞİKTAŞ - ADALAR,"137,48 / 82,45"
MALTEPE - ADALAR HATTI,"137,48 / 82,45"
TUZLA - PENDİK - BÜYÜKADA HATTI,"137,48 / 82,45"
AKTARMA,"137,48 / 51,49"
